joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,5000,,0.485112,1.574130,18.0000,8.5045,,0,
2,RightKnee,5000,,0.438373,1.446837,18.0000,4.9443,,0,
