batch_time,method,repeat,condition,config,duration_s,pause_s,command,start_time,end_time,returncode,status,log_path
2026-06-23T16:59:05,quintic,r01,P3_PD_quintic_stop_same_phase,config/h1_real_p3_quintic_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p3_quintic_hip_knee_pd.yaml --duration 8 --condition P3_PD_quintic_stop_same_phase --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T16:59:05,2026-06-23T16:59:14,0,ok,data/20260623_165905/h1_real_p3_quintic_hip_knee_pd_log.csv
2026-06-23T16:59:05,preview2,r01,P3_PD_preview_mpc_2point_same_phase,config/h1_real_p3_preview2_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p3_preview2_hip_knee_pd.yaml --duration 8 --condition P3_PD_preview_mpc_2point_same_phase --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T16:59:19,2026-06-23T16:59:27,0,ok,
2026-06-23T16:59:05,quintic,r02,P3_PD_quintic_stop_same_phase,config/h1_real_p3_quintic_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p3_quintic_hip_knee_pd.yaml --duration 8 --condition P3_PD_quintic_stop_same_phase --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T16:59:32,2026-06-23T16:59:40,0,ok,data/20260623_165932/h1_real_p3_quintic_hip_knee_pd_log.csv
2026-06-23T16:59:05,preview2,r02,P3_PD_preview_mpc_2point_same_phase,config/h1_real_p3_preview2_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p3_preview2_hip_knee_pd.yaml --duration 8 --condition P3_PD_preview_mpc_2point_same_phase --repeat r02 --disturbance-target none --disturbance-method none,2026-06-23T16:59:46,2026-06-23T16:59:54,0,ok,
