case,label,purpose,hip_so,knee_so,hip_observer_gain_q,hip_observer_gain_dq,knee_observer_gain_q,knee_observer_gain_dq,ku_q,ku_dq,run_success,samples,window_samples,dt_log_s,hip_rmse,knee_rmse,coord_rmse,hip_peak_abs_error,knee_peak_abs_error,coord_peak_abs_error,hip_tau_cmd_rms,knee_tau_cmd_rms,hip_delta_tau_cmd_rms,knee_delta_tau_cmd_rms,hip_tau_total_rms,knee_tau_total_rms,hip_delta_tau_total_rms,knee_delta_tau_total_rms,combined_delta_tau_total_rms,combined_tau_total_rms,hip_tau_rate_total_rms,knee_tau_rate_total_rms,hip_eta_u_rms,knee_eta_u_rms,max_abs_tau_dist_h,max_abs_tau_dist_k,combined_flags
A,A baseline,O4+U1 baseline,1.0,1.0,0.8,0.2,0.8,0.2,6.0,0.5,True,4000,700,0.0019999999999997797,0.03339922594673765,0.034868482545577874,0.06756248054934383,0.051428574969599995,0.04420888524899996,0.0884967574985,5.9083653202582935,3.87694568739821,0.18186926432818804,0.13996283123097414,1.9626319506141845,1.2332283403226325,0.17872700850804635,0.13729531911072024,0.22537379665779644,2.3179250015793333,89.36350425403303,68.64765955536768,0.004732427432982529,0.015853704625895835,6.0,4.0,4
B,B hip-high,increase hip observer only,1.25,1.0,1.0,0.25,0.8,0.2,6.0,0.5,True,4000,700,0.0019999999999997797,0.03304020567425524,0.034874151043654086,0.06720000063470749,0.051217594712499995,0.044222173726000014,0.08834066394140001,5.906598238694969,3.8773221315177486,0.18183719900574533,0.13994438281161228,1.9622091055980564,1.232838586446781,0.17868561739609268,0.13728338772017235,0.22533370455426768,2.317359608331004,89.34280869805617,68.64169386009372,0.004696798827807049,0.01585592459077828,6.0,4.0,4
C,C knee-low,decrease knee observer only,1.0,0.75,0.8,0.2,0.6000000000000001,0.15000000000000002,6.0,0.5,True,4000,700,0.0019999999999997797,0.033344763941493424,0.03695543725189301,0.06959511189865764,0.05096824218359999,0.04642525838,0.09015253227190004,5.904549992145679,3.8772630399605115,0.18198810416807706,0.13810812371212372,1.9547193158822302,1.2289516089782944,0.17881735900478907,0.1353964391519235,0.22429410071704547,2.3089499044140025,89.40867950240438,67.6982195759692,0.00472741339680048,0.016192542476271478,6.0,4.0,4
D,D asymmetric,Chen proposed direction,1.25,0.75,1.0,0.25,0.6000000000000001,0.15000000000000002,6.0,0.5,True,4000,700,0.0019999999999997797,0.03298608366635539,0.03696177456599524,0.06923301216335365,0.050779090753399994,0.04644006059799999,0.09001960709800001,5.902830097929234,3.877645666986014,0.18194949434805865,0.13808141591296255,1.954534354588444,1.2285367344455627,0.17876960138880804,0.13537651067379367,0.22424399662627556,2.308572513729779,89.38480069441385,67.68825533690429,0.004691152716667129,0.016194832800244092,6.0,4.0,4
