t_s,joint_id,q_rad,dq_rad_s,tau_est_nm,lowstate_age_s
3259.368922,2,0.917695,0.238109,-2.25,0.000995
3259.469271,2,0.923735,0.065142,-1.78125,0.001136
3259.569487,2,0.940449,0.219931,-4.03125,0.001568
3259.669627,2,0.964833,0.217467,-2.4375,4.1e-05
3259.769804,2,0.984535,0.209105,-1.78125,0.000125
3259.870007,2,1.006539,0.281212,-4.03125,0.000238
3259.970262,2,1.050305,0.513272,-7.875,0.000363
3260.070474,2,1.106535,0.566829,-10.78125,0.000611
3260.170815,2,1.166089,0.585445,-9.28125,0.000916
3260.27104,2,1.219602,0.587949,-8.8125,0.001205
3260.371371,2,1.288264,0.647135,-14.53125,0.001294
3260.47157,2,1.350102,0.586641,-8.15625,0.001739
3260.571717,2,1.396649,0.401177,-5.0625,0.001885
3260.671872,2,1.437156,0.478725,-6.65625,0.000235
3260.771986,2,1.493402,0.575187,-9.1875,0.000105
3260.87221,2,1.550958,0.567087,-8.0625,0.000357
3260.972348,2,1.604935,0.538529,-9.375,0.000591
3261.072476,2,1.663178,0.584055,-8.71875,0.000729
3261.172597,2,1.720015,0.565184,-8.0625,0.000964
3261.27273,2,1.776948,0.597395,-11.625,0.000981
3261.372944,2,1.836071,0.576809,-9.5625,0.001116
3261.473194,2,1.893547,0.58604,-11.4375,0.001494
3261.573481,2,1.951439,0.565961,-7.5,0.001674
3261.673736,2,2.006646,0.561416,-8.90625,0.001833
3261.773963,2,2.046082,0.00218,0.28125,0.002014
3261.874274,2,2.045219,-0.002226,-0.09375,0.00022
3261.974496,2,2.045075,-0.000984,0.0,0.000426
3262.074845,2,2.043334,-0.069489,1.6875,0.000923
3262.175256,2,2.013549,-0.461929,5.25,0.001103
3262.275501,2,1.966363,-0.460393,6.09375,0.001322
3262.375787,2,1.920168,-0.452613,3.9375,0.001662
3262.476111,2,1.87621,-0.453893,6.65625,4.4e-05
3262.576319,2,1.826451,-0.532929,7.96875,0.000344
3262.676588,2,1.767872,-0.609195,10.3125,0.000502
3262.776898,2,1.705091,-0.631338,13.3125,0.00082
3262.877314,2,1.64239,-0.634969,11.71875,0.001259
3262.977483,2,1.578905,-0.64772,14.625,0.001464
3263.077654,2,1.512161,-0.689778,14.34375,0.001616
3263.177867,2,1.442844,-0.707588,19.03125,0.00195
3263.278121,2,1.371402,-0.716263,14.4375,5e-05
3263.378403,2,1.299513,-0.723271,21.5625,6.8e-05
3263.478624,2,1.225546,-0.73693,19.03125,0.000527
3263.578945,2,1.153401,-0.730766,18.1875,0.000958
3263.679137,2,1.080377,-0.722273,18.65625,0.00107
3263.779405,2,1.0086,-0.726812,18.1875,0.001361
3263.879791,2,0.935736,-0.740753,17.15625,0.001669
3263.980033,2,0.86081,-0.71832,15.5625,0.000207
3264.080276,2,0.788585,-0.739402,21.9375,0.000166
3264.180618,2,0.714091,-0.756671,21.75,0.000701
3264.280843,2,0.638431,-0.747439,16.125,0.000946
3264.38099,2,0.564464,-0.745135,18.375,0.001261
3264.481154,2,0.490594,-0.746346,18.0,0.001394
3264.581319,2,0.414614,-0.761629,16.875,0.00159
3264.681485,2,0.341638,-0.729097,17.0625,0.001782
3264.781741,2,0.268502,-0.720301,17.4375,0.001969
3264.881889,2,0.198067,-0.700477,14.4375,2.8e-05
3264.982096,2,0.128334,-0.684896,13.875,5e-05
3265.082254,2,0.06068,-0.677314,15.46875,0.00051
3265.182428,2,-0.004754,-0.662054,15.65625,0.000424
3265.282625,2,-0.071482,-0.673461,14.4375,0.000735
3265.38289,2,-0.135878,-0.645943,11.8125,0.000756
3265.483192,2,-0.197381,-0.622159,11.71875,0.001182
3265.583459,2,-0.255704,-0.579476,8.8125,0.001241
3265.683741,2,-0.288892,0.022518,-0.375,0.001596
3265.784039,2,-0.288828,0.000438,0.28125,0.001887
3265.88435,2,-0.288812,0.000423,0.28125,0.000141
3265.984621,2,-0.288828,-1e-06,-0.28125,0.000417
3266.084813,2,-0.288812,0.000644,-0.28125,0.000792
3266.185156,2,-0.288812,6.1e-05,-0.09375,0.001019
3266.285379,2,-0.286703,0.023077,0.0,0.001395
3266.385613,2,-0.286352,0.001802,0.375,0.001438
3266.485875,2,-0.28616,0.002137,-0.09375,0.001672
3266.586143,2,-0.286,-8.3e-05,-0.09375,8.8e-05
3266.686486,2,-0.285984,-0.000131,0.09375,0.000362
3266.786719,2,-0.285984,-0.000162,0.0,0.000658
3266.886964,2,-0.285968,0.000346,0.1875,0.000793
3266.987262,2,-0.285984,-4.2e-05,0.0,0.001224
3267.087424,2,-0.285968,0.000251,0.09375,0.001142
3267.18767,2,-0.285952,0.000405,0.5625,0.001494
3267.287864,2,-0.285904,0.000832,0.0,0.001612
3267.388196,2,-0.285776,0.001746,0.0,0.000148
3267.488474,2,-0.285681,0.0007,-0.28125,0.000182
3267.588705,2,-0.285617,0.001242,-0.1875,0.000552
3267.688884,2,-0.285633,-0.000441,0.0,0.000874
3267.789125,2,-0.285601,0.000574,0.09375,0.00116
3267.889517,2,-0.285617,-0.000121,-0.1875,0.001312
3267.98977,2,-0.285617,0.000169,-0.1875,0.001599
3268.090005,2,-0.285617,-2e-06,-0.28125,0.001838
3268.190348,2,-0.285617,-0.000125,0.1875,0.000133
3268.29052,2,-0.285601,0.000185,-0.09375,0.000551
3268.390685,2,-0.285617,-6e-05,0.28125,0.00066
3268.490865,2,-0.285617,-6.9e-05,0.09375,0.000973
3268.591024,2,-0.285601,0.000401,0.0,0.001019
3268.691212,2,-0.285617,-4.6e-05,0.46875,0.001319
3268.791381,2,-0.285617,-0.000119,-0.84375,0.001629
3268.891629,2,-0.285633,-0.000547,-0.1875,0.001702
3268.991827,2,-0.285617,-0.00017,-0.28125,0.001746
3269.092001,2,-0.285617,-7.7e-05,0.0,0.001949
3269.192152,2,-0.285617,-0.000104,0.0,0.000199
3269.292321,2,-0.285601,0.000228,-0.09375,0.000422
3269.392525,2,-0.285633,-6e-05,0.46875,0.000742
3269.492796,2,-0.285617,-7e-05,0.1875,0.000808
3269.593206,2,-0.285617,1.7e-05,-0.28125,0.001093
3269.693557,2,-0.285601,0.0004,0.46875,0.00161
3269.793808,2,-0.285617,-7e-05,0.375,0.001678
3269.894166,2,-0.285617,-0.000123,-0.375,0.002079
3269.994359,2,-0.285617,-0.000209,-0.09375,0.000281
3270.094621,2,-0.285617,-0.000189,0.375,0.000708
3270.194824,2,-0.285617,-0.000198,-0.375,0.000905
3270.295138,2,-0.285617,-0.000133,0.0,0.001142
3270.395469,2,-0.285633,-0.000602,-0.28125,0.001175
3270.4957,2,-0.285617,-0.000173,0.1875,0.001707
3270.596004,2,-0.285601,0.000218,-0.84375,2.1e-05
3270.696398,2,-0.285617,-4.8e-05,-0.84375,0.000456
3270.796765,2,-0.285617,-8e-05,0.0,0.000472
3270.897145,2,-0.285617,-9.5e-05,0.1875,0.000994
3270.997761,2,-0.285617,-3e-06,-0.09375,0.001342
3271.098076,2,-0.285617,-0.000112,0.28125,0.001813
3271.19837,2,-0.285617,2.7e-05,0.1875,0.000489
3271.298651,2,-0.285617,-2.5e-05,0.1875,0.000651
3271.398867,2,-0.285617,-8.7e-05,0.0,0.000588
3271.499254,2,-0.285617,-0.0,0.28125,0.000967
3271.59948,2,-0.285601,9.8e-05,-0.28125,0.001321
3271.699789,2,-0.285617,-2e-05,0.28125,0.001698
3271.799998,2,-0.285617,0.000169,-0.28125,0.00189
3271.900374,2,-0.285617,-9.7e-05,-0.1875,9.1e-05
3272.000618,2,-0.285617,-8.7e-05,-0.09375,0.000283
3272.100968,2,-0.285617,-0.000133,0.1875,0.00085
3272.201324,2,-0.285617,-7.8e-05,-0.28125,0.001012
3272.301662,2,-0.285617,-0.000112,-0.84375,0.001596
3272.401891,2,-0.285601,0.0004,-0.1875,0.001715
3272.502169,2,-0.285617,-8.4e-05,-0.84375,0.001809
3272.602446,2,-0.285617,-7.9e-05,-0.28125,0.000372
3272.702598,2,-0.285617,-8.4e-05,0.0,0.00053
3272.802895,2,-0.285601,0.00019,0.28125,0.000853
3272.903114,2,-0.285585,0.000904,-0.28125,0.001383
3273.003238,2,-0.285617,-0.000113,-0.09375,0.001429
3273.103423,2,-0.285617,-7.3e-05,0.28125,0.00171
3273.203575,2,-0.285617,-3.9e-05,-0.1875,0.001433
3273.30387,2,-0.285617,3.2e-05,-0.375,0.001873
3273.404104,2,-0.285617,0.00025,-0.28125,4e-05
3273.504449,2,-0.285617,-6.5e-05,-0.1875,0.000289
3273.604633,2,-0.285617,-4.1e-05,0.0,0.00082
3273.704817,2,-0.285617,-0.000128,0.0,0.000701
3273.805163,2,-0.285601,0.000424,-0.28125,0.001185
3273.905556,2,-0.285601,0.00034,0.0,0.001171
3274.005761,2,-0.285617,-0.000131,0.0,0.00158
3274.106039,2,-0.285617,-8.1e-05,0.46875,0.001834
3274.206403,2,-0.285617,-5.8e-05,0.1875,0.000332
3274.306658,2,-0.285617,-0.000116,-0.46875,0.000481
3274.40699,2,-0.285617,-0.000152,-0.5625,0.000995
3274.507396,2,-0.285617,-0.000113,-0.1875,0.001266
3274.607657,2,-0.285617,-0.000206,0.28125,0.001556
3274.707821,2,-0.285601,0.000419,0.46875,0.001942
3274.808057,2,-0.285617,0.000452,0.375,5e-05
3274.90831,2,-0.285617,-3.9e-05,0.09375,0.000157
3275.008549,2,-0.285617,0.000106,0.1875,0.000452
3275.108812,2,-0.285617,-2e-06,0.375,0.000809
3275.209142,2,-0.285617,5e-06,0.0,0.000986
3275.309347,2,-0.285601,0.00022,-0.28125,0.001385
3275.409568,2,-0.285601,0.000337,-0.09375,0.001739
3275.509876,2,-0.285617,-0.000109,-0.09375,0.001637
3275.610114,2,-0.285617,-9.8e-05,-0.09375,8.1e-05
3275.710459,2,-0.285601,0.000542,0.1875,0.000532
3275.810833,2,-0.285617,1.7e-05,-0.28125,0.000569
3275.911138,2,-0.285617,-3.5e-05,-0.28125,0.001063
3276.011485,2,-0.285617,-0.0001,-0.375,0.001296
3276.111906,2,-0.285617,5.8e-05,0.09375,0.001758
3276.212126,2,-0.285617,-0.00016,-0.09375,6.6e-05
3276.312275,2,-0.285617,-0.000137,-1.03125,0.000447
3276.412478,2,-0.285617,-8.7e-05,-0.65625,0.000717
3276.512642,2,-0.285601,0.000137,-0.46875,0.000795
3276.612905,2,-0.285601,0.000268,-0.375,0.001046
3276.713154,2,-0.285617,-0.000119,0.375,0.001279
3276.813441,2,-0.285617,-0.000191,-0.1875,0.001559
3276.913603,2,-0.285601,0.000192,-0.375,0.001736
3277.013857,2,-0.285617,-6.1e-05,0.0,0.001855
3277.114034,2,-0.285617,0.000146,0.0,0.000116
3277.214328,2,-0.285617,-0.00015,0.0,0.002425
3277.31454,2,-0.285617,-2.1e-05,0.0,0.000453
3277.4149,2,-0.285617,-9.4e-05,-0.09375,0.000393
3277.515159,2,-0.285633,-0.0006,-0.09375,0.000729
3277.615449,2,-0.285601,0.000532,0.0,0.001083
3277.715721,2,-0.285601,0.000473,-0.09375,0.001313
3277.815966,2,-0.285601,0.000523,0.0,0.001541
3277.916334,2,-0.285617,-0.000151,0.0,0.002016
3278.01671,2,-0.285617,-1.8e-05,0.09375,0.000415
3278.11706,2,-0.285601,0.000117,0.1875,0.000856
3278.217397,2,-0.285617,0.000154,-0.28125,0.001102
3278.317652,2,-0.285633,-0.00066,-0.09375,0.001297
3278.417976,2,-0.285617,-0.000134,0.0,0.001933
3278.518351,2,-0.285601,0.000196,-0.375,0.000186
3278.618568,2,-0.285617,-0.000176,-0.09375,0.000318
3278.718763,2,-0.285617,-4.8e-05,-0.65625,0.001022
3278.819044,2,-0.285617,-7.5e-05,0.09375,0.000646
3278.919186,2,-0.285601,0.000329,0.375,0.001153
3279.019365,2,-0.285617,-9.5e-05,0.375,0.00125
3279.119629,2,-0.285617,-0.000166,-0.09375,0.001562
3279.219851,2,-0.285617,5e-06,0.0,0.0016
3279.320111,2,-0.285617,0.000151,0.46875,0.001849
3279.420368,2,-0.285617,-0.000113,0.09375,0.000198
3279.520517,2,-0.285617,-0.000155,-0.84375,0.000425
3279.620753,2,-0.285633,-0.000373,-0.46875,0.00072
3279.721048,2,-0.285633,-2.9e-05,-0.46875,0.000887
