Listening to rt/lowstate on interface eth0, domain 0
Target joint: 2 (from controller.target_joint)
t_s,joint_id,q_rad,dq_rad_s,tau_est_nm,lowstate_age_s
3260.471570,2,1.350102,0.586641,-8.156250,0.001739
3260.571717,2,1.396649,0.401177,-5.062500,0.001885
3260.671872,2,1.437156,0.478725,-6.656250,0.000235
3260.771986,2,1.493402,0.575187,-9.187500,0.000105
3260.872210,2,1.550958,0.567087,-8.062500,0.000357
3260.972348,2,1.604935,0.538529,-9.375000,0.000591
3261.072476,2,1.663178,0.584055,-8.718750,0.000729
3261.172597,2,1.720015,0.565184,-8.062500,0.000964
3261.272730,2,1.776948,0.597395,-11.625000,0.000981
3261.372944,2,1.836071,0.576809,-9.562500,0.001116
3261.473194,2,1.893547,0.586040,-11.437500,0.001494
3261.573481,2,1.951439,0.565961,-7.500000,0.001674
3261.673736,2,2.006646,0.561416,-8.906250,0.001833
3261.773963,2,2.046082,0.002180,0.281250,0.002014
3261.874274,2,2.045219,-0.002226,-0.093750,0.000220
3261.974496,2,2.045075,-0.000984,0.000000,0.000426
3262.074845,2,2.043334,-0.069489,1.687500,0.000923
3262.175256,2,2.013549,-0.461929,5.250000,0.001103
3262.275501,2,1.966363,-0.460393,6.093750,0.001322
3262.375787,2,1.920168,-0.452613,3.937500,0.001662
3262.476111,2,1.876210,-0.453893,6.656250,0.000044
3262.576319,2,1.826451,-0.532929,7.968750,0.000344
3262.676588,2,1.767872,-0.609195,10.312500,0.000502
3262.776898,2,1.705091,-0.631338,13.312500,0.000820
3262.877314,2,1.642390,-0.634969,11.718750,0.001259
3262.977483,2,1.578905,-0.647720,14.625000,0.001464
3263.077654,2,1.512161,-0.689778,14.343750,0.001616
3263.177867,2,1.442844,-0.707588,19.031250,0.001950
3263.278121,2,1.371402,-0.716263,14.437500,0.000050
3263.378403,2,1.299513,-0.723271,21.562500,0.000068
3263.478624,2,1.225546,-0.736930,19.031250,0.000527
3263.578945,2,1.153401,-0.730766,18.187500,0.000958
3263.679137,2,1.080377,-0.722273,18.656250,0.001070
3263.779405,2,1.008600,-0.726812,18.187500,0.001361
3263.879791,2,0.935736,-0.740753,17.156250,0.001669
3263.980033,2,0.860810,-0.718320,15.562500,0.000207
3264.080276,2,0.788585,-0.739402,21.937500,0.000166
3264.180618,2,0.714091,-0.756671,21.750000,0.000701
3264.280843,2,0.638431,-0.747439,16.125000,0.000946
3264.380990,2,0.564464,-0.745135,18.375000,0.001261
3264.481154,2,0.490594,-0.746346,18.000000,0.001394
3264.581319,2,0.414614,-0.761629,16.875000,0.001590
3264.681485,2,0.341638,-0.729097,17.062500,0.001782
3264.781741,2,0.268502,-0.720301,17.437500,0.001969
3264.881889,2,0.198067,-0.700477,14.437500,0.000028
3264.982096,2,0.128334,-0.684896,13.875000,0.000050
3265.082254,2,0.060680,-0.677314,15.468750,0.000510
3265.182428,2,-0.004754,-0.662054,15.656250,0.000424
3265.282625,2,-0.071482,-0.673461,14.437500,0.000735
3265.382890,2,-0.135878,-0.645943,11.812500,0.000756
3265.483192,2,-0.197381,-0.622159,11.718750,0.001182
3265.583459,2,-0.255704,-0.579476,8.812500,0.001241
3265.683741,2,-0.288892,0.022518,-0.375000,0.001596
3265.784039,2,-0.288828,0.000438,0.281250,0.001887
3265.884350,2,-0.288812,0.000423,0.281250,0.000141
3265.984621,2,-0.288828,-0.000001,-0.281250,0.000417
3266.084813,2,-0.288812,0.000644,-0.281250,0.000792
3266.185156,2,-0.288812,0.000061,-0.093750,0.001019
3266.285379,2,-0.286703,0.023077,0.000000,0.001395
3266.385613,2,-0.286352,0.001802,0.375000,0.001438
3266.485875,2,-0.286160,0.002137,-0.093750,0.001672
3266.586143,2,-0.286000,-0.000083,-0.093750,0.000088
3266.686486,2,-0.285984,-0.000131,0.093750,0.000362
3266.786719,2,-0.285984,-0.000162,0.000000,0.000658
3266.886964,2,-0.285968,0.000346,0.187500,0.000793
3266.987262,2,-0.285984,-0.000042,0.000000,0.001224
3267.087424,2,-0.285968,0.000251,0.093750,0.001142
3267.187670,2,-0.285952,0.000405,0.562500,0.001494
3267.287864,2,-0.285904,0.000832,0.000000,0.001612
3267.388196,2,-0.285776,0.001746,0.000000,0.000148
3267.488474,2,-0.285681,0.000700,-0.281250,0.000182
3267.588705,2,-0.285617,0.001242,-0.187500,0.000552
3267.688884,2,-0.285633,-0.000441,0.000000,0.000874
3267.789125,2,-0.285601,0.000574,0.093750,0.001160
3267.889517,2,-0.285617,-0.000121,-0.187500,0.001312
