joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,4000,,0.037568,0.066099,8.8322,4.1059,,0,
2,RightKnee,4000,,0.011114,0.018714,2.8515,1.2501,,0,
