method,joint_id,samples,q_rmse,q_max_abs_error,dq_rmse,dq_max_abs_error,ref_dq_rms,ref_ddq_rms,ref_jerk_rms,policy_node_q_error_rms,policy_node_dq_error_rms,tau_applied_rms,tau_applied_abs_max,tau_rate_rms
preview_mpc_3ref,1.5,1400.0,0.018823080324344425,0.0275765142245,0.09101632485255443,0.14318995076200003,0.7480150854441205,3.8619414128964573,885.1724019398275,2.8560579155677915e-13,0.09481232011386478,2.3088109003415616,3.42662767892,28.96224430827091
preview_mpc_velocity_4ref,1.5,1400.0,0.018822742132917673,0.0276113401975,0.09102795383049081,0.14521147907450002,0.7479849950851458,3.85123512529055,872.8613654548326,2.8560579155677915e-13,0.08906703303772667,2.3087973544425084,3.428724772985,29.02235236037965
