method,joint_id,samples,q_rmse,q_max_abs_error,dq_rmse,dq_max_abs_error,ref_dq_rms,ref_ddq_rms,ref_jerk_rms,policy_node_q_error_rms,policy_node_dq_error_rms,tau_applied_rms,tau_applied_abs_max,tau_rate_rms
preview_mpc_3ref,1,1400,0.023114738846012388,0.034589199726999975,0.110806889145429,0.17614338070400004,0.6649022981725262,3.432836811463015,786.8199128352455,2.634465938982317e-13,0.0842776178790153,2.8258984000306646,4.29708970967,26.933928656506545
preview_mpc_3ref,2,1400,0.014531421802676466,0.02056382872200002,0.07122576055967987,0.11023652082000002,0.831127872715715,4.2910460143299,983.5248910444096,3.077649892153266e-13,0.10534702234871428,1.791723400652458,2.55616564817,30.990559960035274
preview_mpc_velocity_4ref,1,1400,0.023114239465741912,0.03462507359,0.11081446222626858,0.17838761200600006,0.6648755511868449,3.4233201113685405,775.8767692894739,2.634465938982317e-13,0.07917069603344253,2.8258752803733582,4.28663859828,26.984615911414497
preview_mpc_velocity_4ref,2,1400,0.014531244800093438,0.020597606805,0.07124144543471303,0.11203534614299998,0.8310944389834467,4.279150139212559,969.8459616201912,3.077649892153266e-13,0.09896337004201082,1.7917194285116587,2.57081094769,31.060088809344805
