joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,2000,,0.005184,0.018249,2.5500,0.3813,,0,
2,RightKnee,2000,,0.052823,0.180815,5.2977,0.3492,,0,
