cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
35,0.07,2,0.778847813606,-0.000387467967812,0,120,5,-0.0018345655521,0,-0.0018345655521,0,0.778847815348,-0.000387467976029,0.778849669166,-6.50882969439e-05,-1.8538177905e-06,-0.000322379679085,120,5,0,0.777491323265,-0.202461136103,-0.00135834590116,-0.202396047807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
40,0.08,1,-0.523072957993,0.000783566152677,0,120,5,0.00396834639852,0,0.00396834639852,0,-0.523072957603,0.00078356618084,-0.523078972687,0.000134249534691,6.01508415077e-06,0.000649316646149,120,5,0,-0.519719127392,0.290683113597,0.00335984529511,0.290548864062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
40,0.08,2,0.778841197491,-0.000979457749054,0,120,5,-0.00436880419068,0,-0.00436880419068,0,0.778841197003,-0.000979457766526,0.778847943974,-0.000267612500936,-6.74697101111e-06,-0.00071184526559,120,5,0,0.774648908904,-0.363353903,-0.00419903506954,-0.363086290499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
45,0.09,1,-0.523062050343,0.00142217113171,0,120,5,0.00713657189362,0,0.00713657189362,0,-0.523062021381,0.00142217113024,-0.523076480725,0.000341185919587,1.4459343888e-05,0.00108098521066,120,5,0,-0.516285359264,0.388028359574,0.0067911214601,0.387687173654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
45,0.09,2,0.778827548027,-0.00177771400195,0,120,5,-0.00740361524018,0,-0.00740361524018,0,0.778827526725,-0.00177771396734,0.778843032407,-0.000668616061591,-1.55056819349e-05,-0.00110909790574,120,5,0,0.770356698636,-0.485035460295,-0.00848633377069,-0.484366844233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
50,0.1,1,-0.523044407368,0.00208833767101,0,120,5,0.0103547080221,0,0.0103547080221,0,-0.52304441439,0.00208833766825,-0.52307123351,0.000661223479946,2.68191198149e-05,0.00142711418831,120,5,0,-0.512161687876,0.424855158491,0.0109095456339,0.424193935011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
50,0.1,2,0.778805494308,-0.00261042220518,0,120,5,-0.00998114276666,0,-0.00998114276666,0,0.778805517986,-0.00261042215591,0.778832874115,-0.00127130900547,-2.73561290297e-05,-0.00133911315044,120,5,0,0.765202109293,-0.53106895885,-0.0136307648222,-0.529797649845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
55,0.11,1,-0.523019611835,0.00295356777497,0,120,5,0.0144594331853,0,0.0144594331853,0,-0.523019625801,0.00295356767081,-0.523062183454,0.0010833999717,4.25576523927e-05,0.00187016769911,120,5,0,-0.507736117692,0.47515395619,0.0153260657614,0.474070556219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
55,0.11,2,0.778774559498,-0.0036919596605,0,120,5,-0.0131980582355,0,-0.0131980582355,0,0.778774532249,-0.00369195967673,0.778815705674,-0.0020398562302,-4.11734246738e-05,-0.00165210344653,120,5,0,0.759670146456,-0.593942455824,-0.0191455592176,-0.591902599594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
60,0.12,1,-0.522983670235,0.00431380653754,0,120,5,0.0209362261,0,0.0209362261,0,-0.522983680079,0.00431380674123,-0.523047994026,0.00167033229737,6.43139469408e-05,0.00264347444386,120,5,0,-0.50246357846,0.584431842244,0.0205844155654,0.582761509947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
