window,joint_id,joint_name,n,q_rmse,q_p95_abs,q_peak_abs,dq_rmse,eta_u_rms,tau_cmd_rms
after3s,1,右髋俯仰关节,2437,0.007732504760429521,0.014997073185293506,0.017767955760727427,0.10501137271517556,0.010295252857711384,2.7311191589619335
after3s,2,右膝,2437,0.016731522269152675,0.030541596002108637,0.031881935583020216,0.2129011897320874,0.01845658398125692,2.5319927637951913
4to6s,1,右髋俯仰关节,973,0.006906719343433155,0.014859529143539607,0.016084105958602102,0.10768465533648972,0.011887672274225203,2.7961928682419868
4to6s,2,右膝,973,0.015202538327079367,0.030032684304771528,0.03120970120672839,0.21222359279053138,0.01766740993675213,2.439844586609551
