cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
6,0.012,2,0.267625004053,-6.7512513624e-07,0,120,5,-3.09533519117e-06,0,-3.09533519117e-06,0,0.26762499812,-6.75125152033e-07,0.267625000386,3.19411565429e-08,-2.26631674538e-09,-7.07066308576e-07,120,5,0,0.267585732025,-0.00756680158101,-3.92683617246e-05,-0.00756683352216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
7,0.014,1,-0.485900014639,-8.66680863965e-07,0,120,5,-5.73309841046e-06,0,-5.73309841046e-06,0,-0.485900002896,-8.66680840237e-07,-0.485900000508,-5.91992288521e-08,-2.38802100316e-09,-8.07481611385e-07,120,5,0,-0.485944467473,-0.0069643387535,-4.44669647258e-05,-0.00696427955427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
7,0.014,2,0.267625004053,-1.08335109417e-06,0,120,5,-5.01090094751e-06,0,-5.01090094751e-06,0,0.26762499638,-1.0833510504e-06,0.2676250004,6.51560139223e-09,-4.01972366504e-09,-1.08986665179e-06,120,5,0,0.267569415659,-0.00870542344031,-5.55847406271e-05,-0.00870542995591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
8,0.016,1,-0.485900014639,-1.27749092371e-06,0,120,5,-7.73874234459e-06,0,-7.73874234459e-06,0,-0.485900005027,-1.27749094812e-06,-0.48590000064,-6.57256693785e-08,-4.3873464306e-09,-1.21176527874e-06,120,5,0,-0.485959119733,-0.00764723368266,-5.91190938833e-05,-0.00764716795699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
8,0.016,2,0.267625004053,-1.59686373991e-06,0,120,5,-7.34708143391e-06,0,-7.34708143391e-06,0,0.267624993716,-1.59686368527e-06,0.267625000324,-3.79398344726e-08,-6.60731491742e-09,-1.5589238508e-06,120,5,0,0.267551100333,-0.00955904210233,-7.38999905058e-05,-0.0095590041625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9,0.018,1,-0.485900014639,-1.76186233602e-06,0,120,5,-1.01097861873e-05,0,-1.01097861873e-05,0,-0.485900008055,-1.76186229607e-06,-0.485900000784,-7.2412512172e-08,-7.2709507859e-09,-1.6894497839e-06,120,5,0,-0.48597488636,-0.00807505755607,-7.48855758096e-05,-0.00807498514356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9,0.018,2,0.267625004053,-2.20232777792e-06,0,120,5,-1.00132798398e-05,0,-1.00132798398e-05,0,0.267624989931,-2.2023278702e-06,0.267625000113,-1.05118503446e-07,-1.01826147514e-08,-2.09720936675e-06,120,5,0,0.26753139205,-0.0100938219441,-9.36080637062e-05,-0.0100937168256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10,0.02,1,-0.485900014639,-2.30077375818e-06,0,120,5,-1.27485582096e-05,0,-1.27485582096e-05,0,-0.485900012111,-2.30077379334e-06,-0.485900000944,-7.97419182955e-08,-1.11670465652e-08,-2.22103187504e-06,120,5,0,-0.485991237667,-0.00822943708954,-9.12367235721e-05,-0.00822935734763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10,0.02,2,0.267624974251,-2.87596731141e-06,0,120,5,-1.64475598893e-05,0,-1.64475598893e-05,0,0.267624984861,-2.87596724163e-06,0.267624999718,-1.97669622064e-07,-1.48567499414e-08,-2.67829761957e-06,120,5,0,0.267510952916,-0.0102867963601,-0.000114046802422,-0.0102865986905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
11,0.022,1,-0.485900014639,-2.8668282539e-06,0,120,5,-1.55914150247e-05,0,-1.55914150247e-05,0,-0.485900017277,-2.86682833566e-06,-0.485900001091,-7.36880256602e-08,-1.6185478402e-08,-2.79314031e-06,120,5,0,-0.486007613487,-0.00809788479881,-0.000107612396092,-0.00809781111078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
