after3_dq_peak,after3_du_rms,after3_eta_u_peak,after3_eta_u_rms,after3_q_peak,after3_rmse,after3_tau_peak,after3_tau_rms,diverged,flags,ku_dq,ku_q,ku_scale,observer_gain_dq,observer_gain_q,out_dir,post6_8_dq_peak,post6_8_du_rms,post6_8_eta_u_peak,post6_8_eta_u_rms,post6_8_q_peak,post6_8_rmse,post6_8_tau_peak,post6_8_tau_rms,reason,returncode,win4_6_coord_rmse,win4_6_dq_peak,win4_6_du_rms,win4_6_eta_u_peak,win4_6_eta_u_rms,win4_6_hip_rmse,win4_6_knee_rmse,win4_6_q_peak,win4_6_rmse,win4_6_side_effect_ratio_knee_over_hip,win4_6_tau_peak,win4_6_tau_rms
13.1111821691,13.108553194453435,0.0,0.0,1.631928305582,0.5765197575481195,18.0,11.706008928414636,False,4,0.0,0.0,0.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x0,13.1111821691,11.602476390356783,0.0,0.0,1.2902921536199998,0.6235996445415635,18.0,12.074776292390851,ok,0,0.6223936336367453,11.1708552412,17.55903370205235,0.0,0.0,0.4510310173699578,0.409862102606022,1.090059448137,0.43093846531866276,0.908722652814436,18.0,13.493208865390226
13.3956681291,13.483055706915394,0.362268872701,0.02616841267499096,1.615811738682,0.5680730977675751,18.0,11.702022482778329,False,4,0.25,3.0,0.25,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x0p25,13.3956681291,13.1952577491597,0.362268872701,0.03708486123757481,1.434737237891,0.6342821560783087,18.0,12.063519998405775,ok,0,0.6105477443818581,10.8690215835,17.521374359375265,0.0858426824284,0.014656284113984366,0.45193246249476343,0.3859193059098871,1.009997626238,0.42022414336312813,0.8539313679294697,18.0,13.430719916053464
13.2624946769,13.856344751893689,0.902348502477,0.06472768595118719,1.519758409421,0.5522918380425896,18.0,11.669611303644992,False,4,0.5,6.0,0.5,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x0p5,13.2624946769,14.833079403592485,0.902348502477,0.09357958731445068,1.4459581743610002,0.6436364888423176,18.0,12.107699553200954,ok,0,0.6045591780837785,10.4937125738,17.544885518825293,0.412165427873,0.03961061063053761,0.4548991027907449,0.35924645663134325,0.905067502598,0.40987266944869616,0.7897277757362335,18.0,13.35764710480105
14.2727264999,15.796321378918583,1.00352808392,0.07996869454165009,1.49546581369,0.5182663858802866,18.0,11.062178095130884,False,4,0.75,9.0,0.75,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x0p75,14.2727264999,19.42761543697953,1.00352808392,0.10934649916381065,1.4294048596609998,0.6292763135076057,18.0,10.579699340675612,ok,0,0.5998810188261114,9.58986229077,18.034613163345707,0.416960573726,0.047647710246613614,0.4617557694831588,0.3076105421326694,0.744635573099,0.3923280746276889,0.6661758497938782,18.0,13.283654312933493
13.2655135252,13.926613768360555,1.57111309458,0.1150648790722806,1.506127294211,0.5535205250398708,18.0,11.667625226531609,False,4,1.0,12.0,1.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x1,13.2655135252,15.000819606191996,1.57111309458,0.16197008756568868,1.448966920441,0.6452484735203642,18.0,12.100209864670724,ok,0,0.6034975852377769,10.4396592757,17.56063809164818,0.403539878267,0.06076486813177801,0.45612757909974283,0.3564785784563729,0.8942685554180001,0.4093466411940304,0.7815326123448909,18.0,13.350092553516447
13.7809262964,14.694066037955176,2.51387269503,0.14926434402872665,1.6271736759809998,0.531086946776671,18.0,10.949284340942462,False,4,1.25,15.0,1.25,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x1p25,13.7809262964,17.282697981789333,2.51387269503,0.22871797060053523,1.615809438221,0.6750707068650408,18.0,11.05757226717349,ok,0,0.6014949218909966,10.0488866549,17.719411022540633,0.708021211839,0.08117626769347533,0.45756401953651354,0.3332882340599147,0.7947088438969999,0.4002785773290818,0.728396945191444,18.0,13.301387966384343
13.3375934805,13.96558075671494,1.82201244241,0.16214082559742468,1.5739555936610001,0.5523574851105987,18.0,11.669948236551546,False,4,1.5,18.0,1.5,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x1p5,13.3375934805,15.247343104038862,1.82201244241,0.23824233652114316,1.442711461831,0.6401932615518926,18.0,12.131553016210269,ok,0,0.6029559525764984,10.3220957953,17.590920702145702,1.03374592017,0.10771839836739287,0.4569039251291219,0.3452353563533323,0.846513224698,0.40493743225022466,0.7555972653458123,18.0,13.324038587798432
14.2924994816,16.324437081594883,3.77812799707,0.2570210039183103,1.53589053477,0.5217931695078877,18.0,11.12347295910339,False,4,2.0,24.0,2.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x2,14.2924994816,20.07073642940158,3.77812799707,0.3568499596330355,1.421518890872,0.6427634357229324,18.0,10.707951851514755,ok,0,0.5997904141536141,9.42943795026,18.191189870196173,1.5351881648,0.1486000240889998,0.46348561345027744,0.30054306805252334,0.750978982642,0.3906053312678948,0.6484409857195395,18.0,13.27843929763685
13.7763056176,14.46727117426133,2.95922313116,0.2211629475358022,2.049900282874,0.6289086603527855,18.0,11.636666061453186,False,4,2.5,30.0,2.5,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x2p5,13.7763056176,13.726134597178476,2.33115981134,0.26400473899752785,1.594494041676,0.7200061907335047,18.0,11.734649283750565,ok,0,0.5937916397249999,7.59970323657,18.71884922230944,0.51641992641,0.11856009173832976,0.46811598669445204,0.2661901324996951,0.770872900667,0.38078193473373023,0.5686414052623294,18.0,13.057957349947872
9.48465786964,13.68187095418604,3.324999076,0.28998627075099265,1.7463272879100002,0.5496914570378925,18.0,11.177509761062508,False,4,3.0,36.0,3.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_coarse\ku_x3,9.48465786964,10.817124045996097,3.324999076,0.401812546157261,1.137546623605,0.5611098715583719,18.0,11.154267991595718,ok,0,0.5970064793866695,7.72973130291,18.736120346861956,1.43824776222,0.1710398730166579,0.4691828652157351,0.2717352922443974,0.776592052903,0.3833879432527807,0.5791671273405322,18.0,13.028305563234097
