after3_dq_peak,after3_eta_u_peak,after3_eta_u_rms,after3_q_peak,after3_rmse,diverged,flags,ku_dq,ku_q,ku_scale,observer_gain_dq,observer_gain_q,out_dir,reason,returncode,win4_6_coord_rmse,win4_6_du_rms,win4_6_hip_rmse,win4_6_hip_tau_rms,win4_6_knee_rmse,win4_6_knee_tau_rms,win4_6_q_peak,win4_6_rmse,win4_6_tau_peak,win4_6_tau_rms
11.4493169862,26.5351909466,1.871930334753388,1.7938106930459998,0.5316338503001341,False,4,24.0,288.0,24.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_high\ku_x24,ok,0,0.46258144584188243,17.428958742645356,0.46275584721884333,17.375978674584264,0.029474967958082212,2.49523587052056,0.571406558836,0.32788088376067265,18.0,12.4127119709824
10.8898064547,48.4231160969,3.2703031309331894,1.791235353736,0.4948335849311018,False,4,32.0,384.0,32.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_high\ku_x32,ok,0,0.46641093192392513,17.394334444154847,0.46735154451264554,17.376152906726013,0.02579097259322187,2.2736300926000257,0.5714519485840001,0.3309702708897429,18.0,12.39153105221262
12.0216620631,41.9775993574,3.885355187394444,1.8083248505960001,0.5398359882703752,False,4,48.0,576.0,48.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_high\ku_x48,ok,0,0.4679762476246919,17.384409721954725,0.4690850902894357,17.37649804253357,0.024332853750569504,2.1586985480103467,0.571547881236,0.33213921004865915,18.0,12.381491502306073
11.5306592415,65.7708305568,5.301417967581646,1.813117174266,0.5338000943259792,False,4,64.0,768.0,64.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_high\ku_x64,ok,0,0.47682263848428375,17.36562172906042,0.47802009988964067,17.37682923920431,0.02124917355298515,1.976367955961751,0.571660682684,0.3383450481942856,18.0,12.36649151347742
12.5891099043,64.8109390559,6.94337786220096,1.933889342625,0.5549191785753208,False,4,96.0,1152.0,96.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_high\ku_x96,ok,0,0.4873964337260469,17.35073092599881,0.4887890313256002,17.37744498370538,0.019307656660659447,1.8381917291466683,0.571920195608,0.3458955787155601,18.0,12.356264463720628
12.4461259097,124.020193031,9.759519638236412,1.9802491624729999,0.5581609797582884,False,4,128.0,1536.0,128.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_high\ku_x128,ok,0,0.4966840451425281,17.33694719974397,0.4986711246748636,17.378021494689943,0.01802165159375979,1.75819456807502,0.572173417692,0.35284392478166615,18.0,12.350847728174656
12.2004694203,429.711788859,22.299151895774656,1.975101597126,0.541507215418894,False,4,192.0,2304.0,192.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_high\ku_x192,ok,0,0.5152291916810243,17.325094472251816,0.5176061121027782,17.37901781833411,0.016745841582782413,1.6643973712403426,0.599233348063,0.3661942862036964,18.0,12.345049188629549
11.6201679555,207.208809138,20.727178296355657,1.908693797523,0.6004608590448771,False,4,256.0,3072.0,256.0,0.225,0.9,analysis_artifacts\p4_ku_stability_sweep\runs_dist4_6_high\ku_x256,ok,0,0.5266892447570501,17.32262282159904,0.5288958018586336,17.379860396966144,0.017025614778816686,1.6287932309525952,0.615665265831,0.37417952962600964,18.0,12.343267695534056
