trial_id,plan_id,trial_label,controller_id,controller,disturbed_joint,disturbance_torque,disturbance_start,disturbance_end,rmse_h,rmse_k,rmse_coord,coord_peak,tau_rms,tau_rate_rms,tau_h_abs_max,tau_k_abs_max,saturation_count,samples,S_coord,S_cross,rmse_h_pre,rmse_k_pre,rmse_coord_pre,rmse_h_during,rmse_k_during,rmse_coord_during,rmse_h_post,rmse_k_post,rmse_coord_post,delta_rmse_h_during,delta_rmse_k_during,delta_rmse_coord_during,coord_peak_during,cross_ratio
P1_same_phase_no_disturbance,P1,P1 same-phase no disturbance,pd,PD,,,,,0.0014488869496697139,0.0015630856443247568,0.00046378168799649774,0.0006930808310000036,0.20678664631320362,0.5701658331225082,0.295445284742,0.162598193103,0,3000,,,,,,,,,,,,,,,,
P1_same_phase_no_disturbance,P1,P1 same-phase no disturbance,input_eid,Input-domain EID,,,,,0.01979013083108854,0.021732777408720833,0.038727746526651015,0.058198556341999996,0.560359805232548,36.91690966159601,3.55644392967,2.11160206795,0,3000,,,,,,,,,,,,,,,,
P2H_anti_phase_hip_disturbance,P2-H,P2-H anti-phase hip software torque,pd,PD,hip,12.0,2.5,3.0,0.028514635870720218,0.004376941041693714,0.027556775480021767,0.129630901553,1.3449154842947892,26.15150996469967,7.18097864937,1.92041068158,0,3000,,,0.0012432438328955856,0.0004939765185875156,0.001650973715769498,0.09628056505144644,0.010729437824143494,0.0939054799721754,0.015007274655842666,0.007137343820201413,0.01062288269030271,0.09503732121855085,0.01023546130555598,0.0922545062564059,0.129630901553,0.1114392901455277
P2H_anti_phase_hip_disturbance,P2-H,P2-H anti-phase hip software torque,input_eid,Input-domain EID,hip,12.0,2.5,3.0,0.032697275551736724,0.022494346170793766,0.04450486749650384,0.10140292458700001,1.6298195574269976,56.727648571385785,8.12123767313,3.49986410141,0,3000,0.7136039937167278,2.648777641427947,0.00482380400489172,0.016639007332118833,0.021422123572220654,0.08814335102527886,0.02601796926465966,0.06701132554003056,0.029540923106114714,0.024794715876630836,0.04955203259658013,0.08331954702038713,0.009378961932540827,0.045589201967809904,0.10140292458700001,0.2951779001140755
