cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.523079991341,0,-0.20000000298,0,0,-0.20000000298,0,-0.20000000298,0,-0.52308,0,-0.52308,0,0,-0.00999015786695,-5.42478918133,0,-0.2,0,0,-0.52308,0,-3.44444472944e-11,8.61110413534e-09,-0.52308,-0.523080000026,-3.89471557514e-08,0,-0.568208228891,-0.00188034287048,-0.0451282288915,-0.00188034287048,5.19833872031,-0.2,-5.42478918133,-0.52308,-0.00999015786695,0,-0.00999015786695,0,0,0,4,0
0,0,2,0.778850018978,0,0.20000000298,0,0,0.20000000298,0,0.20000000298,0,0.77885,0,0.77885,0,0,0.0124876860709,1.4189218201,0,0.2,0,0,0.77885,0,4.30554480957e-11,-1.07638747847e-08,0.77885,0.778850000033,4.86839007806e-08,0,0.790653855696,0.00049182732066,0.0118038556958,0.00049182732066,-4.87277582942,0.2,1.4189218201,0.77885,0.0124876860709,0,0.0124876860709,0,0,0,4,0
5,0.01,1,-0.523193240166,0,-1.20000004768,0,0,-1.20000004768,0,-1.20000004768,0,-0.52308000236,-5.48642301782e-07,-0.523193269573,-0.0241772431982,4.22994913079e-05,0.0218595265731,-5.42479100303,-0.139221888357,-1.2,-9.24878307521e-05,-0.00819896072734,-0.522953557827,0.0352278288954,-1.41717748647e-11,3.54292988584e-09,-0.523046045658,-0.523080003509,-5.84984019702e-07,0.027028868168,-0.568130807393,-0.00187766551867,-0.0450847617354,-0.0289065336867,4.17599922832,-1.2,-5.55470407669,-0.523150970081,-0.00231771662513,4.22994913079e-05,0.0218595265731,0.000113267212382,0.0241766945559,-0.00930881469637,4,0
5,0.01,2,0.779066026211,0,1.20000004768,0,0,1.20000004768,0,1.20000004768,0,0.778850002951,6.85802258695e-07,0.779065998194,0.0460685486947,-0.000127285672186,-0.0431714055263,1.41892290397,0.0422811949458,1.2,0.000100214915255,0.00889686923469,0.77880540864,-0.0186873169389,1.77146075586e-11,-4.4286645678e-09,0.778905623555,0.778850004386,7.31229365122e-07,-0.00979044770418,0.790569851456,0.000489012823318,0.0116642279005,0.0102794605275,-0.836992666591,1.2,1.4511046507,0.778938712522,0.00289714316845,-0.000127285672186,-0.0431714055263,-0.000215995243521,-0.0460678628925,0.0100994482177,4,0
10,0.02,1,-0.523761332035,0,-2.20000004768,0,0,-2.20000004768,0,-2.20000004768,0,-0.523080005474,4.19208928443e-07,-0.523761336391,-0.0808889769276,0.000640097019462,0.0881618118547,-5.42455510642,0.0491805345703,-2.2,-0.000181173625627,-0.0153407158693,-0.523338091061,0.0160472492676,3.57735174816e-10,-8.94338042771e-08,-0.523519264687,-0.523080004124,9.4341715392e-07,0.000706533398219,-0.568060583418,-0.00187377153875,-0.0445413187315,-0.00258030493697,3.21431300219,-2.2,-5.35785977247,-0.523121239372,0.00727283492714,0.000640097019462,0.0881618118547,0.000681330916992,0.0808893961365,-0.0175147993769,4,0
10,0.02,2,0.780112743378,0,1.01337194443,0,0,1.01337194443,0,1.01337194443,0,0.778850006843,-5.24010687943e-07,0.780112753778,0.143752689847,-0.0012112046097,-0.152843725307,1.41884860974,-0.386113583281,1.01337192752,0.00020019585213,0.0169607487184,0.779644468339,0.0363896675714,-4.47168524431e-10,1.11792141362e-07,0.779844664191,0.778850005155,-1.1792703788e-06,0.0533504162898,0.790492174004,0.000484566287681,0.0106475098127,-0.0528658500022,-1.85205807113,1.01337192752,1.01337192752,0.778901549168,-0.00909103545962,-0.0012112046097,-0.152843725307,-0.00126274693512,-0.143753213858,0.019363098944,4,0
15,0.03,1,-0.52497625351,0,-3.20000004768,0,0,-3.20000004768,0,-3.20000004768,0,-0.523079987711,2.98384436745e-06,-0.524976237319,-0.149956288715,0.00193747669051,0.157229123643,-5.42469517257,0.480729783318,-3.2,-0.000217287900011,-0.0181895144572,-0.524481901362,-0.039092621138,8.82859341189e-11,-2.20714921917e-08,-0.524699189262,-0.52307998153,3.15634157522e-06,-0.0572821355953,-0.568034426837,-0.0018701177859,-0.0433352375753,0.0554120178094,2.29467853575,-3.2,-4.92316841999,-0.523038760628,0.00727283492714,0.00193747669051,0.157229123643,0.00189624960816,0.14995927256,-0.0207969692574,4,0
15,0.03,2,0.782051026821,0,0.445363819599,0,0,0.445363819599,0,0.445363819599,0,0.778849984638,-3.72980209536e-06,0.782051048302,0.224091508274,-0.00325259746992,-0.233182543734,1.41888976167,-0.95035628419,0.445363814556,0.00024199463687,0.0202657272778,0.781499973483,0.100394196211,-1.10357278871e-10,2.75893309535e-08,0.781741968119,0.778849976913,-3.9454234106e-06,0.120659923489,0.790460827748,0.000480055327453,0.00871885962804,-0.120179868162,-4.42530978956,0.445363814556,0.445363814556,0.778798450832,-0.00909103545962,-0.00325259746992,-0.233182543734,-0.00320106366347,-0.224095238076,0.0231696629202,4,0
20,0.04,1,-0.526944279671,0,-4.19999980927,0,0,-4.19999980927,0,-4.19999980927,0,-0.523079962486,6.42173859787e-07,-0.526944260834,-0.229433159729,0.00393523091586,0.227115443104,-5.42541284097,1.09087200157,-4.2,-0.000230556859728,-0.0192491462296,-0.526423102165,-0.113155894977,-1.06315134474e-09,2.65787839173e-07,-0.526653659025,-0.523079962686,-8.97356475882e-07,-0.132405041206,-0.56803023226,-0.00187228573339,-0.0413765732352,0.130532755473,1.40363527876,-4.2,-4.31252501086,-0.523009029919,-0.00231771662513,0.00393523091586,0.227115443104,0.00386429834864,0.229433801903,-0.0220158285463,4,0
20,0.04,2,0.784652292728,0,-0.122368074954,0,0,-0.122368074954,0,-0.122368074954,0,0.778849953107,-8.02716600763e-07,0.784652264654,0.281131368375,-0.00589097717537,-0.278234225206,1.41911520762,-1.51676007191,-0.122368078451,0.00025880302889,0.0216175778191,0.784066590621,0.150323060819,1.32893795968e-09,-3.32234503377e-07,0.78432539365,0.778849953357,1.12169458318e-06,0.171940638639,0.790449747853,0.000482522064493,0.00612435420349,-0.171458116574,-6.94545756478,-0.122368078451,-0.122368078451,0.778761287478,0.00289714316845,-0.00589097717537,-0.278234225206,-0.0058023115463,-0.281132171092,0.0247232141657,4,0
