cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
7,0.014,2,0.267625004053,-1.51392180214e-06,0,120,5,-7.02772586399e-06,0,-7.02772586399e-06,0,0.267624994932,-1.51392182998e-06,0.26762500031,-1.85537535403e-08,-5.37865590955e-09,-1.49536807644e-06,120,5,0,0.26754718403,-0.0121453686147,-7.78162808819e-05,-0.0121453500609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
8,0.016,1,-0.485900014639,-1.78215088908e-06,0,120,5,-1.02627468475e-05,0,-1.02627468475e-05,0,-0.48590000703,-1.78215093417e-06,-0.485900000638,-6.56131754183e-08,-6.39109276612e-09,-1.71653775875e-06,120,5,0,-0.485982670986,-0.0106436661155,-8.26703478349e-05,-0.0106436005024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
8,0.016,2,0.267625004053,-2.22768858293e-06,0,120,5,-1.02553780832e-05,0,-1.02553780832e-05,0,0.267624991213,-2.22768866664e-06,0.267625000145,-8.28149715797e-08,-8.93175083894e-09,-2.14487369506e-06,120,5,0,0.267521661267,-0.0133045826385,-0.000103338877626,-0.0133044998235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9,0.018,1,-0.485900014639,-2.45291971623e-06,0,120,5,-1.35640485604e-05,0,-1.35640485604e-05,0,-0.48590001125,-2.45291975786e-06,-0.485900000784,-7.26351715611e-08,-1.04662361555e-08,-2.38028458629e-06,120,5,0,-0.486004584278,-0.0112062927012,-0.000104583494029,-0.011206220066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9,0.018,2,0.267624974251,-3.06614970214e-06,0,120,5,-1.75038613902e-05,0,-1.75038613902e-05,0,0.267624985938,-3.06614969617e-06,0.267624999788,-1.78277830528e-07,-1.38507123548e-08,-2.88787186564e-06,120,5,0,0.267494269653,-0.0140078658727,-0.00013073013539,-0.0140076875949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10,0.02,1,-0.485900014639,-3.19559262607e-06,0,120,5,-1.72941122311e-05,0,-1.72941122311e-05,0,-0.485900016889,-3.19559254842e-06,-0.485900000916,-6.61215140482e-08,-1.59734770966e-08,-3.12947103437e-06,120,5,0,-0.486027236035,-0.0113787367629,-0.000127235119444,-0.0113786706414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
10,0.02,2,0.267624974251,-3.99449072574e-06,0,120,5,-2.11678353686e-05,0,-2.11678353686e-05,0,0.267624978888,-3.99449068424e-06,0.267624999075,-3.56702346401e-07,-2.01866626748e-08,-3.63778833784e-06,120,5,0,0.267465954956,-0.0142234209508,-0.000159044119053,-0.0142230642485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
11,0.022,1,-0.485900014639,-3.97049097955e-06,0,120,5,-2.11682374899e-05,0,-2.11682374899e-05,0,-0.485900024054,-3.97049077638e-06,-0.485900001042,-6.31629916551e-08,-2.30117981892e-08,-3.90732778472e-06,120,5,0,-0.48604982786,-0.0111441331725,-0.00014982681741,-0.0111440700096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
11,0.022,2,0.267624974251,-4.96311349707e-06,0,120,5,-2.48242297114e-05,0,-2.48242297114e-05,0,0.267624969932,-4.96311346881e-06,0.267624997941,-5.66838024169e-07,-2.80087955051e-08,-4.39627544464e-06,120,5,0,0.267437715175,-0.0139301664621,-0.000187282765735,-0.0139295996241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
12,0.024,1,-0.485900044441,-4.726233783e-06,0,120,5,-2.85006425933e-05,0,-2.85006425933e-05,0,-0.485900032759,-4.72623381304e-06,-0.485900001171,-6.45806406998e-08,-3.15874535417e-08,-4.66165317234e-06,120,5,0,-0.486071533959,-0.0104916157939,-0.000171532787454,-0.0104915512132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
12,0.024,2,0.267624944448,-5.90779245613e-06,0,120,5,-3.17263724355e-05,0,-3.17263724355e-05,0,0.267624959051,-5.90779226407e-06,0.267624996326,-8.07580320909e-07,-3.72746556954e-08,-5.10021194316e-06,120,5,0,0.267410582551,-0.0131145197376,-0.000214413774574,-0.0131137121573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
13,0.026,1,-0.485900044441,-5.39994243809e-06,0,120,5,-3.18058521246e-05,0,-3.18058521246e-05,0,-0.485900042905,-5.3999422513e-06,-0.485900001319,-7.37093409991e-08,-4.15857269731e-08,-5.3262329103e-06,120,5,0,-0.486091511369,-0.00941466711874,-0.000191510049808,-0.0094145934094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
13,0.026,2,0.267624944448,-6.74992770655e-06,0,120,5,-3.41682118204e-05,0,-3.41682118204e-05,0,0.267624946369,-6.74992781098e-06,0.26762499411,-1.10815619648e-06,-4.77404584198e-08,-5.64177161449e-06,120,5,0,0.267385610789,-0.0117683338916,-0.000239383320465,-0.0117672257354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
14,0.028,1,-0.485900044441,-5.91753268964e-06,0,120,5,-3.42920932029e-05,0,-3.42920932029e-05,0,-0.485900054255,-5.91753252512e-06,-0.485900001498,-8.97436800315e-08,-5.27564918973e-08,-5.82778884509e-06,120,5,0,-0.486108907575,-0.00791014007257,-0.000208906076776,-0.00791005032889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
14,0.028,2,0.267624944448,-7.39691586205e-06,0,120,5,-3.54815500843e-05,0,-3.54815500843e-05,0,0.267624932181,-7.39691565267e-06,0.267624991262,-1.42411898771e-06,-5.90800358635e-08,-5.97279666496e-06,120,5,0,0.267363865531,-0.00988767508409,-0.000261125730282,-0.0098862509651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15,0.03,1,-0.485900074244,-6.19414640823e-06,0,120,5,-3.91059031986e-05,0,-3.91059031986e-05,0,-0.485900066414,-6.19414642425e-06,-0.485900001725,-1.13407573849e-07,-6.46891462619e-08,-6.0807388504e-06,120,5,0,-0.486122866722,-0.00597780309555,-0.000222864997175,-0.00597768968798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
15,0.03,2,0.267624914646,-7.74268301029e-06,0,120,5,-3.87717200683e-05,0,-3.87717200683e-05,0,0.267624916982,-7.74268302664e-06,0.267624987775,-1.74342354632e-06,-7.07925256194e-08,-5.99925948032e-06,120,5,0,0.267346416597,-0.00747225386506,-0.000278571177442,-0.00747051044151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16,0.032,1,-0.485900074244,-6.13479460299e-06,0,120,5,-3.86022255457e-05,0,-3.86022255457e-05,0,-0.485900078808,-6.13479479683e-06,-0.485900002021,-1.47701621009e-07,-7.67871089491e-08,-5.98709317582e-06,120,5,0,-0.48613253537,-0.0036203392478,-0.000232533349026,-0.00362019154618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
16,0.032,2,0.267624914646,-7.66849370848e-06,0,120,5,-3.62019555858e-05,0,-3.62019555858e-05,0,0.26762490149,-7.66849349281e-06,0.267624983608,-2.08319383671e-06,-8.21178453569e-08,-5.5852996561e-06,120,5,0,0.267334330788,-0.0045254240581,-0.000290652820116,-0.00452334086426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
17,0.034,1,-0.485900104046,-5.63534422326e-06,0,120,5,-3.94177999057e-05,0,-3.94177999057e-05,0,-0.48590009066,-5.63534409537e-06,-0.485900002403,-1.91213841786e-07,-8.82572990246e-08,-5.44413025358e-06,120,5,0,-0.486137068695,-0.000843799208527,-0.000237066292207,-0.000843607994685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
17,0.034,2,0.267624884844,-7.04418016539e-06,0,120,5,-3.45703500696e-05,0,-3.45703500696e-05,0,0.267624886675,-7.04418011693e-06,0.267624978836,-2.38593238049e-06,-9.21617528404e-08,-4.65824773645e-06,120,5,0,0.267328664131,-0.00105474901209,-0.000296314705262,-0.00105236307971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
18,0.036,1,-0.485900104046,-4.58404838355e-06,0,120,5,-3.38272364862e-05,0,-3.38272364862e-05,0,-0.485900100981,-4.58404818378e-06,-0.485900002895,-2.46212486218e-07,-9.80859060085e-08,-4.33783569756e-06,120,5,0,-0.486135638112,0.00234142286692,-0.000235635216317,0.00234166907941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
18,0.036,2,0.267624884844,-5.73006036575e-06,0,120,5,-2.59939789179e-05,0,-2.59939789179e-05,0,0.267624873773,-5.73006022893e-06,0.267624973518,-2.65943398022e-06,-9.9744174864e-08,-3.07062624871e-06,120,5,0,0.26733045236,0.00292677857885,-0.000294521157068,0.00292943801283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
19,0.038,1,-0.485900104046,-2.86394106297e-06,0,120,5,-2.4831651249e-05,0,-2.4831651249e-05,0,-0.485900108551,-2.86394116143e-06,-0.485900003516,-3.10326539046e-07,-1.05034659081e-07,-2.55361462238e-06,120,5,0,-0.486127441472,0.00591894207061,-0.000227437956243,0.00591925239715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
19,0.038,2,0.267624855042,-3.5799264424e-06,0,120,5,-1.72524444286e-05,0,-1.72524444286e-05,0,0.267624864312,-3.57992645317e-06,0.267624967844,-2.83670104206e-06,-1.03532530438e-07,-7.43225411105e-07,120,5,0,0.26734069816,0.00739867757978,-0.000284269684404,0.00740151428082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
20,0.04,1,-0.485900104046,-3.56582518179e-07,0,120,5,-1.19204853695e-05,0,-1.19204853695e-05,0,-0.485900111912,-3.56582508586e-07,-0.485900004251,-3.67558368263e-07,-1.07661108861e-07,1.09758596769e-08,120,5,0,-0.486111717442,0.00986381327978,-0.000211713190927,0.00986418083814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
20,0.04,2,0.267624855042,-4.45728147724e-07,0,120,5,-4.07775297307e-07,0,-4.07775297307e-07,0,0.26762486011,-4.45728138752e-07,0.267624961983,-2.93076008986e-06,-1.0187296845e-07,2.48503195111e-06,120,5,0,0.267360353197,0.0123297665897,-0.000264608785154,0.0123326973497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
21,0.042,1,-0.485900104046,3.05208186546e-06,0,120,5,5.54899769962e-06,0,5.54899769962e-06,0,-0.485900109376,3.05208189483e-06,-0.485900005115,-4.32052098201e-07,-1.04260822975e-07,3.48413399303e-06,120,5,0,-0.486087766243,0.0141386483686,-0.000187761127983,0.0141390804207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
21,0.042,2,0.267624855042,3.81510244551e-06,0,120,5,2.11738188017e-05,0,2.11738188017e-05,0,0.26762486328,3.81510236416e-06,0.267624956284,-2.84947358488e-06,-9.3003794166e-08,6.66457594904e-06,120,5,0,0.267390292196,0.01767331045,-0.000234664087677,0.0176761599236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
22,0.044,1,-0.485900104046,7.4625572779e-06,0,120,5,2.80647461271e-05,0,2.80647461271e-05,0,-0.485900099036,7.46255741444e-06,-0.485900006117,-5.00693102544e-07,-9.29191635857e-08,7.96325051699e-06,120,5,0,-0.486054979952,0.018687829016,-0.000154973834923,0.0186883297091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
22,0.044,2,0.267624884844,9.32819693844e-06,0,120,5,5.14302682323e-05,0,5.14302682323e-05,0,0.267624876205,9.3281967629e-06,0.267624951184,-2.55001263379e-06,-7.49784274112e-08,1.18782093967e-05,120,5,0,0.267431275061,0.0233597862599,-0.000193676123082,0.0233623362725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
23,0.046,1,-0.485900074244,1.29474983623e-05,0,120,5,5.96223314089e-05,0,5.96223314089e-05,0,-0.485900078809,1.29474985173e-05,-0.485900007285,-5.83982191767e-07,-7.15244071747e-08,1.35314807091e-05,120,5,0,-0.486012886978,0.0234289341402,-0.000112879692917,0.0234295181224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
23,0.046,2,0.267624914646,1.61843727255e-05,0,120,5,8.66978421835e-05,0,8.66978421835e-05,0,0.267624901489,1.61843731417e-05,0.267624947306,-1.93902280506e-06,-4.58168917805e-08,1.81233959468e-05,120,5,0,0.267483891278,0.0292861676671,-0.000141056027502,0.0292881066899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
24,0.048,1,-0.485900044441,1.95294196601e-05,0,120,5,9.66360153703e-05,0,9.66360153703e-05,0,-0.485900046514,1.95294190429e-05,-0.485900008601,-6.57959874676e-07,-3.79130266071e-08,2.01873789176e-05,120,5,0,-0.485961217523,0.0282400769846,-6.12089226651e-05,0.0282407349445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
24,0.048,2,0.267624944448,2.44117745751e-05,0,120,5,0.000126904514167,0,0.000126904514167,0,0.267624941858,2.44117737988e-05,0.267624945325,-9.90171388252e-07,-3.46722295319e-09,2.54019451871e-05,120,5,0,0.267548478096,0.0353000962239,-7.64672292587e-05,0.0353010863953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
25,0.05,1,-0.485900014639,2.7146008506e-05,0,120,5,0.000138754755951,0,0.000138754755951,0,-0.4859,2.71460088512e-05,-0.485900010032,-7.15518519425e-07,1.00315742935e-08,2.78615273707e-05,120,5,0,-0.4859,0.032941224224,1.00315745155e-08,0.0329419397425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
25,0.05,2,0.267625004053,3.39325124514e-05,0,120,5,0.000174947690959,0,0.000174947690959,0,0.267625,3.39325110591e-05,0.267624945998,3.36300195665e-07,5.40021314888e-08,3.35962108634e-05,120,5,0,0.267625,0.041176530274,5.40021314333e-08,0.0411761939738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
26,0.052,1,-0.485900014639,2.93479279208e-05,0,120,5,0.000150184629045,0,0.000150184629045,0,-0.4859,2.93479271631e-05,-0.485900011557,-7.62952025699e-07,1.15574783632e-08,3.01108791888e-05,120,5,0,-0.4859,0.032941224224,1.15574785853e-08,0.032941987176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
26,0.052,2,0.267625004053,3.66849089914e-05,0,120,5,0.00017928166224,0,0.00017928166224,0,0.267625,3.66849089485e-05,0.267624950238,2.12013595362e-06,4.97618595774e-08,3.45647729949e-05,120,5,0,0.267625,0.041176530274,4.97618595219e-08,0.041174410138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
27,0.054,1,-0.485899865627,4.5861765102e-05,0,120,5,0.000250836381938,0,0.000250836381938,0,-0.485899855728,4.58617656138e-05,-0.48590001309,-7.6639955799e-07,1.573626498e-07,4.66281651718e-05,120,5,0,-0.48574976886,0.0422256318026,0.000150244230552,0.0422263982021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
27,0.054,2,0.267625182867,5.73272081965e-05,0,120,5,0.00029416065822,0,0.00029416065822,0,0.26762518034,5.73272070129e-05,0.267624958021,3.89138395618e-06,2.22319557042e-07,5.34358230568e-05,120,5,0,0.267812788925,0.0527820397495,0.000187830904415,0.0527781483656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
28,0.056,1,-0.485899746418,5.73706711293e-05,0,120,5,0.000322794912196,0,0.000322794912196,0,-0.485899752761,5.73706724811e-05,-0.485900014594,-7.52076940454e-07,2.61833325355e-07,5.81227494215e-05,120,5,0,-0.485660502791,0.0470746697977,0.000239511803283,0.0470754218746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
28,0.056,2,0.267625302076,7.17133370927e-05,0,120,5,0.000364347092168,0,0.000364347092168,0,0.267625309049,7.17133405988e-05,0.267624971573,6.77600096609e-06,3.37475707268e-07,6.49373396327e-05,120,5,0,0.267924371511,0.0588433372456,0.000299399938129,0.0588365612446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
29,0.058,1,-0.485899627209,7.05712081981e-05,0,120,5,0.000402853607683,0,0.000402853607683,0,-0.485899625118,7.05712045721e-05,-0.485900015935,-6.70091621935e-07,3.90816888463e-07,7.1241296194e-05,120,5,0,-0.485561316427,0.0521543379882,0.000338699507544,0.0521550080798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
29,0.058,2,0.26762548089,8.82140084286e-05,0,120,5,0.000448353465791,0,0.000448353465791,0,0.267625468603,8.8214005713e-05,0.26762499212,1.02737900779e-05,4.76482351963e-07,7.79402156351e-05,120,5,0,0.268048354466,0.0651929224843,0.000423362345643,0.0651826486942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
30,0.06,1,-0.485899478197,8.56616243254e-05,0,120,5,0.000495646683402,0,0.000495646683402,0,-0.485899469217,8.56616247684e-05,-0.485900017007,-5.36270946619e-07,5.47790352468e-07,8.6197895715e-05,120,5,0,-0.485451703382,0.0575070923421,0.000448313625403,0.0575076286131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
30,0.06,2,0.267625659704,0.000107077030407,0,120,5,0.000539358278841,0,0.000539358278841,0,0.267625663479,0.000107077030957,0.26762502118,1.45299464409e-05,6.42298611686e-07,9.25470845161e-05,120,5,0,0.268185370773,0.0718838654258,0.000560349592395,0.0718693354793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
31,0.062,1,-0.485899269581,0.000102845544461,0,120,5,0.000605573666418,0,0.000605573666418,0,-0.485899281076,0.000102845545929,-0.485900017639,-3.15798905058e-07,7.36562821846e-07,0.000103161344834,120,5,0,-0.485331086664,0.0631619375239,0.000568930974937,0.0631622533228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
31,0.062,2,0.267625898123,0.000128556930576,0,120,5,0.00064543560892,0,0.00064543560892,0,0.267625898655,0.000128556932407,0.267625060334,1.95767428368e-05,8.38321215391e-07,0.00010898018957,120,5,0,0.26833614167,0.078952421903,0.000711081336325,0.0789328451601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
