case,joint,joint_id,delay_steps,delay_s,max_pole_magnitude,dominant_pole_real,dominant_pole_imag,num_poles_outside_unit_circle,ko_q,ko_dq,ku_q,ku_dq
A,Hip,1,0,0.0,0.9812598229064862,0.9807101114020009,0.03284078933800663,0,0.8,0.2,6.0,0.5
A,Hip,1,1,0.002,0.9814947124140513,0.9809137406883222,0.03376542352147184,0,0.8,0.2,6.0,0.5
A,Hip,1,2,0.004,0.9818072545987793,0.9811923716881512,0.0347421203119937,0,0.8,0.2,6.0,0.5
A,Hip,1,5,0.01,0.9833900030693549,0.9826589379443085,0.03791186905059664,0,0.8,0.2,6.0,0.5
A,Knee,2,0,0.0,0.9541965058993194,0.9534227723884481,0.03841860176523109,0,0.8,0.2,6.0,0.5
A,Knee,2,1,0.002,0.9514366751771053,0.9505396148268214,0.04130602276838833,0,0.8,0.2,6.0,0.5
A,Knee,2,2,0.004,0.9480352604481016,0.9469265672759359,0.04583591648382581,0,0.8,0.2,6.0,0.5
A,Knee,2,5,0.01,0.9554099958257272,0.9525868562080744,0.07339306168387538,0,0.8,0.2,6.0,0.5
B,Hip,1,0,0.0,0.9812598229064862,0.9807101114020009,0.03284078933800504,0,1.0,0.25,6.0,0.5
B,Hip,1,1,0.002,0.9814777105457566,0.9808976529879725,0.03373856340787092,0,1.0,0.25,6.0,0.5
B,Hip,1,2,0.004,0.9817656584024901,0.9811526823264096,0.03468749028347394,0,1.0,0.25,6.0,0.5
B,Hip,1,5,0.01,0.9832156627137649,0.9824890803143231,0.0377921482425035,0,1.0,0.25,6.0,0.5
B,Knee,2,0,0.0,0.9541965058993194,0.9534227723884481,0.03841860176523109,0,0.8,0.2,6.0,0.5
B,Knee,2,1,0.002,0.9514366751771053,0.9505396148268214,0.04130602276838833,0,0.8,0.2,6.0,0.5
B,Knee,2,2,0.004,0.9480352604481016,0.9469265672759359,0.04583591648382581,0,0.8,0.2,6.0,0.5
B,Knee,2,5,0.01,0.9554099958257272,0.9525868562080744,0.07339306168387538,0,0.8,0.2,6.0,0.5
C,Hip,1,0,0.0,0.9812598229064862,0.9807101114020009,0.03284078933800663,0,0.8,0.2,6.0,0.5
C,Hip,1,1,0.002,0.9814947124140513,0.9809137406883222,0.03376542352147184,0,0.8,0.2,6.0,0.5
C,Hip,1,2,0.004,0.9818072545987793,0.9811923716881512,0.0347421203119937,0,0.8,0.2,6.0,0.5
C,Hip,1,5,0.01,0.9833900030693549,0.9826589379443085,0.03791186905059664,0,0.8,0.2,6.0,0.5
C,Knee,2,0,0.0,0.9541965058993178,0.953422772388447,0.03841860176521923,0,0.6000000000000001,0.15000000000000002,6.0,0.5
C,Knee,2,1,0.002,0.9513218168457077,0.9503945780522152,0.041992204223763374,0,0.6000000000000001,0.15000000000000002,6.0,0.5
C,Knee,2,2,0.004,0.948416530594741,0.947200559283498,0.048010582150126074,0,0.6000000000000001,0.15000000000000002,6.0,0.5
C,Knee,2,5,0.01,0.9605512409646473,0.957887807876168,0.07148170423901123,0,0.6000000000000001,0.15000000000000002,6.0,0.5
D,Hip,1,0,0.0,0.9812598229064862,0.9807101114020009,0.03284078933800504,0,1.0,0.25,6.0,0.5
D,Hip,1,1,0.002,0.9814777105457566,0.9808976529879725,0.03373856340787092,0,1.0,0.25,6.0,0.5
D,Hip,1,2,0.004,0.9817656584024901,0.9811526823264096,0.03468749028347394,0,1.0,0.25,6.0,0.5
D,Hip,1,5,0.01,0.9832156627137649,0.9824890803143231,0.0377921482425035,0,1.0,0.25,6.0,0.5
D,Knee,2,0,0.0,0.9541965058993178,0.953422772388447,0.03841860176521923,0,0.6000000000000001,0.15000000000000002,6.0,0.5
D,Knee,2,1,0.002,0.9513218168457077,0.9503945780522152,0.041992204223763374,0,0.6000000000000001,0.15000000000000002,6.0,0.5
D,Knee,2,2,0.004,0.948416530594741,0.947200559283498,0.048010582150126074,0,0.6000000000000001,0.15000000000000002,6.0,0.5
D,Knee,2,5,0.01,0.9605512409646473,0.957887807876168,0.07148170423901123,0,0.6000000000000001,0.15000000000000002,6.0,0.5
