case,joint,joint_id,delay_steps,delay_s,eig_index,eig_real,eig_imag,eig_abs,eig_angle_rad
A,Hip,1,0,0.0,0,0.23499848376066684,0.3078544172730617,0.3872965654435226,0.9188103091012655
A,Hip,1,0,0.0,1,0.23499848376066684,-0.3078544172730617,0.3872965654435226,-0.9188103091012655
A,Hip,1,0,0.0,2,0.9807101114020009,0.03284078933800663,0.9812598229064862,0.03347423640979116
A,Hip,1,0,0.0,3,0.9807101114020009,-0.03284078933800663,0.9812598229064862,-0.03347423640979116
A,Hip,1,0,0.0,4,0.7829027397244854,0.0,0.7829027397244854,0.0
A,Hip,1,0,0.0,5,0.19029091246171215,0.0,0.19029091246171215,0.0
A,Hip,1,1,0.002,0,0.9809137406883222,0.03376542352147184,0.9814947124140513,0.03440883264773369
A,Hip,1,1,0.002,1,0.9809137406883222,-0.03376542352147184,0.9814947124140513,-0.03440883264773369
A,Hip,1,1,0.002,2,0.7933407532602192,0.0,0.7933407532602192,0.0
A,Hip,1,1,0.002,3,0.23392832898509025,0.30851331739770776,0.38717299765543484,0.9220399906815281
A,Hip,1,1,0.002,4,0.23392832898509025,-0.30851331739770776,0.38717299765543484,-0.9220399906815281
A,Hip,1,1,0.002,5,0.18520450191072158,0.0,0.18520450191072158,0.0
A,Hip,1,1,0.002,6,-0.003618552006259612,0.0,0.003618552006259612,3.141592653589793
A,Hip,1,1,0.002,7,2.3363703900992134e-14,0.0,2.3363703900992134e-14,0.0
A,Hip,1,2,0.004,0,0.9811923716881512,0.0347421203119937,0.9818072545987793,0.03539327570893227
A,Hip,1,2,0.004,1,0.9811923716881512,-0.0347421203119937,0.9818072545987793,-0.03539327570893227
A,Hip,1,2,0.004,2,0.8057140076069201,0.0,0.8057140076069201,0.0
A,Hip,1,2,0.004,3,0.23336282575861644,0.31159715577911457,0.3892955123497831,0.9279837255061921
A,Hip,1,2,0.004,4,0.23336282575861644,-0.31159715577911457,0.3892955123497831,-0.9279837255061921
A,Hip,1,2,0.004,5,0.16107501542580763,0.0,0.16107501542580763,0.0
A,Hip,1,2,0.004,6,0.004355712292572157,0.0634872018188411,0.06363644415240315,1.5022959477663527
A,Hip,1,2,0.004,7,0.004355712292572157,-0.0634872018188411,0.06363644415240315,-1.5022959477663527
A,Hip,1,2,0.004,8,6.310240150315656e-14,1.0637320847279723e-07,1.0637320847281593e-07,1.5707957335778413
A,Hip,1,2,0.004,9,6.310240150315656e-14,-1.0637320847279723e-07,1.0637320847281593e-07,-1.5707957335778413
A,Hip,1,5,0.01,0,0.9826589379443085,0.03791186905059664,0.9833900030693549,0.038561777580575406
A,Hip,1,5,0.01,1,0.9826589379443085,-0.03791186905059664,0.9833900030693549,-0.038561777580575406
A,Hip,1,5,0.01,2,0.848641998502494,0.0,0.848641998502494,0.0
A,Hip,1,5,0.01,3,0.3366521109500578,0.34280355266427265,0.480467396944243,0.7944514011332328
A,Hip,1,5,0.01,4,0.3366521109500578,-0.34280355266427265,0.480467396944243,-0.7944514011332328
A,Hip,1,5,0.01,5,-0.318567116110977,0.0,0.318567116110977,3.141592653589793
A,Hip,1,5,0.01,6,-0.12638802320346826,0.31271187878021334,0.33728719444937616,1.9548903289432624
A,Hip,1,5,0.01,7,-0.12638802320346826,-0.31271187878021334,0.33728719444937616,-1.9548903289432624
A,Hip,1,5,0.01,8,0.19730815091442,0.282729689886434,0.3447703350935905,0.9615023172294586
A,Hip,1,5,0.01,9,0.19730815091442,-0.282729689886434,0.3447703350935905,-0.9615023172294586
