family,method,scan,group,ko_scale,ku_scale,window,n_runs,n_complete_window,duration_s_mean,rows_total_mean,coord_rmse_rad_mean,coord_peak_abs_rad_mean,hip_rmse_rad_mean,hip_peak_abs_err_rad_mean,hip_dq_rmse_rad_s_mean,hip_tau_est_rms_nm_mean,hip_tau_est_diff_rms_nm_per_sample_mean,hip_tau_cmd_rms_nm_mean,hip_tau_cmd_peak_abs_nm_mean,hip_eta_u_rms_nm_mean,hip_tau_dist_rms_nm_mean,hip_tau_dist_peak_abs_nm_mean,knee_rmse_rad_mean,knee_peak_abs_err_rad_mean,knee_dq_rmse_rad_s_mean,knee_tau_est_rms_nm_mean,knee_tau_est_diff_rms_nm_per_sample_mean,knee_tau_cmd_rms_nm_mean,knee_tau_cmd_peak_abs_nm_mean,knee_eta_u_rms_nm_mean,knee_tau_dist_rms_nm_mean,knee_tau_dist_peak_abs_nm_mean,duration_s_std,rows_total_std,coord_rmse_rad_std,coord_peak_abs_rad_std,hip_rmse_rad_std,hip_peak_abs_err_rad_std,hip_dq_rmse_rad_s_std,hip_tau_est_rms_nm_std,hip_tau_est_diff_rms_nm_per_sample_std,hip_tau_cmd_rms_nm_std,hip_tau_cmd_peak_abs_nm_std,hip_eta_u_rms_nm_std,hip_tau_dist_rms_nm_std,hip_tau_dist_peak_abs_nm_std,knee_rmse_rad_std,knee_peak_abs_err_rad_std,knee_dq_rmse_rad_s_std,knee_tau_est_rms_nm_std,knee_tau_est_diff_rms_nm_per_sample_std,knee_tau_cmd_rms_nm_std,knee_tau_cmd_peak_abs_nm_std,knee_eta_u_rms_nm_std,knee_tau_dist_rms_nm_std,knee_tau_dist_peak_abs_nm_std
P2D,eid,,,,,disturbance,5,5,9.319921381600034,9098.0,0.10038238220591542,0.1475088199260906,0.05163336165545338,0.08056158636118015,0.2210416523607936,2.8034973818114057,0.497932513467591,2.826944809626227,7.081390380859375,0.021440627678736727,5.43831197059739,6.0,0.049761613327761786,0.07179234038370501,0.36242991964149346,2.7948084383633285,0.7908557024248661,2.855556308822054,5.620372486114502,0.04699754974858158,3.625541313731593,4.0,1.5189423323358227,1480.3688729502521,0.0007256479044503217,0.0019918924645282183,0.0003832503208872963,0.0005803090540218225,0.012467293739594904,0.04605198753136036,0.01668483906049589,0.04070208331734458,0.4971880552918528,0.0010754821343595304,0.002809674519937497,0.0,0.0006249186988292798,0.00256040855806455,0.04082869327253762,0.13630221960443395,0.0291221817708335,0.13840366271420046,0.9199431785309156,0.00036229679396915704,0.0018731163466251882,0.0
P2D,eid,,,,,plateau,5,5,9.319921381600034,9098.0,0.11119258679480862,0.1475088199260906,0.05757176744250157,0.08056158636118015,0.19297037685554286,3.164536230146502,0.5077526703116416,3.1909079321839715,7.081390380859375,0.020731332381167675,6.0,6.0,0.054772724865001454,0.07179234038370501,0.3126825126670375,3.0366208008570106,0.7736814585139854,3.0912595831387266,5.598073577880859,0.048916263432686014,4.0,4.0,1.5189423323358227,1480.3688729502521,0.0008582958937379063,0.0019918924645282183,0.0004996987717284757,0.0005803090540218225,0.016842340087656896,0.06153353791692137,0.01576103114450657,0.05557130286472031,0.4971880552918528,0.0010539995448846518,0.0,0.0,0.0007445307515930726,0.00256040855806455,0.06015570839456849,0.1670990368733417,0.02573356380179581,0.164685542540979,0.9418893528617551,0.0005323280279334507,0.0,0.0
P2D,eid,,,,,post,5,4,9.319921381600034,9098.0,0.06271749361512996,0.16194206415224216,0.02121268783389932,0.05263045258071852,0.30858408162987644,3.969250574014849,0.5668231237903002,4.002135504870969,8.84757022857666,0.013156628775308052,0.0,0.0,0.043197897668361275,0.11252204504707235,0.6383620779143104,3.4407114392730236,0.8260524481971053,3.4219938697720926,7.652848911285401,0.022513158556714506,0.0,0.0,1.5189423323358227,1480.3688729502521,0.08431906322061138,0.2478674371751834,0.024933206642280194,0.07118795093904785,0.4025512359431505,1.4182340482359375,0.04854033356034513,1.4085571030056525,4.500875000900578,0.006465944754824373,0.0,0.0,0.06154930200839329,0.18025843396131835,0.8351320947278632,1.6245497180355497,0.07295059041529478,1.5536722338357045,4.300544197965417,0.0071446663617265194,0.0,0.0
P2D,eid,,,,,pre,5,5,9.319921381600034,9098.0,0.02760408759550419,0.049059513741215886,0.011153637547556779,0.02099134481558229,0.1146893245439184,3.3632606669302816,0.5413131957641049,3.400006301041286,6.878060436248779,0.009287210649171262,0.0,0.0,0.017260767914711834,0.030895154366919298,0.23813182623143786,2.7445433677929763,0.7514256056753499,2.787886276382321,5.493234729766845,0.01940442799589392,0.0,0.0,1.5189423323358227,1480.3688729502521,0.0003938039392044703,0.0016898127516078055,0.00015159122295500054,0.0008890145689437329,0.0017530677014938902,0.028041093520709916,0.015146264509073689,0.027085740615274183,0.21343847829570778,0.00026492645335889406,0.0,0.0,0.00031852038531129815,0.0008383052273772445,0.0026267884300427546,0.03385887416123617,0.032547785890197474,0.034261995696133134,0.21455009286996446,0.00021004051735871272,0.0,0.0
P2D,eid,,,,,steady,5,5,9.319921381600034,9098.0,0.06846874292431714,0.2389962950444246,0.030028136528888964,0.10041826652216321,0.23973395311839782,3.4396385171669395,0.5351037040495078,3.4701660129941923,9.10504083633423,0.014523107579921568,2.624254536180857,6.0,0.040257807828387754,0.14431718553970735,0.47536606663495123,3.027925309658002,0.7965918344440726,3.0479743122545964,7.972711181640625,0.02932464721811904,1.7495030241205716,4.0,1.5189423323358227,1480.3688729502521,0.03957280876663857,0.20480091642903914,0.01130124271673812,0.04447434580757455,0.20939588635196246,0.600107813934127,0.018833718599952743,0.5958024955760403,4.371142463014032,0.003286785912717626,0.4263392845906457,0.0,0.03025313826278695,0.16250275461497607,0.439800525226222,0.7228227559648671,0.035019243627792025,0.6834719841569601,4.1665908770756,0.0043346334500932275,0.2842261897270972,0.0
P2D,pd,,,,,disturbance,5,5,9.999214582400054,9770.0,0.10692586538054209,0.15631143534220443,0.0631260542403866,0.08983384041508993,0.1819350523211015,2.309647149732082,0.3815676044010209,5.436854297868108,6.0,0.0,5.436854298355667,6.0,0.04524146249621132,0.07375755315816254,0.21426340157480844,2.167534082042703,0.6254283971805299,3.624569532565863,4.0,0.0,3.6245695322371105,4.0,0.0007477622894498231,16.186414056238547,0.0003453427626358854,0.0006399629238350967,0.0002699905623579635,0.0003904728989803516,0.00125011144433641,0.023559747662673033,0.011716845972114637,0.0024478944584259733,0.0,0.0,0.0024478931344505584,0.0,8.836608848888244e-05,0.00047854043491872415,0.0009354706365519483,0.005451267001071078,0.019395885816650575,0.0016319281192676714,0.0,0.0,0.0016319287563005453,0.0
P2D,pd,,,,,plateau,5,5,9.999214582400054,9770.0,0.12426607850289047,0.15631143534220443,0.07264223383978474,0.08983384041508993,0.1776585509203,2.638139196431145,0.38977071792710233,6.0,6.0,0.0,6.0,6.0,0.05295522151591864,0.07375755315816254,0.2183809839593311,2.5275494355206782,0.6316124632411683,4.0,4.0,0.0,4.0,4.0,0.0007477622894498231,16.186414056238547,0.00032202064516056154,0.0006399629238350967,0.00024776728297532777,0.0003904728989803516,0.0009338901531108756,0.027689596574529452,0.01469227732503765,0.0,0.0,0.0,0.0,0.0,7.960898266959178e-05,0.00047854043491872415,0.0010672356585591566,0.0061773975193902255,0.019400630195519634,0.0,0.0,0.0,0.0,0.0
P2D,pd,,,,,post,5,5,9.999214582400054,9770.0,0.050558187645109456,0.08409181029466029,0.028269221930772526,0.051233202901611444,0.1464131780703372,2.9831629507958604,0.39148232206560074,0.0,0.0,0.0,0.0,0.0,0.023884020318978814,0.037929007636594125,0.18336649226106996,2.2504183633486528,0.6213250437106386,0.0,0.0,0.0,0.0,0.0,0.0007477622894498231,16.186414056238547,0.0003380970366780241,0.000809102895755206,0.00035110426834048544,0.0008164610738241401,0.0005259688072305191,0.04408818822976196,0.017245390613955393,0.0,0.0,0.0,0.0,0.0,0.00017888796212273976,0.0006683866655413303,0.0008760129260312824,0.02292671193913408,0.020842117196144747,0.0,0.0,0.0,0.0,0.0
P2D,pd,,,,,pre,5,5,9.999214582400054,9770.0,0.05336857927261042,0.0804544645473921,0.029259249387852165,0.04437771532596845,0.14950549598611945,3.0374286353803006,0.4014059975237016,0.0,0.0,0.0,0.0,0.0,0.025551859398385973,0.038116469350012075,0.20807124262660165,2.451184490489415,0.6247558785869304,0.0,0.0,0.0,0.0,0.0,0.0007477622894498231,16.186414056238547,0.000730418883879564,0.0011423249734858738,0.0007517237757240574,0.0008323837528437097,0.001315543355218349,0.08801338261220251,0.010999769730470017,0.0,0.0,0.0,0.0,0.0,0.00017546783850321524,0.0004381993210263246,0.0010276256806332855,0.03172803421663327,0.03440033039792817,0.0,0.0,0.0,0.0,0.0
P2D,pd,,,,,steady,5,5,9.999214582400054,9770.0,0.06560406547697073,0.15631143534220443,0.037526367023413755,0.08983384041508993,0.15085181542422427,2.8019353230894524,0.3910950974946809,2.4295169808343955,6.0,0.0,2.4295169810526964,6.0,0.029607088014616877,0.07375755315816254,0.19404363170206212,2.262486548450529,0.6257450758516547,1.6196779875153926,4.0,0.0,1.6196779873684641,4.0,0.0007477622894498231,16.186414056238547,0.0003492787704976111,0.0006399629238350967,0.0003380811669321881,0.0003904728989803516,0.0003080982969269084,0.047564110112764416,0.013693733242949776,0.0032162575992845236,0.0,0.0,0.003216257803122421,0.0,9.939165364544716e-05,0.00047854043491872415,0.0005158974004824436,0.010792053674877908,0.014376313351466592,0.0021441717926172056,0.0,0.0,0.002144171868748329,0.0
