family,method,scan,group,ko_scale,ku_scale,repeat,condition,manifest_log_path,log_path,returncode,status,window,duration_s,rows_total,flags_seen,coord_rmse_rad,coord_peak_abs_rad,window_complete,hip_rmse_rad,hip_peak_abs_err_rad,hip_dq_rmse_rad_s,hip_tau_est_rms_nm,hip_tau_est_diff_rms_nm_per_sample,hip_tau_cmd_rms_nm,hip_tau_cmd_peak_abs_nm,hip_eta_u_rms_nm,hip_tau_dist_rms_nm,hip_tau_dist_peak_abs_nm,knee_rmse_rad,knee_peak_abs_err_rad,knee_dq_rmse_rad_s,knee_tau_est_rms_nm,knee_tau_est_diff_rms_nm_per_sample,knee_tau_cmd_rms_nm,knee_tau_cmd_peak_abs_nm,knee_eta_u_rms_nm,knee_tau_dist_rms_nm,knee_tau_dist_peak_abs_nm
P2D,pd,,,,,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,0,ok,steady,9.999337561000175,9758,4,0.06616564359881372,0.15603342380102514,True,0.03801538484987055,0.0900059996681911,0.15130280183377082,2.8663450131443655,0.390094297098784,2.4307295901217043,6.0,0.0,2.43072959037855,6.0,0.029664193928758832,0.07366482804522034,0.19419373656358793,2.262044641594587,0.6375340923477386,1.6204863936867293,4.0,0.0,1.6204863935857,4.0
P2D,pd,,,,,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,0,ok,pre,9.999337561000175,9758,4,0.05434238152307742,0.08237700103352708,True,0.030287442456553248,0.04579100343005971,0.1518118214784538,3.1571334175524126,0.40684461414297596,0.0,0.0,0.0,0.0,0.0,0.02546910102154877,0.03800227625670527,0.20780093622055162,2.4525430218708313,0.6412104935126536,0.0,0.0,0.0,0.0,0.0
P2D,pd,,,,,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,0,ok,disturbance,9.999337561000175,9758,4,0.10746192774485416,0.15603342380102514,True,0.06354235048896459,0.0900059996681911,0.18100593362905185,2.3369033461891613,0.36473105790560667,5.438463509640451,6.0,0.0,5.438463510215112,6.0,0.04531339397952212,0.07366482804522034,0.2148990535789392,2.1741742336648437,0.6281651681876583,3.625642340369449,4.0,0.0,3.6256423401434086,4.0
P2D,pd,,,,,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,0,ok,plateau,9.999337561000175,9758,4,0.12480173701217706,0.15603342380102514,True,0.07305076820784409,0.0900059996681911,0.17653064307331176,2.664341587246166,0.3726704140195897,6.0,6.0,0.0,6.0,6.0,0.05300979670124493,0.07366482804522034,0.21856393245820768,2.5324724688924363,0.6271231299664276,4.0,4.0,0.0,4.0,4.0
P2D,pd,,,,,r01,P2D_PD_anti_phase_hip_knee_software_disturbance,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,data/20260623_191336/h1_real_p2_anti_hip_knee_pd_log.csv,0,ok,post,9.999337561000175,9758,4,0.051119998257916154,0.08538648205747135,True,0.02873309344239578,0.0525412613539927,0.14714406423107304,3.0424170574674183,0.3908668121736278,0.0,0.0,0.0,0.0,0.0,0.023975229773841342,0.03813936172838506,0.18302034527176442,2.249553698692641,0.6416859179596295,0.0,0.0,0.0,0.0,0.0
P2D,eid,,,,,r01,P2D_EID_anti_phase_hip_knee_software_disturbance,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,0,ok,steady,9.999651813000128,9772,4,0.050775421267350726,0.1451734697213758,True,0.02518791525476853,0.07973602001265495,0.14224209126098034,3.219585664872196,0.5352352170537054,3.2451398927262978,6.804500102996825,0.012558206585438077,2.4305739085440763,6.0,0.026466798157908287,0.06872330999008835,0.27131732922643614,2.692483222276388,0.7807449025104504,2.7308462402046727,5.857607364654541,0.02737963883946615,1.620382605696051,4.0
P2D,eid,,,,,r01,P2D_EID_anti_phase_hip_knee_software_disturbance,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,0,ok,pre,9.999651813000128,9772,4,0.027855772324505784,0.04928805647438028,True,0.011349996682418177,0.021301712963377684,0.11579058655633073,3.3923219263106197,0.5523768338435927,3.4303477566054443,6.804500102996825,0.00907224575694003,0.0,0.0,0.01728361122479508,0.031200711026367567,0.23768733633826208,2.751326262480098,0.7587916755297087,2.7847292901647775,5.6746249198913565,0.019318862834500086,0.0,0.0
P2D,eid,,,,,r01,P2D_EID_anti_phase_hip_knee_software_disturbance,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,0,ok,disturbance,9.999651813000128,9772,4,0.0999524663894289,0.1451734697213758,True,0.0518887256547253,0.07973602001265495,0.20027363553320915,2.8656418603652436,0.5091303499666798,2.857623457753566,6.538702964782715,0.019536535572600676,5.43970084988701,6.0,0.048991109341283125,0.06872330999008835,0.31659253921239805,2.642413742080112,0.748141943284864,2.7103553399172857,4.932017803192139,0.04651018985134112,3.6264672332580066,4.0
P2D,eid,,,,,r01,P2D_EID_anti_phase_hip_knee_software_disturbance,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,0,ok,plateau,9.999651813000128,9772,4,0.11081721903140013,0.1451734697213758,True,0.05796989441171661,0.07973602001265495,0.1697196653968936,3.246144317769069,0.5223034398783775,3.2384509406422075,6.538702964782715,0.018893373073772167,6.0,6.0,0.053894877216040984,0.06872330999008835,0.2575107125994748,2.8684240612385095,0.7487863194720398,2.9350282086362336,4.820523262023926,0.04836604723937277,4.0,4.0
P2D,eid,,,,,r01,P2D_EID_anti_phase_hip_knee_software_disturbance,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,0,ok,post,9.999651813000128,9772,4,0.02548336957400922,0.05256006618011022,True,0.01029764639968737,0.02177815406081607,0.13209234871493733,3.374179974019657,0.5541662878501581,3.407438671555696,6.739001274108888,0.010493197825193252,0.0,0.0,0.015853768080600024,0.031866039339945806,0.27088427863013476,2.7643567655943477,0.7896162103047898,2.7747642426977523,5.857607364654541,0.020016053145280068,0.0,0.0
