cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.414400011301,0,0.20000000298,0,0,-0.4144,0,-0.4144,0,0,-0.000596700463356,-3.76504506842,0,0.2,-0.4144,0,0,0,-2.05735428693e-12,5.14335262627e-10,-0.4144,-0.414400000002,-2.32626813238e-09,0,-0.404352818593,0.000418632558605,0.0100471814065,0.000418632558605,3.94498265864,0.2,1.20775493158,-0.4144,-0.000596700463356,0,-0.000596700463356,0,0,-4.9728,4,0
0,0,2,0.643000006676,0,-0.20000000298,0,0,0.643,0,0.643,0,0,0.000745872260646,0.807493368248,0,-0.2,0.643,0,0,0,2.57160959194e-12,-6.42905513529e-10,0.643,0.643000000002,2.90782222792e-09,0,0.585528887639,-0.00239462968172,-0.0574711123612,-0.00239462968172,-4.02758156744,-0.2,-6.90850663175,0.643,0.000745872260646,0,0.000745872260646,0,0,7.716,4,0
10,0.02,1,-0.414728313684,0,-1.79999995232,0,0,-0.414400000327,2.50388597634e-08,-0.414728315161,-0.0482896893459,0.000325851981789,0.0487240872832,-3.76503108757,0.152849941877,-1.8,-7.51543614196e-05,-0.0131088757564,-0.414617743442,-0.0104315481493,2.13670747762e-11,-5.34177393538e-09,-0.414692897803,-0.414400000246,5.63492049257e-08,-0.0235404239058,-0.445604329141,-0.00130015532838,-0.0309114313374,0.0222402685774,1.98304187028,-1.8,-3.5981704176,-0.41440246318,0.000434397937324,0.000325851981789,0.0487240872832,0.000328314834338,0.0482897143848,-0.0140107280935,4,0
10,0.02,2,0.643573820591,0,0.46661350131,0,0,0.643000000409,-3.12984354504e-08,0.64357382502,0.0783341610541,-0.000570746058928,-0.0788771560599,0.807488995555,-0.32629990772,0.466613493213,7.83484575554e-05,0.0136354131316,0.643458264782,0.0387458291619,-2.67087463257e-11,6.67718928406e-09,0.64353661324,0.643000000308,-7.04361927704e-08,0.0523812422935,0.649596160416,0.000274808701888,0.00605954717642,-0.0521064335916,-1.58191214103,0.466613493213,0.466613493213,0.643003078961,-0.000542995005749,-0.000570746058928,-0.0788771560599,-0.000573824610917,-0.0783341923526,0.0145755946223,4,0
20,0.04,1,-0.416936695576,0,-2.75178956985,0,0,-0.414399997759,3.83562947459e-08,-0.416936681017,-0.16516076421,0.00254091997671,0.165022329703,-3.76508231777,0.997871560123,-2.7517895808,-8.15747980681e-05,-0.0144422792732,-0.416819090419,-0.125115975401,-6.35007602057e-11,1.58751939653e-08,-0.416900665217,-0.414399997771,-5.3598054414e-08,-0.139558254674,-0.445593019382,-0.00129967087799,-0.0286923541648,0.138258583796,1.18554896848,-2.7517895808,-2.7517895808,-0.41439576104,-0.000138434507498,0.00254091997671,0.165022329703,0.0025366832573,0.165160802567,-0.01542117685,4,0
20,0.04,2,0.646244227886,0,-0.300584107637,0,0,0.642999997199,-4.79451551097e-08,0.646244244593,0.16904903952,-0.00324954326948,-0.168875997156,0.807504918592,-1.09127957408,-0.300584094654,8.88136775818e-05,0.0157436750326,0.646116517905,0.125584166635,7.93756171902e-11,-1.98439139138e-08,0.646205331583,0.642999997214,6.69972699349e-08,0.141327841668,0.64957770656,0.000274023278217,0.00337237497745,-0.14105381839,-5.05319132611,-0.300584094654,-0.300584094654,0.642994701323,0.000173042364471,-0.00324954326948,-0.168875997156,-0.00324424739378,-0.169049087465,0.0168094391636,4,0
30,0.06,1,-0.421158403158,0,-1.83431303501,0,0,-0.414399972952,9.98840577442e-06,-0.421158395304,-0.239052717885,0.00678123977668,0.246732534138,-3.76276339311,1.91818190242,-1.83431305815,-5.41865197131e-05,-0.00961819430567,-0.421080179249,-0.212382770168,3.79151715579e-09,-9.47879284879e-07,-0.421134365769,-0.414399947731,1.54540247282e-05,-0.222000964474,-0.445616568811,-0.00129070308836,-0.0244822030423,0.220710261385,2.24565323083,-1.83431305815,-1.83431305815,-0.414377155527,0.00767981625359,0.00678123977668,0.246732534138,0.00675842235183,0.23906270629,-0.0102684325422,4,0
30,0.06,2,0.649663627148,0,-0.710948824883,0,0,0.64299996619,-1.24855124484e-05,0.649663644629,0.158886882368,-0.00669220025348,-0.168486656003,0.806774129055,-1.50749569971,-0.710948807871,5.37970202391e-05,0.00958167296938,0.649586307048,0.132541672387,-4.73939687495e-09,1.18484921167e-06,0.649640104068,0.642999934664,-1.93175367157e-05,0.142123345356,0.649626352812,0.000263613930131,-1.37512561639e-05,-0.141859731426,-6.75954515892,-0.710948807871,-0.710948807871,0.642971444376,-0.00959977363577,-0.00669220025348,-0.168486656003,-0.00666367843927,-0.15889936788,0.0102272372123,4,0
40,0.08,1,-0.426270514727,0,-1.07273304462,0,0,-0.41439880784,0.000131973284938,-0.42627051399,-0.263703556595,0.0124394533273,0.312590952635,-3.756392538,2.67590221657,-1.07273309151,-4.11278174133e-05,-0.00726369610751,-0.426210789767,-0.243310140059,1.37005730649e-08,-3.42514326038e-06,-0.426251917585,-0.414398523762,0.00015231472383,-0.250573836167,-0.445583295672,-0.00116738037471,-0.0193313780873,0.249406455792,3.11058095593,-1.07273309151,-1.07273309151,-0.413831060663,0.04888739604,0.0124394533273,0.312590952635,0.0118717061498,0.26383552988,-0.00775722991647,4,0
40,0.08,2,0.652168393135,0,-0.715201020241,0,0,0.6429985098,-0.000164966618242,0.652168379514,0.0941939144647,-0.00987955378516,-0.155303162812,0.80467656856,-1.51302065741,-0.715201038872,3.62275161453e-05,0.00642221982648,0.652116002844,0.0763276516082,-1.71257168446e-08,4.28142920167e-06,0.65215223036,0.642998154702,-0.00019039341767,0.0827498714347,0.649635484097,0.000111573977439,-0.00251674626321,-0.0826382974573,-6.58501527804,-0.715201038872,-0.715201038872,0.642288825729,-0.061109248347,-0.00987955378516,-0.155303162812,-0.00916986971412,-0.094358881083,0.00685695002023,4,0
