method,joint_id,joint,duration_s,q_rmse_rad,q_peak_abs_err_rad,dq_rmse_rad_s,tau_est_rms_nm,tau_cmd_rms_nm,flags_unique
PD,1,RightHipPitch,7.99608421799901,0.019904500253963956,0.03761500000000001,0.06393749386918904,2.308390830823908,0.0,4
PD,2,RightKnee,7.99608421799901,0.019826098427298086,0.03609499999999999,0.08612679554500895,2.2197662615514036,0.0,4
EID,1,RightHipPitch,7.99771272300203,0.00907174498741706,0.023661000000000015,0.06832831792060946,2.593953196099899,2.6388895105631893,4
EID,2,RightKnee,7.99771272300203,0.017417007751318596,0.03347800000000001,0.08361242706572289,2.1105192402750235,2.139583932432895,4
