exp,method,scale,joint,freq,amp,vmax,duration,dt_mean,dt_max,q_rmse_all,q_rmse_after3,q_peak_after3,dq_rmse_after3,tau_rms_after3,tau_peak,flags,log
P1,PD,1.0,Hip,0.576,0.1144,0.4140267259054145,3.9982291249998525,0.0020367952919001318,0.0021593580004264368,0.018526116892022382,0.02754980712579147,0.040115147829055786,0.06719674861711583,3.0637782511462137,4.6875,4,data/20260623_013629/h1_real_p1_lite_hip_knee_pd_log.csv
P1,PD,1.0,Knee,0.576,0.143,0.517533407381768,3.9982291249998525,0.0020367952919001318,0.0021593580004264368,0.019872892284021414,0.017683698954356678,0.03596752882003784,0.08088555261923303,1.9422072906051708,4.875,4,data/20260623_013629/h1_real_p1_lite_hip_knee_pd_log.csv
P1,PD,1.1,Hip,0.6336,0.12584,0.5009723383455517,3.9981534439993993,0.002048234243340712,0.0021768770002381643,0.016834913086442017,0.017627446883331493,0.03065013885498047,0.064565455406057,2.1218794752927677,4.74609375,4,data/20260623_013646/h1_real_p1_lite_hip_knee_pd_log.csv
P1,PD,1.1,Knee,0.6336,0.1573,0.6262154229319395,3.9981534439993993,0.002048234243340712,0.0021768770002381643,0.020414492118302062,0.0240989900332094,0.0338364839553833,0.09144809121206857,2.602278968177866,5.4375,4,data/20260623_013646/h1_real_p1_lite_hip_knee_pd_log.csv
P1,PD,1.2,Hip,0.6911999999999999,0.13727999999999999,0.5961984853037968,3.9996199059987703,0.0020458411529411316,0.002159605999622727,0.018591030860751662,0.017905660300049697,0.039351701736450195,0.07699251344695078,2.2714658397425227,5.68359375,4,data/20260623_013657/h1_real_p1_lite_hip_knee_pd_log.csv
P1,PD,1.2,Knee,0.6911999999999999,0.17159999999999997,0.7452481066297459,3.9996199059987703,0.0020458411529411316,0.002159605999622727,0.020725891909629982,0.025117314973472457,0.03720027208328247,0.1357862294937971,2.6521801632506348,5.34375,4,data/20260623_013657/h1_real_p1_lite_hip_knee_pd_log.csv
P1,PD,1.3,Hip,0.7488,0.14872000000000002,0.6997051667801507,3.9998662160014646,0.002047014099794753,0.002204448001066339,0.0219886794594712,0.028217160410929205,0.043563634157180786,0.11081783220692493,3.147490096738329,5.625,4,data/20260623_013706/h1_real_p1_lite_hip_knee_pd_log.csv
P1,PD,1.3,Knee,0.7488,0.18589999999999998,0.8746314584751881,3.9998662160014646,0.002047014099794753,0.002204448001066339,0.020454265236699437,0.020713569416040564,0.0423712432384491,0.12019694650555222,1.9095409337946707,5.625,4,data/20260623_013706/h1_real_p1_lite_hip_knee_pd_log.csv
P2,PD,1.0,Hip,0.6912,0.13728,0.596198485303797,3.998662541000158,0.002051648043612125,0.002173044000301161,0.01778553425150574,0.01682014158078367,0.031976938247680664,0.08627466525791087,2.036842573114062,4.27734375,4,data/20260623_013748/h1_real_p2_anti_hip_knee_pd_log.csv
P2,PD,1.0,Knee,0.6912,0.1716,0.7452481066297462,3.998662541000158,0.002051648043612125,0.002173044000301161,0.01884263417980938,0.016020842936407143,0.03386455774307251,0.14351124332407897,1.7531196983800192,4.96875,4,data/20260623_013748/h1_real_p2_anti_hip_knee_pd_log.csv
P2,PD,1.1,Hip,0.7603200000000001,0.15100800000000003,0.7214001672175945,3.9998717439993925,0.0020438792953497474,0.0022002710011292947,0.01973206495560514,0.02545009028218914,0.04065209627151489,0.08549580497934324,2.768781657008739,4.6875,4,data/20260623_013759/h1_real_p2_anti_hip_knee_pd_log.csv
P2,PD,1.1,Knee,0.7603200000000001,0.18876,0.901750209021993,3.9998717439993925,0.0020438792953497474,0.0022002710011292947,0.020350162958438677,0.024346921287761027,0.04007640480995178,0.12398753236239389,2.517686164407506,4.875,4,data/20260623_013759/h1_real_p2_anti_hip_knee_pd_log.csv
P2,PD,1.2,Hip,0.8294400000000001,0.16473600000000002,0.8585258188374678,3.9980185290005466,0.0020429321200817127,0.0021740359989053104,0.019130784283372365,0.026127646852451218,0.04099632799625397,0.12357492144830746,2.779727796780745,5.0390625,4,data/20260623_013810/h1_real_p2_anti_hip_knee_pd_log.csv
P2,PD,1.2,Knee,0.8294400000000001,0.20592,1.0731572735468347,3.9980185290005466,0.0020429321200817127,0.0021740359989053104,0.020379211050469706,0.02446564250963098,0.035792917013168335,0.1833642430291934,2.512610676238633,4.96875,4,data/20260623_013810/h1_real_p2_anti_hip_knee_pd_log.csv
P2,PD,1.3,Hip,0.89856,0.178464,1.007575440163417,3.998210220999681,0.0020461669467759518,0.00221246399996744,0.01915458001021527,0.023670256706339682,0.04940895736217499,0.14376375359193194,2.392393858521845,5.859375,4,data/20260623_013821/h1_real_p2_anti_hip_knee_pd_log.csv
P2,PD,1.3,Knee,0.89856,0.22308,1.259469300204271,3.998210220999681,0.0020461669467759518,0.00221246399996744,0.019621602353305848,0.023050972548730626,0.03734612464904785,0.1673066254550455,2.119413104063209,4.875,4,data/20260623_013821/h1_real_p2_anti_hip_knee_pd_log.csv
