exp,scale,freq_hz,hip_amp,knee_amp,max_vmax,worst_q_rmse_after3,worst_q_peak_after3,worst_dq_rmse_after3,max_tau_rms_after3,max_tau_peak,dt_max,flags_seen
P1,1.0,0.576,0.1144,0.143,0.517533407381768,0.0275498071257914,0.0401151478290557,0.080885552619233,3.0637782511462137,4.875,0.0021593580004264,4
P1,1.1,0.6336,0.12584,0.1573,0.6262154229319395,0.0240989900332094,0.0338364839553833,0.0914480912120685,2.602278968177866,5.4375,0.0021768770002381,4
P1,1.2,0.6911999999999999,0.1372799999999999,0.1715999999999999,0.7452481066297459,0.0251173149734724,0.0393517017364501,0.1357862294937971,2.6521801632506348,5.68359375,0.0021596059996227,4
P1,1.3,0.7488,0.14872,0.1858999999999999,0.8746314584751881,0.0282171604109292,0.0435636341571807,0.1201969465055522,3.147490096738329,5.625,0.0022044480010663,4
P2,1.0,0.6912,0.13728,0.1716,0.7452481066297462,0.0168201415807836,0.0338645577430725,0.1435112433240789,2.036842573114062,4.96875,0.0021730440003011,4
P2,1.1,0.7603200000000001,0.151008,0.18876,0.901750209021993,0.0254500902821891,0.0406520962715148,0.1239875323623938,2.768781657008739,4.875,0.0022002710011292,4
P2,1.2,0.8294400000000001,0.164736,0.20592,1.0731572735468349,0.0261276468524512,0.0409963279962539,0.1833642430291934,2.779727796780745,5.0390625,0.0021740359989053,4
P2,1.3,0.89856,0.178464,0.22308,1.259469300204271,0.0236702567063396,0.0494089573621749,0.1673066254550455,2.392393858521845,5.859375,0.0022124639999674,4
