condition_key,family,method,scan,group,ko_scale,ku_scale,target,disturbance_method,n_runs,n_ok,n_nonzero_return,duration_s_mean,duration_s_std,rows_total_mean,rows_total_std,rows_steady_mean,rows_steady_std,flag_nonzero_rows_mean,flag_nonzero_rows_std,sat_rows_mean,sat_rows_std,max_lowstate_gap_s_mean,max_lowstate_gap_s_std,hip_rmse_rad_mean,hip_rmse_rad_std,hip_vel_rmse_rad_s_mean,hip_vel_rmse_rad_s_std,hip_max_abs_err_rad_mean,hip_max_abs_err_rad_std,hip_tau_est_rms_nm_mean,hip_tau_est_rms_nm_std,hip_tau_est_diff_rms_nm_per_sample_mean,hip_tau_est_diff_rms_nm_per_sample_std,hip_tau_cmd_rms_nm_mean,hip_tau_cmd_rms_nm_std,hip_tau_cmd_diff_rms_nm_per_sample_mean,hip_tau_cmd_diff_rms_nm_per_sample_std,hip_max_abs_tau_est_nm_mean,hip_max_abs_tau_est_nm_std,hip_max_abs_tau_cmd_nm_mean,hip_max_abs_tau_cmd_nm_std,hip_max_abs_dq_rad_s_mean,hip_max_abs_dq_rad_s_std,hip_ref_acc_rms_rad_s2_mean,hip_ref_acc_rms_rad_s2_std,hip_ref_jerk_rms_rad_s3_mean,hip_ref_jerk_rms_rad_s3_std,hip_eta_q_rms_mean,hip_eta_q_rms_std,hip_eta_dq_rms_mean,hip_eta_dq_rms_std,hip_eta_u_rms_nm_mean,hip_eta_u_rms_nm_std,knee_rmse_rad_mean,knee_rmse_rad_std,knee_vel_rmse_rad_s_mean,knee_vel_rmse_rad_s_std,knee_max_abs_err_rad_mean,knee_max_abs_err_rad_std,knee_tau_est_rms_nm_mean,knee_tau_est_rms_nm_std,knee_tau_est_diff_rms_nm_per_sample_mean,knee_tau_est_diff_rms_nm_per_sample_std,knee_tau_cmd_rms_nm_mean,knee_tau_cmd_rms_nm_std,knee_tau_cmd_diff_rms_nm_per_sample_mean,knee_tau_cmd_diff_rms_nm_per_sample_std,knee_max_abs_tau_est_nm_mean,knee_max_abs_tau_est_nm_std,knee_max_abs_tau_cmd_nm_mean,knee_max_abs_tau_cmd_nm_std,knee_max_abs_dq_rad_s_mean,knee_max_abs_dq_rad_s_std,knee_ref_acc_rms_rad_s2_mean,knee_ref_acc_rms_rad_s2_std,knee_ref_jerk_rms_rad_s3_mean,knee_ref_jerk_rms_rad_s3_std,knee_eta_q_rms_mean,knee_eta_q_rms_std,knee_eta_dq_rms_mean,knee_eta_dq_rms_std,knee_eta_u_rms_nm_mean,knee_eta_u_rms_nm_std,coord_rmse_rad_mean,coord_rmse_rad_std,coord_max_abs_rad_mean,coord_max_abs_rad_std
P1:eid,P1,eid,,,,,,,5,5,0,7.999083217800217,0.0003388765405588368,7811.2,9.444575162494075,4883.6,5.727128425310542,4883.6,5.727128425310542,4883.6,5.727128425310542,nan,nan,0.012686567226588851,0.00031366568332783136,0.16127421436033315,0.005837408992640546,0.02667552629938476,0.003446871930719258,3.9201983541506245,0.018116372959275488,0.5369660491028464,0.012737133862308691,3.9439189341722725,0.02221073419693671,0.1861811817660649,0.001410084925030916,8.2734375,0.29120563218255885,7.954447269439697,0.3381330853040919,1.5329682588577271,0.030967191529071413,4.167786392286666,0.0017778397684499769,251.85490835896994,0.17107678118791242,0.0006171121707844086,0.00011117033428562954,0.014215329661875335,0.0015775535735659011,0.018639286042250985,0.0017304743615496189,0.01782705003961282,8.879143427924632e-05,0.19129859162618723,0.006940230183600269,0.0488658069167862,0.003786475352476889,2.7872992591430354,0.012424096906685847,0.766888936797761,0.018785118884820866,2.8036977241693557,0.023280100657239504,0.14020562856703903,0.003356881691833194,9.375,0.31093357409581873,8.210867118835449,0.18837244471836803,1.49499454498291,0.0786131427791583,5.209732990358332,0.0022222997105596828,314.8186354487151,0.21384597648499604,0.0006094164362984022,0.00016542072672840643,0.015502369771506545,0.00024308322025252087,0.018549020794188287,0.0010540328959565692,0.018110364346933455,0.00022903466342003262,0.0358926694063509,0.0016313914406398044
P1:pd,P1,pd,,,,,,,5,5,0,7.998983557400061,0.00038990014373143565,7810.8,13.608820668963201,4882.4,9.423375191511797,4882.4,9.423375191511797,4882.4,9.423375191511797,nan,nan,0.03422859732608336,0.0002182905310538232,0.1998735187703865,0.0016719491615385348,0.05915029059607786,0.00290950678690977,3.7098199513950174,0.02080452516997055,0.40668682164706976,0.0025042042457086773,0.0,0.0,0.0,0.0,6.9140625,0.16046559301909163,0.0,0.0,1.284165859222412,0.01693752112838176,4.167943350352562,0.0008284593564080495,252.03828811712714,0.15400200002848222,0.32326764535431873,7.826578161275795e-05,0.7215505418336423,0.00010784706822854372,0.0,0.0,0.02731781102522867,0.00034188335446822194,0.2058612086946561,0.0018319456899511864,0.05574621998375721,0.004184257045969268,2.6971865376826645,0.0238521507396297,0.6302416218380454,0.02351888447654302,0.0,0.0,0.0,0.0,6.76875,0.21378289220608837,0.0,0.0,1.4052553653717041,0.007794734939223776,5.209929187940705,0.001035574195510421,315.04786014641127,0.19250250003562341,0.5303437850743622,0.00010079649318320356,0.9019381772920528,0.00013480883528577085,0.0,0.0,0.030621880609860635,0.00022781013164609098,0.05039381134147307,0.002613766047340611
P2-H:eid,P2-H,eid,,,,,hip,manual_push,5,5,0,9.99927331300023,0.0003897868648101902,9760.4,5.176871642217914,6829.6,5.549774770204643,6829.6,5.549774770204643,6829.6,5.549774770204643,nan,nan,0.007894158526428031,0.00017092439653920336,0.1068293122878393,0.004207807635884612,0.01727584694260762,0.0009028233218897824,2.770567053604583,0.006452867831709463,0.5163654942909972,0.006533321557625846,2.8127828745649928,0.007927142719854554,0.18489959235496728,0.00038819942200700274,7.2421875,0.3225318502622551,6.61446475982666,0.14503600246215465,1.2231919050216675,0.04037945037181172,4.387513807410478,0.0009536170710477051,264.48819608811294,0.06899142515864651,0.0005277019939896801,9.509339472020779e-05,0.005926774128869405,0.0003103176854967487,0.009847162533160187,0.0009183886334023169,0.01681843216689497,0.00012383708044075612,0.2152551094312187,0.00876958442900984,0.03703933233960914,0.004188852495829911,2.5546580655282956,0.04055702650270438,0.760279334773193,0.015962789000653066,2.597131572281296,0.026051276858282662,0.1433964336113378,0.002221117595139894,7.33125,0.842186050555339,6.2303999900817875,0.7354252494513146,1.6689017295837403,0.05185626246502306,5.484392259795143,0.0011920213182256222,330.61024514033835,0.0862392810463705,0.0006525519635578811,0.00011760180181916571,0.015254393269935683,0.00021687652635092697,0.019194504193839626,0.0007700563759157916,0.02389518082331363,0.00023171323778247428,0.050730690775720524,0.004763377471181665
P2-H:pd,P2-H,pd,,,,,hip,manual_push,5,5,0,9.999270945600074,0.0007672329869871485,9761.2,11.541230437002808,6830.8,13.311649033834989,6830.8,13.311649033834989,6830.8,13.311649033834989,nan,nan,0.02352345468960584,7.713479168445661e-05,0.13488443429668448,0.0006538699437075289,0.04760166244777971,0.0037719316590899927,2.3849437700343064,0.003759939676474853,0.37280466719791866,0.006187300694563883,0.0,0.0,0.0,0.0,4.921875,0.10961886875314282,0.0,0.0,1.1940991878509521,0.006199216682942442,4.386861767072594,0.0015614186350051463,264.4230575786595,0.14113299290184614,0.3334956547889356,6.575981372956278e-05,0.7911543952061576,0.00020067924413769202,0.0,0.0,0.02443885226283211,0.00017818026223756758,0.18226266378146783,0.0010160125489191455,0.04662643330013785,0.004622163995210947,2.312811859932097,0.007926738452606665,0.6130016041759992,0.014363649984733398,0.0,0.0,0.0,0.0,5.2125,0.32879396093906593,0.0,0.0,1.445111870765686,0.009540553496660234,5.483577209376056,0.0019517732962800016,330.5288220040722,0.17641624189543384,0.5302185385893506,8.842788250825144e-05,0.9889429939110653,0.0002508490551120506,0.0,0.0,0.04676561858223976,0.00025744072355072606,0.09339732099546372,0.00914154868453572
P3:preview2,P3,preview2,,,,,,,2,2,0,7.99980219750023,0.00015603796088874933,6014.0,56.568542494923804,3730.0,33.94112549695428,3730.0,33.94112549695428,3730.0,33.94112549695428,nan,nan,0.028637065018158367,7.516007569589098e-05,0.1677864553618384,0.00012291753667844921,0.048608655348000546,0.0002547543369678454,2.976263274563675,0.011060865753467307,0.45152355128242394,0.0027211719157452193,0.0,0.0,0.0,0.0,5.68359375,0.24859222776089562,0.0,0.0,1.1539833545684814,0.0005853354321192963,3.5300678834520784,0.013274218947867374,80.7808059165898,1.0632559948064169,0.3275673774375074,0.00019861718369704138,0.6601685857536849,0.0002566601594279003,0.0,0.0,0.02731894996698002,0.00014221734497082525,0.18411068457546048,0.0005679711861539677,0.05060526499983922,0.0001894836479905897,2.5341601379230436,0.011807374924434748,0.6846486402423652,0.02017458686523744,0.0,0.0,0.0,0.0,6.515625,0.1988737822087165,0.0,0.0,1.2568832039833069,1.997760619416377e-05,4.412584854315034,0.016592773684908482,100.97600739609807,1.3290699934827062,0.5261193911250988,0.00021715742089410773,0.8252107321920861,0.000320825199290253,0.0,0.0,0.030395634071203676,7.014751873973035e-05,0.04686472647885659,1.089599721837069e-05
P3:quintic,P3,quintic,,,,,,,2,2,0,7.9987830895001935,5.273107423900257e-05,7812.0,8.48528137423857,4881.0,4.242640687119285,4881.0,4.242640687119285,4881.0,4.242640687119285,nan,nan,0.027520343729094957,5.589909290059176e-05,0.6077822988545056,0.001294920659601561,0.05051552987805688,0.0011085630077587786,3.322969163052309,0.015051856252924453,0.5865972793234391,0.0018002305351050051,0.0,0.0,0.0,0.0,8.0859375,0.0,0.0,0.0,1.642303466796875,0.007796661212333265,54.435835555250506,0.009815189015138429,7000.89235083782,1.9682384320870057,0.32736141750408954,7.525325284151406e-05,0.7879318764821576,0.0004112795650061356,0.0,0.0,0.025447743107845963,6.24979031430864e-05,0.6188555752857807,0.0010022553039410389,0.05425748150097695,0.00030941296040698366,3.5302968017259806,0.021008586371689317,0.9847746151825604,0.008825458818498626,0.0,0.0,0.0,0.0,10.265625,0.1988737822087165,0.0,0.0,1.4056731462478638,0.0026638494132825465,68.04479444406309,0.012268986268874049,8751.115438547266,2.4602980401016827,0.5260968646650599,6.689584357549047e-05,0.9849148456026963,0.000514099456257591,0.0,0.0,0.03024366635598777,4.915661737495829e-05,0.04695912902047311,0.00032813728119757894
P4-Ko:o0,P4-Ko,,ko,o0,0.0,1.0,none,none,3,3,0,7.998778183000165,0.0005751435479978735,7820.0,15.620499351813308,4889.333333333333,16.165807537309522,4889.333333333333,16.165807537309522,4889.333333333333,16.165807537309522,nan,nan,0.11637472347865861,0.002060299524972592,0.3668489663505903,0.011279810645338204,0.2195984976069896,0.008177092010540114,2.8165313000282564,0.018297463010879665,0.5477546318938918,0.00861927220034837,2.8483936014593083,0.022422507967167354,0.18090603088844673,0.00039979947634045753,7.16796875,0.322709211755045,6.236527442932129,0.04551237559635647,1.7274444103240967,0.012897644827375787,4.372033377788266,0.002343524725299709,263.6319527413998,0.18710000226982215,0.0,0.0,0.0,0.0,0.0,0.0,0.32951829472639266,0.001916709383729197,0.7936784692499504,0.01653375018174092,0.5358483574839625,0.011353400341100127,1.172254916467165,0.011603783982895018,0.5759539456190942,0.010074683861041687,1.2009815629893756,0.006159483182576295,0.13069271738876267,0.0003910295618644172,3.09375,0.24803918541230538,2.165252765019735,0.014870494263793008,0.5852850476900736,0.02004538783712641,5.465041722218872,0.0029294059037553552,329.53994092334233,0.23387500376999318,0.0,0.0,0.0,0.0,0.0,0.0,0.40408254199079,0.00371660817306928,0.635894009398648,0.027168622441657624
P4-Ko:o1,P4-Ko,,ko,o1,0.25,1.0,none,none,3,3,0,7.999599889333392,0.00043759793308522044,7812.0,14.0,4877.333333333333,4.163331998932265,4877.333333333333,4.163331998932265,4877.333333333333,4.163331998932265,nan,nan,0.01023204962714312,0.0001677024649405493,0.15924738516388318,0.004550905259806019,0.029191656994981423,0.0005520950739946721,2.8175452598214323,0.01839702985935799,0.4948344946536148,0.005472268158507308,2.8591921148376263,0.014804731722830576,0.18091618320196692,0.00020382685086907777,6.9140625,0.2029747040119778,6.365848700205485,0.11072938691310898,1.4416200717290242,0.023592232704412356,4.37290824603411,0.0005618480419772702,263.7249559486618,0.13911471804016923,0.0003313149543751092,2.3138068504870946e-05,0.004841598144200613,9.969805228140346e-05,0.008397925903569565,0.0002659476021409242,0.02559317814625821,0.0004182151330602389,0.29163979376391075,0.010715660201965243,0.055165382114497064,0.001153635404536781,2.583357383577271,0.05118373769348794,0.7538128103613123,0.012245601412054247,2.6141852586116983,0.03682679944478397,0.13965976482039316,0.0025979797239504172,6.96875,0.23593232610221093,5.739119211832683,0.20338371426935214,1.8964890241622925,0.009597913333744351,5.466135307553952,0.0007023100504461723,329.6561949335498,0.17389339903470424,0.0005781063761607228,2.403011620846018e-05,0.012336054672431726,0.00020135370519800718,0.01877969781746075,0.0003620799543351647,0.03414395645836726,0.0005501918529374981,0.08179990056860416,0.004270866435623452
P4-Ko:o2,P4-Ko,,ko,o2,0.5,1.0,none,none,3,3,0,7.99859912933304,0.00046520833120036455,7817.333333333333,2.309401076758503,4886.0,2.0,4886.0,2.0,4886.0,2.0,nan,nan,0.008916777754418815,0.00010391068856392441,0.1328322704973913,0.001845936803243901,0.022583059233931186,0.003029400017027097,2.741464559018588,0.008582687855631698,0.5051480157689272,0.009029682826717947,2.7788399588950305,0.0041503806789432805,0.1815883477022738,0.0005797312285657153,7.0703125,0.12197261715621871,6.626904646555583,0.06780501059111617,1.3038130203882854,0.00851315938169544,4.371027078100024,0.002668911415212236,263.9088778289646,0.14683332107722674,0.00039222168999796024,5.068378048889157e-05,0.005931753143466723,0.0001458407222245738,0.00923114801461477,0.00030578095411298406,0.02027295608773715,0.00010749155328704013,0.2744122384622467,0.0004212666531380212,0.044398934382730904,0.0030681994239381816,2.653741764786256,0.013075445453582317,0.7747797783829986,0.021246664092501102,2.6852747057554613,0.006327891259336752,0.14570143128149138,0.0013354390473988072,7.34375,0.14320549046737,6.277170976003011,0.22652750980429334,1.7906262079874675,0.008144712092612283,5.463783847643643,0.003336139260920202,329.88609728349644,0.18354165023906224,0.0005391034766105561,7.048544324799016e-05,0.014585710085258009,2.691759991760553e-05,0.019280888824041068,0.0002485917055891713,0.02834894135975694,6.143379680350495e-06,0.06630519073991521,0.006308869960480692
P4-Ko:o3,P4-Ko,,ko,o3,0.75,1.0,none,none,3,3,0,7.9990953123330355,0.00048360335718464204,7806.666666666667,8.082903768654761,4876.666666666667,9.018499505645789,4876.666666666667,9.018499505645789,4876.666666666667,9.018499505645789,nan,nan,0.008149889531093009,8.406626535284859e-05,0.11574706525025309,0.0011119444099371536,0.018158189029696497,0.0006901055806100056,2.708587381061235,0.007639568339766492,0.5017783382387044,0.006954759297075656,2.7462936381437104,0.006375264378032027,0.18380244374528695,0.00015095552811925935,7.03125,0.3564118670096613,6.524290879567464,0.18395379440420964,1.2802122831344604,0.005169171440432305,4.372367383750583,0.0005012813487627021,263.7345499541845,0.05421063871132793,0.00037826771239871744,1.0148858384334998e-05,0.0067024073421991645,0.0007450257038551909,0.009623536706319819,0.000779915604802241,0.017982737211548062,5.7735135725022484e-05,0.2381982945779701,0.005874938638435215,0.035355199389067206,0.00022288589434983793,2.579301859439287,0.018636807797912443,0.7816679302931628,0.018999200289540948,2.600594143113961,0.020634434048829864,0.14120094477094924,0.0008638807133495073,7.46875,1.3269296090976341,6.091338316599528,0.17728643130956795,1.6591827472050984,0.0151655575315842,5.4654592296711,0.0006266016860868296,329.6681874397148,0.06776329794572236,0.0004712966742041464,3.838065833274644e-06,0.015094673582118086,0.00015648223189712316,0.01873525928210277,0.00015611171505500957,0.025443277832232658,0.00018505261665125952,0.0510662672640975,0.00030979036217773843
