method,repeat,log_path,window,n,dt_median,source,target,corr_zero_lag,best_corr_abs_lag,best_lag_ms
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_g,-0.365146378004237,-0.497885832774099,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_hacc,0.3629783939313014,0.5626837820282142,-30.484184998158526
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_kacc,0.32152022397306296,0.562028433254618,-44.71013799729917
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_vel,0.2952336438914561,0.469923093349606,-79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_model,0.30397529086587777,0.6574789528283418,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,pre,490,0.002032278999877235,eid_comp_k,d_in,0.30397529086587777,0.6574789528283418,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,tau_sw_k,-0.5734136308172569,-0.5884793156202447,-20.32278999877235
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_g,-0.16076630638699765,-0.3308243567223457,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_hacc,0.26985937815915584,0.573925953845448,-34.548742997912996
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_kacc,0.35299147380548085,0.7037170425253153,-34.548742997912996
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_vel,0.06266756969212275,-0.1922267289658769,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_model,0.25632255585964026,0.6224789194923034,-34.548742997912996
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,685,0.002032278999877235,eid_comp_k,d_in,-0.07582796019068949,-0.5283802453359312,50.806974996930876
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,tau_sw_k,,,0.0
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_g,-0.3530575199938636,-0.5267217846892711,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_hacc,0.4377577520502383,0.7498447574188042,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_kacc,0.3924102610243246,0.7409088423196539,-34.548742997912996
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_vel,0.21006566681963879,0.38214331400774393,-79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_model,0.3878962040294093,0.7704128483292588,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,491,0.002032278999877235,eid_comp_k,d_in,0.3878962040294093,0.7704128483292588,-32.51646399803576
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,tau_sw_k,,,0.0
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_g,-0.30735384238563523,-0.3349424941953975,79.25888099521217
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_hacc,0.3743818522876859,0.6431705591326162,-30.484184998158526
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_kacc,0.3634325691614464,0.6925959918675836,-30.484184998158526
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_vel,0.3060637196494187,0.3060637196494187,0.0
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_model,0.3409410858711762,0.7048235870047506,-30.484184998158526
eid,r02,data\20260623_191422\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,974,0.002032278999877235,eid_comp_k,d_in,0.3409410858711762,0.7048235870047506,-30.484184998158526
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,pre,489,0.002031108499977563,eid_comp_k,tau_sw_k,,,0.0
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,pre,489,0.002031108499977563,eid_comp_k,d_g,-0.36107885674984574,-0.48384941481215005,79.21323149912496
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,pre,489,0.002031108499977563,eid_comp_k,d_hacc,0.3715249663212367,0.5570785533599913,-30.466627499663446
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,pre,489,0.002031108499977563,eid_comp_k,d_kacc,0.3264698606844471,0.5578026854000395,-44.68438699950639
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,pre,489,0.002031108499977563,eid_comp_k,d_vel,0.3031869907245195,0.43160884782435255,-79.21323149912496
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,pre,489,0.002031108499977563,eid_comp_k,d_model,0.3231774990555634,0.6622566497723508,-32.49773599964101
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,pre,489,0.002031108499977563,eid_comp_k,d_in,0.3231774990555634,0.6622566497723508,-32.49773599964101
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,684,0.002031108499977563,eid_comp_k,tau_sw_k,-0.6081632066159041,-0.6238438771123134,-14.217759499842941
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,684,0.002031108499977563,eid_comp_k,d_g,-0.15363049470060786,-0.3452498614150324,79.21323149912496
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,684,0.002031108499977563,eid_comp_k,d_hacc,0.236245215632618,0.5166321163264639,-34.52884449961857
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,684,0.002031108499977563,eid_comp_k,d_kacc,0.3570515537764992,0.6606342021287016,-32.49773599964101
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,684,0.002031108499977563,eid_comp_k,d_vel,0.12607583864705488,-0.2483686167698277,79.21323149912496
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,684,0.002031108499977563,eid_comp_k,d_model,0.22199448562568125,0.5663825162122049,-34.52884449961857
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,684,0.002031108499977563,eid_comp_k,d_in,-0.14126908901851798,-0.5184071904847467,46.71549549948395
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,488,0.002031108499977563,eid_comp_k,tau_sw_k,,,0.0
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,488,0.002031108499977563,eid_comp_k,d_g,-0.3783232497982254,-0.6049554181715184,79.21323149912496
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,488,0.002031108499977563,eid_comp_k,d_hacc,0.42197840915602114,0.6588099667531131,-30.466627499663446
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,488,0.002031108499977563,eid_comp_k,d_kacc,0.3764182993704061,0.6409501016350341,-28.435518999685883
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,488,0.002031108499977563,eid_comp_k,d_vel,0.3292194136344882,0.388735913916055,-79.21323149912496
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,488,0.002031108499977563,eid_comp_k,d_model,0.3617832359980217,0.6739076022872286,-32.49773599964101
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,488,0.002031108499977563,eid_comp_k,d_in,0.3617832359980217,0.6739076022872286,-32.49773599964101
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,589,0.002031108499977563,eid_comp_k,tau_sw_k,,,0.0
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,589,0.002031108499977563,eid_comp_k,d_g,-0.0580668847205326,-0.25845227234147156,-75.15101449916983
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,589,0.002031108499977563,eid_comp_k,d_hacc,0.5216524846649678,0.7997233738399311,-48.74660399946151
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,589,0.002031108499977563,eid_comp_k,d_kacc,0.6788389878575987,0.8410061326274413,-34.52884449961857
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,589,0.002031108499977563,eid_comp_k,d_vel,-0.11781918313195969,-0.1895561089852083,20.31108499977563
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,589,0.002031108499977563,eid_comp_k,d_model,0.5343950867471602,0.8081240562656188,-46.71549549948395
eid,r03,data\20260623_191453\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,589,0.002031108499977563,eid_comp_k,d_in,0.5343950867471602,0.8081240562656188,-46.71549549948395
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,pre,486,0.0020358669999041012,eid_comp_k,tau_sw_k,,,0.0
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,pre,486,0.0020358669999041012,eid_comp_k,d_g,-0.33601108887466685,-0.45588461855975765,79.39881299625995
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,pre,486,0.0020358669999041012,eid_comp_k,d_hacc,0.3533851971525944,0.5237214373617038,-28.502137998657417
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,pre,486,0.0020358669999041012,eid_comp_k,d_kacc,0.33692298421060984,0.5606340169441038,-30.53800499856152
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,pre,486,0.0020358669999041012,eid_comp_k,d_vel,0.28263473725839733,0.4323608469872486,-79.39881299625995
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,pre,486,0.0020358669999041012,eid_comp_k,d_model,0.31412463337853247,0.6258082793415336,-30.53800499856152
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,pre,486,0.0020358669999041012,eid_comp_k,d_in,0.31412463337853247,0.6258082793415336,-30.53800499856152
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,682,0.0020358669999041012,eid_comp_k,tau_sw_k,-0.6179995351129662,-0.6356266497181645,-12.215201999424607
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,682,0.0020358669999041012,eid_comp_k,d_g,-0.14597240329261085,-0.3521165210801864,79.39881299625995
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,682,0.0020358669999041012,eid_comp_k,d_hacc,0.19872311735829262,0.4294919307951347,-32.57387199846562
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,682,0.0020358669999041012,eid_comp_k,d_kacc,0.3312184329797616,0.6448793098593969,-32.57387199846562
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,682,0.0020358669999041012,eid_comp_k,d_vel,0.12462846523460093,-0.24531620650283661,79.39881299625995
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,682,0.0020358669999041012,eid_comp_k,d_model,0.1801973523562722,0.4634847650493201,-34.60973899836972
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,682,0.0020358669999041012,eid_comp_k,d_in,-0.16596448181101742,-0.46427739960995645,46.82494099779433
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,487,0.0020358669999041012,eid_comp_k,tau_sw_k,,,0.0
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,487,0.0020358669999041012,eid_comp_k,d_g,-0.37700920290636997,-0.6414346650122396,79.39881299625995
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,487,0.0020358669999041012,eid_comp_k,d_hacc,0.3789309522284038,0.5353988426871327,-28.502137998657417
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,487,0.0020358669999041012,eid_comp_k,d_kacc,0.34624589782609283,0.5885323982256065,-24.430403998849215
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,487,0.0020358669999041012,eid_comp_k,d_vel,0.32653709213656745,0.33710187389160035,-79.39881299625995
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,487,0.0020358669999041012,eid_comp_k,d_model,0.30675949282775655,0.5168478328621297,-28.502137998657417
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,487,0.0020358669999041012,eid_comp_k,d_in,0.30675949282775655,0.5168478328621297,-28.502137998657417
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,972,0.0020358669999041012,eid_comp_k,tau_sw_k,,,0.0
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,972,0.0020358669999041012,eid_comp_k,d_g,-0.3351865950572686,-0.34667102954329837,79.39881299625995
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,972,0.0020358669999041012,eid_comp_k,d_hacc,0.39757327366544243,0.6387554736090585,-30.53800499856152
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,972,0.0020358669999041012,eid_comp_k,d_kacc,0.3720380574703176,0.6696177381160932,-28.502137998657417
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,972,0.0020358669999041012,eid_comp_k,d_vel,0.32061137554987357,0.3239222199172069,-6.107600999712304
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,972,0.0020358669999041012,eid_comp_k,d_model,0.35682246667093714,0.681680842728857,-30.53800499856152
eid,r04,data\20260623_191520\h1_real_p2_anti_hip_knee_eid_log.csv,recovery,972,0.0020358669999041012,eid_comp_k,d_in,0.35682246667093714,0.681680842728857,-30.53800499856152
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020324049999089766,eid_comp_k,tau_sw_k,,,0.0
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020324049999089766,eid_comp_k,d_g,-0.34767879541464647,-0.4583448662805163,79.26379499645009
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020324049999089766,eid_comp_k,d_hacc,0.35644710071549757,0.554294408508475,-30.48607499863465
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020324049999089766,eid_comp_k,d_kacc,0.32746232750252124,0.590596495809782,-44.712909997997485
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020324049999089766,eid_comp_k,d_vel,0.2869846362689058,0.43928097128858645,-79.26379499645009
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020324049999089766,eid_comp_k,d_model,0.3082375929759787,0.6574729988040927,-30.48607499863465
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,pre,488,0.0020324049999089766,eid_comp_k,d_in,0.3082375929759787,0.6574729988040927,-30.48607499863465
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,686,0.0020324049999089766,eid_comp_k,tau_sw_k,-0.6256616336844557,-0.6340788684032388,-12.19442999945386
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,686,0.0020324049999089766,eid_comp_k,d_g,-0.1500323973730033,-0.342574824551255,79.26379499645009
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,686,0.0020324049999089766,eid_comp_k,d_hacc,0.23488829911000383,0.49520723782697973,-34.5508849984526
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,686,0.0020324049999089766,eid_comp_k,d_kacc,0.3297723219879683,0.6822815215605597,-36.58328999836158
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,686,0.0020324049999089766,eid_comp_k,d_vel,0.11531417391153866,-0.24296029607066263,79.26379499645009
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,686,0.0020324049999089766,eid_comp_k,d_model,0.22036688435022603,0.5363707722786357,-36.58328999836158
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,disturbance,686,0.0020324049999089766,eid_comp_k,d_in,-0.13836398312103854,-0.502850036092319,50.810124997724415
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,490,0.0020324049999089766,eid_comp_k,tau_sw_k,,,0.0
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,490,0.0020324049999089766,eid_comp_k,d_g,-0.3795589426377531,-0.607674594858736,79.26379499645009
eid,r05,data\20260623_191551\h1_real_p2_anti_hip_knee_eid_log.csv,plateau,490,0.0020324049999089766,eid_comp_k,d_hacc,0.4345056231247018,0.6211995549324597,-28.453669998725672
