method,window,n_runs,dt_median,tau_sw_k_rms,tau_sw_k_peak_abs,tau_sw_k_mean,d_g_rms,d_g_peak_abs,d_g_mean,d_hacc_rms,d_hacc_peak_abs,d_hacc_mean,d_kacc_rms,d_kacc_peak_abs,d_kacc_mean,d_vel_rms,d_vel_peak_abs,d_vel_mean,d_model_rms,d_model_peak_abs,d_model_mean,d_in_rms,d_in_peak_abs,d_in_mean,eid_comp_k_rms,eid_comp_k_peak_abs,eid_comp_k_mean,tau_sw_k_rms_over_d_in,d_g_rms_over_d_in,d_hacc_rms_over_d_in,d_kacc_rms_over_d_in,d_vel_rms_over_d_in,d_model_rms_over_d_in,recon_err_rms,recon_err_over_model_rms
eid,disturbance,5,0.0020327152999016105,3.625541313731593,4.0,-3.428714946037219,0.9518662787429756,1.7880589483832576,0.6648883220694091,2.155351741840499,7.181126290146881,-0.13358212122838575,3.37824026202008e-09,8.347358892990541e-09,-2.0990886685001724e-10,0.06339705061282501,0.1641479969354843,0.0474608350992619,1.9288182333934707,6.167756629274477,0.5787670357303762,3.570222590054123,9.831202717217021,-2.8499479103068426,0.04699754974858163,0.10602425657697394,0.04064383490524981,1.016239644242167,0.2668105612114531,0.6028668788987831,9.45455099135747e-10,0.01776485332074365,0.5392266786569279,3.5955488880781453e-16,1.874254844139971e-16
eid,plateau,5,0.0020327152999016105,4.0,4.0,-4.0,1.0804698490449678,1.7880589483832576,0.7661295527456529,2.076464667969043,7.181126290146881,-0.27657692876447815,3.39434812805782e-09,8.347358892990541e-09,-3.615240268412507e-10,0.04643884693677104,0.10536820378029241,0.032396318966844424,1.7147501782285715,5.831202717217022,0.5219489425864952,3.846201838151307,9.831202717217021,-3.478051057413505,0.04891626343268606,0.08475442597260632,0.04538204997447805,1.0403258076386295,0.28101141273921754,0.5393678304286031,8.815435486384463e-10,0.012074338848263439,0.4451228196335548,3.2586603614129303e-16,1.912223249388493e-16
eid,pre,5,0.0020327152999016105,0.0,0.0,0.0,0.9034907684974709,1.4637298963590242,0.4856481710300898,1.620264093248064,3.4302747052977574,0.019173883871395483,2.6656277973597372e-09,7.346381281081449e-09,2.0411966485286364e-10,0.055089294356223374,0.12925457519544575,0.03847527476987491,1.1825779561576888,2.973828613771308,0.5432973298754799,1.1825779561576888,2.973828613771308,0.5432973298754799,0.019404427995893963,0.05871673294467498,0.010165237223731487,0.0,0.7641098274781809,1.3702262124524653,2.2545286879892036e-09,0.04659118353780731,1.0,2.7711517202851784e-16,2.343499288428622e-16
eid,recovery,5,0.0020327152999016105,0.0,0.0,0.0,0.9308898461709167,1.4745051798803412,0.6406960576305903,2.2135267369813034,5.729265564687289,-0.43080251082843957,4.431422377761163e-09,1.1068143912495997e-08,-5.733325960155182e-10,0.08218199881112968,0.2202991446686288,0.05809558641497997,1.8677575225982057,4.71773386042682,0.26798913264379814,1.8677575225982057,4.71773386042682,0.26798913264379814,0.022513158556714548,0.09715931449759332,0.008602219982220792,0.0,0.6065858999849416,1.2278355395414586,2.30627669998687e-09,0.04505586188505893,1.0,4.594920670777944e-16,2.362866114706348e-16
pd,disturbance,5,0.0020313855000722468,3.6245695322371105,4.0,-3.4275635905389,1.0061518423854419,1.826733745963167,0.7058930990700448,1.4166229938285013,2.909869292247374,-0.0627256852804685,1.7959926191863378e-09,4.102879191947295e-09,-2.8357134486689406e-12,0.06824652512627803,0.1375024503377907,0.053966402381092904,1.0529560349686986,2.203863774102339,0.6971338161678334,3.1174946381044983,5.198612508420241,-2.730429774371067,0.0,0.0,0.0,1.1626549639859503,0.3227438842481045,0.4544110934058385,5.761023973136759e-10,0.02189150697466804,0.33775740664522175,2.1353152167408562e-16,2.0279751537458566e-16
pd,plateau,5,0.0020313855000722468,4.0,4.0,-4.0,1.151578932076999,1.826733745963167,0.836908126862338,1.5680211699466402,2.909869292247374,-0.3199294711321822,1.938486806600719e-09,4.102879191947295e-09,-2.613312482801723e-10,0.05199394155937396,0.10228154068256572,0.03821460171405408,0.984180398154162,2.203863774102339,0.5551932571828786,3.539358779597569,5.198612508420241,-3.4448067428171214,0.0,0.0,0.0,1.1301490303548654,0.3253639116573871,0.4430245526564115,5.476972088236485e-10,0.014690215359335932,0.27806797731789434,2.273428649479027e-16,2.30991940673616e-16
pd,pre,5,0.0020313855000722468,0.0,0.0,0.0,0.9788674928547223,1.5817449938471075,0.5679401349786856,1.4806253874716409,2.6295505100040044,-0.09525721368383415,1.912690970994629e-09,3.7748726811059894e-09,7.471716714985602e-12,0.05593372410837287,0.12190977443695772,0.040186710048527835,0.9100647080420957,1.9068093469817928,0.5128696313508511,0.9100647080420957,1.9068093469817928,0.5128696313508511,0.0,0.0,0.0,0.0,1.075678643898819,1.6270058475984446,2.101850211436517e-09,0.061465051186809505,1.0,2.146263162840497e-16,2.3583739479718985e-16
pd,recovery,5,0.0020313855000722468,0.0,0.0,0.0,1.0104216055912167,1.5740606243174704,0.7386199700389559,1.321067734221109,2.5152930773088227,-0.3427279921185317,1.747048389187679e-09,3.974447437826711e-09,-3.5794632947570845e-10,0.0651259418780608,0.13108369186718,0.049366361833767344,0.8068204258498234,1.90589586247665,0.44525833939624515,0.8068204258498234,1.90589586247665,0.44525833939624515,0.0,0.0,0.0,0.0,1.252374445262094,1.6373831885403263,2.165376785191759e-09,0.0807203560092111,1.0,2.1161712780328455e-16,2.62292543445906e-16
