method,log_path,condition_id,repeat_id,joint_id,joint_name,duration_s,cycles,dt_mean_s,dt_median_s,dt_max_s,q_rmse_all_rad,q_rmse_after_startup_rad,q_peak_after_startup_rad,dq_rmse_after_startup_rad_s,tau_est_rms_after_startup_nm,ref_acc_rms_after_startup_rad_s2,ref_jerk_rms_after_startup_rad_s3,ref_acc_peak_after_startup_rad_s2,ref_jerk_peak_after_startup_rad_s3,flags_seen
Preview-MPC 2pt,data/20260623_012713/h1_real_p3_preview2_hip_knee_pd_log.csv,P3_PD_preview_mpc_2point_same_phase_smoke,smoke02,1,RightHipPitch,5.998267421000492,2332,0.002572155158232856,0.0020249569988663504,0.0116757489995507,0.020144268911453385,0.02407670867828355,0.03854385018348688,0.07185965936884806,2.7541328604801656,1.0935808301829382,24.746927342673846,2.0342613117440145,85.63447600594824,4
Preview-MPC 2pt,data/20260623_012713/h1_real_p3_preview2_hip_knee_pd_log.csv,P3_PD_preview_mpc_2point_same_phase_smoke,smoke02,2,RightKnee,5.998267421000492,2332,0.002572155158232856,0.0020249569988663504,0.0116757489995507,0.02002352365547216,0.02036035764597394,0.033798992633819636,0.08486025216192196,2.196478693825025,1.3669759970000057,30.93544292570369,2.5428261901232503,107.04306866452603,4
Quintic stop,data/20260623_012727/h1_real_p3_quintic_hip_knee_pd_log.csv,P3_PD_quintic_stop_same_phase_smoke,smoke02,1,RightHipPitch,5.999661253999875,2934,0.002044874175187033,0.0020281560000512,0.0022294970003713,0.01916113844382322,0.02314517481559274,0.0400310754776001,0.21797160943447552,2.7990764778124486,24.679965877261612,3138.4308471726126,47.26186554926085,8299.762929056691,4
Quintic stop,data/20260623_012727/h1_real_p3_quintic_hip_knee_pd_log.csv,P3_PD_quintic_stop_same_phase_smoke,smoke02,2,RightKnee,5.999661253999875,2934,0.002044874175187033,0.0020281560000512,0.0022294970003713,0.019859382134019304,0.019690518870238243,0.03854250907897949,0.2775477544285378,2.452617044049293,30.849962428454514,3922.997152536062,59.0773366344839,10374.703889077347,4
