batch_time,target,disturbance_method,method,repeat,condition,config,duration_s,pause_s,command,start_time,end_time,returncode,status,log_path
2026-06-23T16:56:26,hip,manual_push,pd,r01,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r01 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:56:26,2026-06-23T16:56:37,0,ok,data/20260623_165626/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T16:56:26,hip,manual_push,eid,r01,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r01 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:56:42,2026-06-23T16:56:52,0,ok,data/20260623_165642/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T16:56:26,hip,manual_push,pd,r02,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r02 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:56:57,2026-06-23T16:57:07,0,ok,data/20260623_165657/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T16:56:26,hip,manual_push,eid,r02,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r02 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:57:12,2026-06-23T16:57:23,0,ok,data/20260623_165712/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T16:56:26,hip,manual_push,pd,r03,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r03 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:57:28,2026-06-23T16:57:38,0,ok,data/20260623_165728/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T16:56:26,hip,manual_push,eid,r03,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r03 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:57:43,2026-06-23T16:57:54,0,ok,data/20260623_165743/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T16:56:26,hip,manual_push,pd,r04,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r04 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:57:59,2026-06-23T16:58:09,0,ok,data/20260623_165759/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T16:56:26,hip,manual_push,eid,r04,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r04 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:58:14,2026-06-23T16:58:24,0,ok,data/20260623_165814/h1_real_p2_anti_hip_knee_eid_log.csv
2026-06-23T16:56:26,hip,manual_push,pd,r05,P2-H_PD_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_pd.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_pd.yaml --duration 10 --condition P2-H_PD_anti_phase_hip_disturbance --repeat r05 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:58:29,2026-06-23T16:58:40,0,ok,data/20260623_165830/h1_real_p2_anti_hip_knee_pd_log.csv
2026-06-23T16:56:26,hip,manual_push,eid,r05,P2-H_EID_anti_phase_hip_disturbance,config/h1_real_p2_anti_hip_knee_eid.yaml,10.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p2_anti_hip_knee_eid.yaml --duration 10 --condition P2-H_EID_anti_phase_hip_disturbance --repeat r05 --disturbance-target hip --disturbance-method manual_push,2026-06-23T16:58:45,2026-06-23T16:58:55,0,ok,data/20260623_165845/h1_real_p2_anti_hip_knee_eid_log.csv
