cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.523079991341,0,-0.20000000298,0,0,-0.20000000298,0,-0.20000000298,0,-0.52308,0,-0.52308,0,0,-0.0352844293999,-5.42482778084,0,-0.2,0,0,-0.52308,0,-1.21654908369e-10,3.04137325249e-08,-0.52308,-0.523080000093,-1.37558203357e-07,0,-0.568208549997,-0.00188035624986,-0.0451285499966,-0.00188035624986,5.19833872031,-0.2,-5.42482778084,-0.52308,-0.0352844293999,0,-0.0352844293999,0,0,0,4,0
0,0,2,0.778850018978,0,0.20000000298,0,0,0.20000000298,0,0.20000000298,0,0.77885,0,0.77885,0,0,0.0441055208617,1.41893382854,0,0.2,0,0,0.77885,0,1.52068579951e-10,-3.80171496347e-08,0.77885,0.778850000116,1.71947692255e-07,0,0.790653955593,0.000491831483031,0.0118039555927,0.000491831483031,-4.87277582942,0.2,1.41893382854,0.77885,0.0441055208617,0,0.0441055208617,0,0,0,4,0
5,0.01,1,-0.523193240166,0,-1.20000004768,0,0,-1.20000004768,0,-1.20000004768,0,-0.523080008337,-1.9377602257e-06,-0.523193269573,-0.0241772431982,-0.000137391013662,0.0159912555774,-5.42483421491,-0.139229551111,-1.2,-9.24878307521e-05,-0.00819896072734,-0.522953557827,0.0352278288954,-5.00534058645e-11,1.25133643346e-08,-0.523046045658,-0.523080012394,-2.06611623341e-06,0.027028868168,-0.568131172845,-0.00187906961472,-0.0450851271868,-0.0289079377827,4.17599922832,-1.2,-5.55475495133,-0.523330660586,-0.00818598762078,-0.000137391013662,0.0159912555774,0.000113261236009,0.024175305438,-0.00930881469637,4,0
5,0.01,2,0.779066026211,0,1.20000004768,0,0,1.20000004768,0,1.20000004768,0,0.778850010421,2.42219940957e-06,0.779065998194,0.0460685486947,9.73274261674e-05,-0.0358360678548,1.41893765668,0.0422907733874,1.2,0.000100214915255,0.00889686923469,0.77880540864,-0.0186873169389,6.25668405974e-11,-1.56417052407e-08,0.778905623555,0.778850015492,2.58264436141e-06,-0.00979044770418,0.790569981653,0.000490754334058,0.0116643580971,0.0102812020382,-0.836992666591,1.2,1.45112898185,0.77916332562,0.0102324808399,9.73274261674e-05,-0.0358360678548,-0.000215987773056,-0.0460661264953,0.0100994482177,4,0
10,0.02,1,-0.523761332035,0,-2.20000004768,0,0,-2.20000004768,0,-2.20000004768,0,-0.523080019334,1.480612022e-06,-0.523761332978,-0.0808880120189,0.000535678853898,0.106575076622,-5.42400104715,0.0491834083087,-2.2,-0.000181172803529,-0.0153406299718,-0.523338090647,0.0160472877086,1.26349164464e-09,-3.15872903559e-07,-0.52351926345,-0.523080014565,3.33207306686e-06,0.00070665773675,-0.568055988917,-0.00187251812057,-0.0445367254662,-0.00257917585732,3.21431286002,-2.2,-5.35730293523,-0.523225654125,0.0256870646031,0.000535678853898,0.106575076622,0.000681313644224,0.0808894926309,-0.0175147036142,4,0
10,0.02,2,0.780112743378,0,1.01320719719,0,0,1.01320719719,0,1.01320719719,0,0.778850024168,-1.85076436079e-06,0.780112741795,0.143749299334,-0.00108067420482,-0.175858118521,1.41867525532,-0.386105087817,1.01320718326,0.000200194867435,0.016960645831,0.779644459945,0.0363873855043,-1.57936408396e-09,3.94841013267e-07,0.779844654812,0.778850018207,-4.16508983318e-06,0.0533480313353,0.790490750166,0.000483179485579,0.0106460953542,-0.0528648518498,-1.85270695747,1.01320718326,1.01320718326,0.77903206759,-0.0321088191873,-0.00108067420482,-0.175858118521,-0.00126271762715,-0.143751150098,0.0193629842403,4,0
15,0.03,1,-0.524976193905,0,-3.20000004768,0,0,-3.20000004768,0,-3.20000004768,0,-0.523079956595,1.05386969181e-05,-0.524976207265,-0.149952640935,0.00204186138951,0.175639705538,-5.42449574947,0.480760429624,-3.2,-0.000217283068505,-0.0181891047178,-0.524481882381,-0.0390914300097,3.11818793008e-10,-7.79546905957e-08,-0.524699165449,-0.523079934767,1.11479431012e-05,-0.0572805347275,-0.568032740633,-0.00186249397134,-0.043333575184,0.0554180407562,2.29467658765,-3.2,-4.9229388183,-0.522934345875,0.0256870646031,0.00204186138951,0.175639705538,0.00189625066988,0.149963179632,-0.0207965015399,4,0
15,0.03,2,0.782050967216,0,0.445307761431,0,0,0.445307761431,0,0.445307761431,0,0.778849945744,-1.31733664021e-05,0.782050942169,0.22407857306,-0.00338300975919,-0.256187392248,1.41882060067,-0.950343726908,0.445307765344,0.000241988904797,0.0202652415623,0.78149988046,0.100384163552,-3.89773324727e-10,9.74433414312e-08,0.781741869365,0.778849918459,-1.39349238567e-05,0.120649405115,0.790460218123,0.000470587982732,0.00871834875836,-0.120178817132,-4.4254900623,0.445307765344,0.445307765344,0.77866793241,-0.0321088191873,-0.00338300975919,-0.256187392248,-0.00320099642522,-0.224091746427,0.0231691084199,4,0
20,0.04,1,-0.526944220066,0,-4.19999980927,0,0,-4.19999980927,0,-4.19999980927,0,-0.523079867503,2.26810612205e-06,-0.526944204759,-0.229432565985,0.00411486534587,0.221246578364,-5.42703049626,1.09087115251,-4.2,-0.000230557307621,-0.0192492485971,-0.526423040771,-0.113153179965,-3.75496445049e-09,9.3874112386e-07,-0.526653598079,-0.523079868209,-3.16939047825e-06,-0.132402428562,-0.568043593478,-0.00187122047619,-0.0413899953991,0.130531208086,1.40363177055,-4.2,-4.31414340746,-0.522829339414,-0.00818598762078,0.00411486534587,0.221246578364,0.00386433725674,0.229434834091,-0.0220159362886,4,0
20,0.04,2,0.78465205431,0,-0.121841825545,0,0,-0.121841825545,0,-0.121841825545,0,0.778849834378,-2.83513163125e-06,0.78465206445,0.281128930623,-0.00611539007007,-0.270896449784,1.41961685798,-1.51673533467,-0.12184182913,0.000258803666434,0.0216177084411,0.784066383854,0.150318047955,4.69370398104e-09,-1.17342598925e-06,0.78432518752,0.778849835261,3.96173667067e-06,0.171935756397,0.790453801149,0.000480663483807,0.00612861362862,-0.171455092913,-6.94333066473,-0.12184182913,-0.12184182913,0.77853667438,0.0102324808399,-0.00611539007007,-0.270896449784,-0.00580223007147,-0.281131765755,0.0247233524383,4,0
25,0.05,1,-0.529717862606,0,-3.57658147812,0,0,-3.57658147812,0,-3.57658147812,0,-0.52308,-2.9076983487e-05,-0.529717882857,-0.30581165871,0.00663788285703,0.27052722931,-5.42481283703,1.82639346121,-3.57658137484,-0.000230119993644,-0.0190765610598,-0.529206601125,-0.193669901323,1.34145272668e-09,-3.35363188994e-07,-0.529436721118,-0.523080059535,-2.87611686469e-05,-0.212746462383,-0.568026757735,-0.00190185855577,-0.0385900366165,0.210844603827,2.14531287081,-3.57658137484,-3.57658137484,-0.52308,-0.0352844293999,0.00663788285703,0.27052722931,0.00663788285703,0.305782581727,-0.0218380009835,4,0
25,0.05,2,0.787656545639,0,-0.63621544838,0,0,-0.63621544838,0,-0.63621544838,0,0.77885,3.63462162656e-05,0.787656572734,0.307182988761,-0.00880657273373,-0.2630774679,1.41895647952,-2.03054339208,-0.636215474569,0.000259596748811,0.021513401024,0.787080221052,0.180875996378,-1.67681735164e-09,4.19204345404e-07,0.787339817801,0.778850074418,3.59514455758e-05,0.202389397402,0.790449261705,0.000519648787328,0.00310944390421,-0.201869748615,-9.17447005324,-0.636215474569,-0.636215474569,0.77885,0.0441055208617,-0.00880657273373,-0.2630774679,-0.00880657273373,-0.307146642545,0.0246285620097,4,0
30,0.06,1,-0.533092081547,0,-2.82380056381,0,0,-2.82380056381,0,-2.82380056381,0,-0.523079932704,9.76479209118e-05,-0.5330920659,-0.35504808558,0.0100689038163,0.435639195884,-5.39587979424,2.55315959826,-2.82380065266,-0.000200180492747,-0.0165173774096,-0.532652254691,-0.259476834812,4.80473683062e-08,-1.20118420753e-05,-0.532852435183,-0.523079670856,0.000166959344512,-0.275994212221,-0.567810277945,-0.00176611646415,-0.0349578427621,0.274228095757,3.00806161717,-2.82380065266,-2.82380065266,-0.523023162084,0.0805911103044,0.0100689038163,0.435639195884,0.0100121331963,0.355145733501,-0.0189195433226,4,0
30,0.06,2,0.790657997131,0,-1.01018512249,0,0,-1.01018512249,0,-1.01018512249,0,0.77884991588,-0.000122059926018,0.790658022869,0.290492213158,-0.011879070423,-0.391231116804,1.40983627129,-2.39891646312,-1.01018507885,0.000223471020388,0.0184232347765,0.790168064951,0.184239115717,-6.00592121591e-08,1.50148030476e-05,0.790391535972,0.77884958857,-0.000208699208189,0.202662350493,0.790402620636,0.000359302772167,1.10846646153e-05,-0.202303047721,-10.7242749827,-1.01018507885,-1.01018507885,0.778778952446,-0.100738903646,-0.011879070423,-0.391231116804,-0.0118081069897,-0.290614273084,0.0211048870212,4,0
35,0.07,1,-0.536816239357,0,-2.13330125809,0,0,-2.13330125809,0,-2.13330125809,0,-0.523076724394,0.000616156530019,-0.53681621545,-0.381322763127,0.0157733776471,0.706777559056,-5.35918511222,3.2103027999,-2.13330134557,-0.000164970220983,-0.0136013240952,-0.536454472919,-0.302817829451,1.05599520905e-07,-2.6399880239e-05,-0.53661944314,-0.5230753393,0.000771746459942,-0.316419153547,-0.567529583836,-0.00123604594675,-0.0309101406964,0.3151831076,3.79129136085,-2.13330134557,-2.13330134557,-0.521042837803,0.325454795928,0.0157733776471,0.706777559056,0.0137394910556,0.381938919657,-0.015580966747,4,0
