joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,4000,,0.021401,0.039711,3.1959,0.5329,,0,
2,RightKnee,4000,,0.003958,0.011319,0.8283,0.3173,,0,
