joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,3000,,0.028515,0.136693,7.1810,0.5441,,0,
2,RightKnee,3000,,0.004377,0.018870,1.9204,0.1945,,0,
