batch_time,method,repeat,config,duration_s,pause_s,command,start_time,end_time,returncode
2026-06-23T00:51:05,pd,r01,config/h1_real_p1_lite_hip_knee_pd.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_pd.yaml --duration 8 --condition P1_PD_same_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T00:51:05,2026-06-23T00:51:13,0
2026-06-23T00:51:05,eid,r01,config/h1_real_p1_lite_hip_knee_eid.yaml,8.0,5.0,sudo -n /home/unitree/projects/whole_joint_control-1/build-h1/h1_direct config/h1_real_p1_lite_hip_knee_eid.yaml --duration 8 --condition P1_EID_same_phase_no_disturbance --repeat r01 --disturbance-target none --disturbance-method none,2026-06-23T00:51:18,2026-06-23T00:51:27,-6
