joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,2000,,0.001729,0.003394,2.3999,0.1589,,0,
2,RightKnee,2000,,0.003537,0.005754,2.3451,0.1012,,0,
