scope,direction,s,inc_pct,rms_x,rms_y,rms_res,reduction,corr,s_intercept,intercept,rms_res_intercept,reduction_intercept,n
EID,hip->knee,0.760058902175584,-23.994109782441598,2.0698368450712747,1.772418969047079,0.8164051113764889,53.93836752856353,0.9500482235751093,0.7900579306669528,0.6202147542241325,0.5345152167220539,69.84261475099028,10352
EID,knee->hip,0.76610600740001,-23.389399259999,3.825410053397722,3.406464276199762,1.7364257622331583,49.02556958060021,0.9647084871159929,0.798658198970114,-1.5296596573624666,0.8311572389002185,75.6005884251499,10352
PD,hip->knee,0.4439445053343427,-55.605549466565726,1.3900854225669765,0.9158465103626203,0.6767102532853584,26.11095356825439,0.9488510910021124,0.5092165302982317,0.6417181692699363,0.23316766650771995,74.54074849120738,10742
PD,knee->hip,0.35267331160249094,-64.7326688397509,1.791215246463169,1.6159448881967908,1.4873518549602593,7.95776107067776,0.8801767821036376,0.45589847237366715,-1.4337726449866308,0.43669095652501755,72.97612315155658,10742
ALL,hip->knee,0.6592772123771226,-34.072278762287745,1.756854971767001,1.4031518236243978,0.7920111571480619,43.554849602642065,0.9333876144231185,0.7012059088014361,0.6413456488038939,0.47051420399206895,66.46733474808792,21094
ALL,knee->hip,0.6894792871491047,-31.052071285089532,2.969088694526913,2.6503785859924416,1.6833850546932565,36.48510957679246,0.9429084942608772,0.7356255637410785,-1.5041014788416178,0.7682684284873662,71.01287972413624,21094
EID r01,hip->knee,0.6713781766680622,-32.86218233319378,1.732627761607634,1.3961992351999366,0.7721562713522416,44.69583911198258,0.93407794673613,0.706677523320193,0.6188949948171738,0.46576272413459335,66.64066901111747,2151
EID r01,knee->hip,0.7032723589670457,-29.672764103295435,2.958487731804189,2.6857269384271967,1.6982751815421395,36.766647523121776,0.9427380874292421,0.7397009074779031,-1.5163561945269672,0.7722807729679889,71.24500030445208,2151
EID r02,hip->knee,0.7163713432578698,-28.362865674213023,1.8706898006359969,1.5607931916067272,0.8001152543067794,48.73662579966044,0.9409007898243125,0.7472333983324358,0.6264956599384603,0.5010197060362223,67.89967378570779,2149
EID r02,knee->hip,0.7350494338420633,-26.495056615793665,3.2560437281378674,2.946837076775937,1.7192177584268953,41.658879889354125,0.9516131170814988,0.7658875919637462,-1.5231902245720388,0.803544328178302,72.73197305303894,2149
