method,direction,acc_gain,row2_acc_torque_rms,row3_total_residual_rms,remaining_after_removing_row2_rms,row2_rms_share_percent
PD,hip_to_knee,0.0,0.0,1.0269707577665945,1.0269707577665945,0.0
PD,hip_to_knee,0.1,0.1387573450940798,0.9269870138611054,1.0269707577665945,11.90306253693052
PD,hip_to_knee,0.2,0.2775146901881596,0.8381217763915219,1.0269707577665945,21.273881638408678
PD,hip_to_knee,0.3,0.4162720352822394,0.7642633720723151,1.0269707577665945,28.842827921064444
PD,hip_to_knee,0.4,0.5550293803763192,0.7101099163905029,1.0269707577665945,35.08402856575347
PD,hip_to_knee,0.5,0.693786725470399,0.6803828969455532,1.0269707577665945,40.31868129175797
PD,hip_to_knee,0.6,0.8325440705644788,0.6783014677789181,1.0269707577665945,44.772112482248524
PD,hip_to_knee,0.7,0.9713014156585585,0.7041108418148104,1.0269707577665945,48.60706307057723
PD,hip_to_knee,0.8,1.1100587607526384,0.7549559427982553,1.0269707577665945,51.944006909263855
PD,hip_to_knee,0.9,1.2488161058467182,0.8262276170685406,1.0269707577665945,54.874036132889344
PD,hip_to_knee,1.0,1.387573450940798,0.9131554503381288,1.0269707577665945,57.46730359862099
PD,hip_to_knee,1.1,1.526330796034878,1.0117118559119576,1.0269707577665945,59.77871253641806
PD,hip_to_knee,1.2,1.6650881411289575,1.1188279956894713,1.0269707577665945,61.8518466223781
PD,hip_to_knee,1.3,1.8038454862230375,1.2322737074689765,1.0269707577665945,63.72174421610547
PD,hip_to_knee,1.4,1.942602831317117,1.3504547744871978,1.0269707577665945,65.41689481810499
PD,hip_to_knee,1.5,2.081360176411197,1.4722312683088605,1.0269707577665945,66.9607007904309
PD,hip_to_knee,1.6,2.220117521505277,1.5967807985044402,1.0269707577665945,68.37256429637685
PD,hip_to_knee,1.7,2.358874866599357,1.7235022863906377,1.0269707577665945,69.6687069730502
PD,hip_to_knee,1.8,2.4976322116934364,1.8519499306272156,1.0269707577665945,70.86279598964514
PD,hip_to_knee,1.9,2.636389556787516,1.9817881222627345,1.0269707577665945,71.9664278262076
PD,hip_to_knee,2.0,2.775146901881596,2.1127605115507717,1.0269707577665945,72.98950612008099
