method,direction,opt_gain,opt_change_pct,opt_remaining_rms,total_mean_curve_rms,row2_mean_curve_rms,rms_at_gain_1
pd,hip_to_knee,0.44265590553220097,-55.7344094467799,0.6757141688095877,0.9131554503381288,1.387573450940798,1.0269707577665945
eid,hip_to_knee,0.6950611202257998,-30.49388797742002,0.7824487336870972,1.480980565297198,1.8090625005844239,0.9573649233663512
pd,knee_to_hip,0.35169175510425305,-64.8308244895747,1.486186202048319,1.6138095866236655,1.7884775534913657,1.884981246093258
eid,knee_to_hip,0.7080014977611345,-29.199850223886546,1.7076360078423185,2.777746464798235,3.0944243391999353,1.9319561462206525
