method,direction,t_rel,row2,row3
PD,hip_to_knee,3.0,-0.9888290681172087,0.2010693615594003
PD,hip_to_knee,3.01,-1.1383303990452631,0.08579073384139044
PD,hip_to_knee,3.0199999999999996,-1.2799451924022893,-0.018340007443817502
PD,hip_to_knee,3.0299999999999994,-1.379909740585329,-0.08230364011853611
PD,hip_to_knee,3.039999999999999,-1.2718945653729843,0.057218704049694556
PD,hip_to_knee,3.049999999999999,-1.2658488693456618,0.091357871192316
PD,hip_to_knee,3.0599999999999987,-1.396919800926031,-0.009585684207664962
PD,hip_to_knee,3.0699999999999985,-1.4704965156340803,-0.05385149666775576
PD,hip_to_knee,3.0799999999999983,-1.3574212886933623,0.08054757095093737
PD,hip_to_knee,3.089999999999998,-1.5139543997520932,-0.055103564860156884
PD,hip_to_knee,3.099999999999998,-1.6985937860114497,-0.21410586058859216
PD,hip_to_knee,3.1099999999999977,-1.7103462635456304,-0.20422312121656444
PD,hip_to_knee,3.1199999999999974,-1.8245832819961134,-0.30479158516207583
PD,hip_to_knee,3.1299999999999972,-1.8637599782560343,-0.3283741120186241
PD,hip_to_knee,3.139999999999997,-1.851984851275984,-0.3027770144646961
PD,hip_to_knee,3.149999999999997,-1.8398656993165936,-0.2798263745694357
PD,hip_to_knee,3.1599999999999966,-1.8400399390037727,-0.27238425315677456
PD,hip_to_knee,3.1699999999999964,-1.793800466570834,-0.21886155317408348
PD,hip_to_knee,3.179999999999996,-1.8668607141355449,-0.2867211253501731
PD,hip_to_knee,3.189999999999996,-2.016100394204316,-0.4342125701910941
PD,hip_to_knee,3.1999999999999957,-2.046336211752218,-0.4656345232700959
PD,hip_to_knee,3.2099999999999955,-1.7601165679816055,-0.1820501312125172
PD,hip_to_knee,3.2199999999999953,-1.1676458240125598,0.40580662419194996
PD,hip_to_knee,3.229999999999995,-0.6894656819301094,0.8791534828277084
PD,hip_to_knee,3.239999999999995,-0.6847088231399086,0.8780874798258959
PD,hip_to_knee,3.2499999999999947,-1.1197069731081144,0.4369438399508021
PD,hip_to_knee,3.2599999999999945,-1.7839613697412353,-0.23783549675800275
PD,hip_to_knee,3.2699999999999942,-2.303658676827202,-0.7697151772222041
PD,hip_to_knee,3.279999999999994,-2.5792652073012174,-1.0616262773502096
PD,hip_to_knee,3.289999999999994,-2.565161918149,-1.06311010465286
PD,hip_to_knee,3.2999999999999936,-2.3770922827574354,-0.897639776173478
PD,hip_to_knee,3.3099999999999934,-2.373914713374668,-0.9178233214230632
PD,hip_to_knee,3.319999999999993,-2.33343106677451,-0.90178031719922
PD,hip_to_knee,3.329999999999993,-2.154755923111221,-0.7527061906629329
PD,hip_to_knee,3.3399999999999928,-1.9738648179426153,-0.6030804287381867
PD,hip_to_knee,3.3499999999999925,-1.8530157540461023,-0.514253053819272
PD,hip_to_knee,3.3599999999999923,-1.5256815146607583,-0.2194714264965632
PD,hip_to_knee,3.369999999999992,-1.3205498050625202,-0.04913415819518978
PD,hip_to_knee,3.379999999999992,-1.2047290878028816,0.023502528261526802
PD,hip_to_knee,3.3899999999999917,-1.091553367964253,0.10111549173764958
PD,hip_to_knee,3.3999999999999915,-1.096637887196899,0.05755208294139509
PD,hip_to_knee,3.4099999999999913,-1.0253504819869375,0.08352755906485544
PD,hip_to_knee,3.419999999999991,-0.8806228395549812,0.18481853366353707
PD,hip_to_knee,3.429999999999991,-0.6771330404018978,0.3480584479079213
PD,hip_to_knee,3.4399999999999906,-0.5928324301064067,0.3866092151753341
PD,hip_to_knee,3.4499999999999904,-0.635108412061599,0.294953166155006
PD,hip_to_knee,3.45999999999999,-0.6368843951846072,0.2481414374932022
PD,hip_to_knee,3.46999999999999,-0.4813833700991628,0.35709170275982
PD,hip_to_knee,3.4799999999999898,-0.27489290333584077,0.5165537984928136
PD,hip_to_knee,3.4899999999999896,-0.10122566042272915,0.6380274597638629
PD,hip_to_knee,3.4999999999999893,0.12763158002997746,0.8187233344450074
PD,hip_to_knee,3.509999999999989,0.26389036624341067,0.9063733667169463
PD,hip_to_knee,3.519999999999989,0.20325480585118966,0.7946522192473542
PD,hip_to_knee,3.5299999999999887,-0.019657368244843522,0.5187083334278191
PD,hip_to_knee,3.5399999999999885,-0.13074331183126964,0.3561857349058202
PD,hip_to_knee,3.5499999999999883,0.007068726905128828,0.4495636310438167
PD,hip_to_knee,3.559999999999988,0.3065933419688287,0.7020567222618327
PD,hip_to_knee,3.569999999999988,0.5844854507890002,0.9254120183344636
PD,hip_to_knee,3.5799999999999876,0.8211315263084101,1.1095840298117106
PD,hip_to_knee,3.5899999999999874,0.9195474512186935,1.1569615236102224
PD,hip_to_knee,3.599999999999987,0.9501742422928119,1.138259367007834
PD,hip_to_knee,3.609999999999987,0.9100903880584754,1.0460400793537559
PD,hip_to_knee,3.619999999999987,0.7955358027905977,0.8829431425640962
PD,hip_to_knee,3.6299999999999866,0.8271633956770911,0.86979121222775
PD,hip_to_knee,3.6399999999999864,1.1111043483183183,1.1103669084435355
PD,hip_to_knee,3.649999999999986,1.3792004606614003,1.331644108825433
PD,hip_to_knee,3.659999999999986,1.4485770726794718,1.3545481529827246
PD,hip_to_knee,3.6699999999999857,1.451502136980912,1.3158652869719294
PD,hip_to_knee,3.6799999999999855,1.4063421817881583,1.2344484918575698
PD,hip_to_knee,3.6899999999999853,1.4550293479943799,1.2427628686078753
PD,hip_to_knee,3.699999999999985,1.4756716658927187,1.228253188889961
PD,hip_to_knee,3.709999999999985,1.450765268130168,1.172974152227986
PD,hip_to_knee,3.7199999999999847,1.4726502254784006,1.1641147192188384
PD,hip_to_knee,3.7299999999999844,1.4955520498057395,1.1615189842242675
PD,hip_to_knee,3.7399999999999842,1.5643870711807388,1.2052702379391673
PD,hip_to_knee,3.749999999999984,1.7309518175671972,1.3479272123566783
PD,hip_to_knee,3.759999999999984,1.7012291207684367,1.3000926109819708
PD,hip_to_knee,3.7699999999999836,1.5097952576688574,1.0935144879544274
PD,hip_to_knee,3.7799999999999834,1.4540557337972473,1.0235784703060338
PD,hip_to_knee,3.789999999999983,1.5486463556399035,1.1087976822209895
PD,hip_to_knee,3.799999999999983,1.7127606186615245,1.2662701070030669
PD,hip_to_knee,3.8099999999999827,1.813743178929045,1.3635980340524712
PD,hip_to_knee,3.8199999999999825,1.633915515751625,1.183262013876433
PD,hip_to_knee,3.8299999999999823,1.2987028731332746,0.8497331492398097
PD,hip_to_knee,3.839999999999982,1.1959470186572623,0.7508877594504251
PD,hip_to_knee,3.849999999999982,1.0249896861446661,0.5860253548941293
PD,hip_to_knee,3.8599999999999817,0.7927069305210205,0.36260912462707895
PD,hip_to_knee,3.8699999999999815,0.8191234305931243,0.39698117886960926
PD,hip_to_knee,3.8799999999999812,1.0323102528450785,0.6174813871544743
PD,hip_to_knee,3.889999999999981,1.3209469805574585,0.9218752705878467
PD,hip_to_knee,3.899999999999981,1.761425820114527,1.3802452835585448
PD,hip_to_knee,3.9099999999999806,2.006438704371483,1.6451706813308775
PD,hip_to_knee,3.9199999999999804,1.9084990722333803,1.5708660890748098
PD,hip_to_knee,3.92999999999998,2.0539267992679777,1.7504912212960235
PD,hip_to_knee,3.93999999999998,2.164546367943439,1.8945478867737744
PD,hip_to_knee,3.9499999999999797,1.9653863881006655,1.7304826234148862
PD,hip_to_knee,3.9599999999999795,1.906793892772529,1.715625179624411
PD,hip_to_knee,3.9699999999999793,1.9033895417947335,1.754522474690469
PD,hip_to_knee,3.979999999999979,1.6856453873077761,1.5794974178389272
PD,hip_to_knee,3.989999999999979,1.5873817109825399,1.5323509813660456
PD,hip_to_knee,3.9999999999999787,1.6256579988667539,1.617402734910078
PD,hip_to_knee,4.0099999999999785,1.426457102046742,1.4679526929493356
PD,hip_to_knee,4.019999999999978,1.1345191888120194,1.2361804193445944
PD,hip_to_knee,4.029999999999978,0.8827429958922111,1.0349204582041762
PD,hip_to_knee,4.039999999999978,0.7745879661653147,0.973134415450043
PD,hip_to_knee,4.049999999999978,0.88755511913809,1.1415806944946287
PD,hip_to_knee,4.059999999999977,1.058263855408915,1.3690588085226427
PD,hip_to_knee,4.069999999999977,1.233271544982994,1.6034135091752646
PD,hip_to_knee,4.079999999999977,1.286416244657124,1.7116298979881843
PD,hip_to_knee,4.089999999999977,1.1077016283903258,1.5917336618399625
PD,hip_to_knee,4.0999999999999766,0.8612737621668556,1.4133479668195903
PD,hip_to_knee,4.109999999999976,0.7968552415102068,1.4034540177513175
PD,hip_to_knee,4.119999999999976,0.7718358916363002,1.4368778245827691
PD,hip_to_knee,4.129999999999976,0.9168572184268434,1.6437035760035843
PD,hip_to_knee,4.139999999999976,1.1510227642101947,1.9462358224005236
PD,hip_to_knee,4.1499999999999755,0.9677842420979408,1.8294510801832362
PD,hip_to_knee,4.159999999999975,0.44096080519717507,1.3638560571041691
PD,hip_to_knee,4.169999999999975,-0.004756088834316388,0.9770724206316256
PD,hip_to_knee,4.179999999999975,-0.34054171612024775,0.6960623138721461
PD,hip_to_knee,4.189999999999975,-0.6266225126674507,0.4643821878326492
PD,hip_to_knee,4.199999999999974,-0.7487322455137477,0.4038068381379608
PD,hip_to_knee,4.209999999999974,-0.9704668448639134,0.23301534454725642
PD,hip_to_knee,4.219999999999974,-1.2419424642161108,0.00853686929778546
PD,hip_to_knee,4.229999999999974,-1.395159651496871,-0.09740306902256737
PD,hip_to_knee,4.239999999999974,-1.4530085916112512,-0.1104746815671398
PD,hip_to_knee,4.249999999999973,-1.5259498955011153,-0.13663908432051267
PD,hip_to_knee,4.259999999999973,-1.5819474427007247,-0.15350706839725173
PD,hip_to_knee,4.269999999999973,-1.7836420558757538,-0.3106222488953435
PD,hip_to_knee,4.279999999999973,-2.133864949842077,-0.6225487865038974
PD,hip_to_knee,4.2899999999999725,-2.183275732912075,-0.6385604825439511
PD,hip_to_knee,4.299999999999972,-1.9937164947557755,-0.41447223921648757
PD,hip_to_knee,4.309999999999972,-1.7828441290080572,-0.16969916381437708
PD,hip_to_knee,4.319999999999972,-1.5892533071632688,0.05546934278400628
PD,hip_to_knee,4.329999999999972,-1.6394901072073131,0.03295140143887694
PD,hip_to_knee,4.339999999999971,-1.941249730105696,-0.24123733439891182
PD,hip_to_knee,4.349999999999971,-2.017779793461287,-0.2941734511059738
PD,hip_to_knee,4.359999999999971,-1.9840652245752466,-0.2388683379147422
PD,hip_to_knee,4.369999999999971,-2.1494385846562563,-0.3854349755379068
PD,hip_to_knee,4.379999999999971,-2.1316955114228704,-0.3466435249808612
PD,hip_to_knee,4.38999999999997,-2.120775474246523,-0.3251339147852898
PD,hip_to_knee,4.39999999999997,-2.284271058048568,-0.4751306102281926
PD,hip_to_knee,4.40999999999997,-2.3928871938727005,-0.575119702136657
PD,hip_to_knee,4.41999999999997,-2.381046754504072,-0.5582532431695707
PD,hip_to_knee,4.4299999999999695,-2.4272451505864883,-0.6010728275523981
PD,hip_to_knee,4.439999999999969,-2.2196341305505802,-0.3930657982445966
PD,hip_to_knee,4.449999999999969,-1.7124957336728066,0.1130376430910595
PD,hip_to_knee,4.459999999999969,-1.3113280145893833,0.5106429277175846
PD,hip_to_knee,4.469999999999969,-1.1797213667136774,0.6381906386948983
PD,hip_to_knee,4.4799999999999685,-1.394115498868755,0.4183844177073238
PD,hip_to_knee,4.489999999999968,-1.6113757852624992,0.19341201930267077
PD,hip_to_knee,4.499999999999968,-1.7943604236968056,-0.0019062002445678476
PD,hip_to_knee,4.509999999999968,-1.7702618204473743,0.011452798906450642
PD,hip_to_knee,4.519999999999968,-1.681694638559761,0.08328957532841146
PD,hip_to_knee,4.529999999999967,-2.0388239897804588,-0.28891656976689584
PD,hip_to_knee,4.539999999999967,-2.7357128568287847,-1.0073063673219789
PD,hip_to_knee,4.549999999999967,-2.868300792921251,-1.1627228544625772
PD,hip_to_knee,4.559999999999967,-2.7308125651032196,-1.053534775000613
PD,hip_to_knee,4.5699999999999665,-2.5249787529318573,-0.8737828989873879
PD,hip_to_knee,4.579999999999966,-2.170732859197403,-0.5489201243928357
