method,window,n_runs,dt_median,d_k_total_rms,d_k_total_peak_abs,d_k_total_mean,d_k_config_rms,d_k_config_peak_abs,d_k_config_mean,d_k_from_hip_acc_rms,d_k_from_hip_acc_peak_abs,d_k_from_hip_acc_mean,d_k_from_hip_vel_rms,d_k_from_hip_vel_peak_abs,d_k_from_hip_vel_mean,d_k_from_hip_dynamic_rms,d_k_from_hip_dynamic_peak_abs,d_k_from_hip_dynamic_mean,d_k_self_acc_err_rms,d_k_self_acc_err_peak_abs,d_k_self_acc_err_mean,d_k_vel_residual_rms,d_k_vel_residual_peak_abs,d_k_vel_residual_mean,d_k_recon_err_rms,d_k_recon_err_peak_abs,d_k_recon_err_mean,d_h_total_rms,d_h_total_peak_abs,d_h_total_mean,d_h_config_rms,d_h_config_peak_abs,d_h_config_mean,d_h_from_knee_acc_rms,d_h_from_knee_acc_peak_abs,d_h_from_knee_acc_mean,d_h_from_knee_vel_rms,d_h_from_knee_vel_peak_abs,d_h_from_knee_vel_mean,d_h_from_knee_dynamic_rms,d_h_from_knee_dynamic_peak_abs,d_h_from_knee_dynamic_mean,d_h_self_acc_err_rms,d_h_self_acc_err_peak_abs,d_h_self_acc_err_mean,d_h_vel_residual_rms,d_h_vel_residual_peak_abs,d_h_vel_residual_mean,d_h_recon_err_rms,d_h_recon_err_peak_abs,d_h_recon_err_mean
eid,early_3_4,5,0.0020327503000089563,1.1825543901182325,2.973766824334615,0.5432969476339029,0.9034907684974709,1.4637298963590242,0.4856481710300898,1.6202358200099884,3.4302188457152702,0.0191735016298218,0.05508929435622345,0.12925457519544564,0.038475274769875015,1.6336684205152738,3.425741214050931,0.05764877639969677,2.6655830614763687e-09,7.3462603111806855e-09,2.041165404761069e-10,0.055089294356223374,0.12925457519544575,0.03847527476987491,2.830919957242324e-16,1.5099033134902129e-15,-9.656627667562552e-19,2.410639188590215,6.965324162364793,-1.535284484889646,1.6055445206472445,2.4567741773740437,-1.3355477444427823,2.612184100077883,6.830564184133641,-0.10864786328786546,0.050905394766832555,0.12123592091800947,0.035106938914526445,2.6003222594921285,6.776680783757135,-0.07354092437333905,0.3193334542204819,0.9307062880364849,-0.12619581607352467,0.05090539476683252,0.12123592091800983,0.035106938914526375,6.020809681551907e-16,2.4868995751603505e-15,3.631368036934247e-18
eid,late_5p4_7p4,5,0.0020327503000089563,1.8630154768692968,4.717698168831733,0.26456751350783564,0.9308898461709167,1.4745051798803412,0.6406960576305903,2.2093114786972983,5.729203299501279,-0.4342241299688103,0.08218199881112978,0.22029914466862852,0.05809558641498008,2.214497230921172,5.71745883175733,-0.3761285435538303,4.433139715672279e-09,1.1068038574535421e-08,-5.689243469873074e-10,0.08218199881112968,0.2202991446686288,0.05809558641497997,4.638250756654422e-16,2.575717417130363e-15,6.145764432746058e-18,3.904979014724445,10.081381520577297,-1.0495341441924395,1.7489046008076623,2.507067983990072,-1.5446874796133705,4.4222303418168405,11.45273664882454,0.6936704667324556,0.07561338307775751,0.26676247192914015,0.028370799394908285,4.417804342910435,11.47182560833758,0.7220412661273639,0.4998080770030063,1.5346783154645252,-0.22688793070643323,0.07561338307775747,0.26676247192913943,0.02837079939490822,9.307512463673418e-16,5.4178883601707636e-15,-2.680991617912431e-17
eid,middle_4_5p4,5,0.0020327503000089563,1.9287916953488158,6.167751651340185,0.5787691665370887,0.9518662787429756,1.7880589483832576,0.6648883220694091,2.155320267671917,7.181080384712454,-0.1335799904216763,0.06339705061282509,0.16414799693548449,0.047460835099261994,2.1607959858286216,7.140776883790371,-0.08611915532241426,3.378177168604052e-09,8.347194224711529e-09,-2.0990599093455514e-10,0.06339705061282501,0.1641479969354843,0.0474608350992619,3.6031407432466637e-16,2.3980817331903383e-15,-3.8716252919970355e-18,3.1072832831662547,6.6435115120811545,-1.2780777469332838,1.6639404282082118,2.642623771305982,-1.4768029583477196,3.4160808825872535,8.670053492018486,0.2717738958771668,0.056297583434473775,0.1576985622547194,0.04053763302587114,3.417981580184674,8.714078530639986,0.31231152890303804,0.5011862301851266,1.917574960064958,-0.11358631748860222,0.05629758343447373,0.1576985622547193,0.040537633025871087,7.768110220707753e-16,3.907985046680551e-15,-2.236265713835607e-18
eid,steady_3_7p4,5,0.0020327503000089563,1.7519557946878805,6.838016119939548,0.449485686057901,0.9326262963917518,1.7880589483832576,0.6141163321741118,2.0597633609788013,7.765888377955473,-0.2134382233463165,0.07000717526571404,0.24627671185573896,0.04880757746743848,2.0664294550237883,7.731274562308812,-0.16463064587887802,3.724079741913704e-09,1.152524777836561e-08,-2.3733263603656856e-10,0.07000717526571396,0.24627671185573896,0.04880757746743837,3.9327988336047116e-16,3.0198066269804257e-15,4.206721078219227e-19,3.329702634170829,10.081381520577297,-1.2671287231503479,1.6862269131282115,2.642623771305982,-1.4729137379677468,3.7199596528941234,11.975750930758272,0.3287891426792656,0.06384384314068739,0.29429425927077324,0.0353353146127516,3.7164076229103182,12.002008247189197,0.36412445729201726,0.46245625864138684,2.0775905096498968,-0.15833944247461823,0.06384384314068735,0.29429425927077324,0.03533531461275154,8.09496515157813e-16,6.1284310959308644e-15,-1.0838733037092023e-17
pd,early_3_4,5,0.002031187800002954,0.9101718808966931,1.9070331405783008,0.5128607258016413,0.9788674928547223,1.5817449938471075,0.5679401349786856,1.4807688193160602,2.629807227725036,-0.09526611923304432,0.05593372410837296,0.1219097744369578,0.04018671004852794,1.4902997552881863,2.6254977221886167,-0.055079409184516384,1.912877227096628e-09,3.775258861082875e-09,7.47218992725812e-12,0.05593372410837287,0.12190977443695772,0.040186710048527835,2.1946382492458369e-16,8.881784197001252e-16,-1.4101330780023494e-18,1.6577543591218518,3.6496506494015173,-1.3798594467936351,1.6138587156458974,2.4317598484714287,-1.3491012443523722,1.8816266447187595,3.777803436290445,0.07930005890854736,0.05381761555678649,0.11961161112281413,0.038589583774298164,1.873166262329617,3.7870861466507733,0.1178896426828456,0.3053932180834902,0.7138718400963926,-0.1486478451241084,0.05381761555678645,0.11961161112281396,0.0385895837742981,5.717090697583676e-16,2.220446049250313e-15,-1.1357195108610526e-17
pd,late_5p4_7p4,5,0.002031187800002954,0.8095050780920671,1.9061010007537795,0.447418496150949,1.0104216055912167,1.5740606243174704,0.7386199700389559,1.3228946176205252,2.515523581238273,-0.34056783536442875,0.0651259418780609,0.13108369186718044,0.04936636183376745,1.3296988910471956,2.5100557402011883,-0.2912014735306613,1.7477027143944557e-09,3.974824114294506e-09,-3.573455056907433e-10,0.0651259418780608,0.13108369186718,0.049366361833767344,2.096042566142637e-16,8.659739592076221e-16,9.762152597600761e-19,1.5243561029552648,3.7863937335160402,-1.2437210237808114,1.7302785797460998,2.4563860290057864,-1.5489846178475855,1.7522494199222578,4.0762511202070595,0.42065598355153977,0.06241413213372077,0.13031266077742315,0.046876848239470484,1.7460204453851305,4.081497580938057,0.46753283179101024,0.2949631513228764,0.6823608484753265,-0.16226923772423588,0.06241413213372073,0.13031266077742315,0.04687684823947043,5.346972243658384e-16,2.531308496145357e-15,1.1034305145270417e-18
pd,middle_4_5p4,5,0.002031187800002954,1.0530507833444853,2.2040940031600047,0.6971275501330074,1.0061518423854419,1.826733745963167,0.7058930990700448,1.4167615148070951,2.9101461865863376,-0.06273195131529441,0.06824652512627812,0.1375024503377908,0.053966402381092994,1.429905445942437,2.9035891343134765,-0.008765548934201442,1.7961688737033893e-09,4.103298767432762e-09,-2.8358563322146268e-12,0.06824652512627803,0.1375024503377907,0.053966402381092904,2.1325434996122415e-16,9.547918011776346e-16,2.6087998256859407e-18,1.7103445242128887,4.074752813772777,-1.4130628418768492,1.6166032462710458,2.5021188538135424,-1.4223657941200885,1.7800883621765469,3.8297823920070306,0.0678642517499703,0.06429950741467953,0.1318289518371774,0.050779478306337056,1.7774377485282524,3.811450833419395,0.11864373005630735,0.3145653534526654,0.8004552614441269,-0.10934077781306803,0.06429950741467949,0.1318289518371774,0.050779478306336986,4.861090682260975e-16,2.3314683517128287e-15,-6.1101760039561646e-18
pd,steady_3_7p4,5,0.002031187800002954,0.9158440668352565,2.2040940031600047,0.5416310592894131,1.0019744906201455,1.826733745963167,0.6894366401752519,1.3900860646161632,2.9101461865863376,-0.1965476017960744,0.06419350839578511,0.1375024503377908,0.04874202107204234,1.399598253314102,2.9035891343134765,-0.14780558072403208,1.8017847455616446e-09,4.121770125209423e-09,-1.6180666110515615e-10,0.06419350839578501,0.1375024503377907,0.04874202107204225,2.130928577858499e-16,1.021405182655144e-15,9.491433428408314e-19,1.6159422812731314,4.074752813772777,-1.3284618047386452,1.6686858150731922,2.5021188538135424,-1.463333352823897,1.791215140550047,4.081074804863055,0.230994091186672,0.0611918457667794,0.13229395387501883,0.046233688302605824,1.7855870300114352,4.081630285432306,0.2772277794892778,0.3036816460111802,0.8004552614441269,-0.14235623140402587,0.061191845766779364,0.13229395387501883,0.04623368830260577,5.28731458185047e-16,2.597921877622866e-15,-4.02592278790268e-18
