candidate,scan,group,repeat,joint,signal,freq_hz,amp
O4,ko,o4,r01,Hip,tau_est,0.5,1.2289979695325375
O4,ko,o4,r01,Hip,tau_est,0.9163179916317992,1.3236468028114656
O4,ko,o4,r01,Hip,tau_est,1.3326359832635983,1.4897213682154034
O4,ko,o4,r01,Hip,tau_est,1.7489539748953975,1.5914064911057597
O4,ko,o4,r01,Hip,tau_est,2.1652719665271967,1.6636827541308974
O4,ko,o4,r01,Hip,tau_est,2.581589958158996,1.0183326624183566
O4,ko,o4,r01,Hip,tau_est,2.997907949790795,0.5710156297265396
O4,ko,o4,r01,Hip,tau_est,3.414225941422594,0.635970503906464
O4,ko,o4,r01,Hip,tau_est,3.8305439330543933,0.5074583538646564
O4,ko,o4,r01,Hip,tau_est,4.2468619246861925,0.21953142941737636
O4,ko,o4,r01,Hip,tau_est,4.663179916317992,0.19397470126276095
O4,ko,o4,r01,Hip,tau_est,5.079497907949791,0.23204934590509665
O4,ko,o4,r01,Hip,tau_est,5.49581589958159,0.32393356272467333
O4,ko,o4,r01,Hip,tau_est,5.912133891213389,0.3475667899742806
O4,ko,o4,r01,Hip,tau_est,6.328451882845188,0.2480546726604454
O4,ko,o4,r01,Hip,tau_est,6.7447698744769875,0.1860144438990945
O4,ko,o4,r01,Hip,tau_est,7.161087866108787,0.14635738285805447
O4,ko,o4,r01,Hip,tau_est,7.577405857740586,0.11316258147499561
O4,ko,o4,r01,Hip,tau_est,7.993723849372385,0.08177553467595637
O4,ko,o4,r01,Hip,tau_est,8.410041841004183,0.055722532959169055
O4,ko,o4,r01,Hip,tau_est,8.826359832635983,0.045902378683754706
O4,ko,o4,r01,Hip,tau_est,9.242677824267783,0.05721866233115907
O4,ko,o4,r01,Hip,tau_est,9.658995815899582,0.04782466719240085
O4,ko,o4,r01,Hip,tau_est,10.07531380753138,0.02971620575329157
O4,ko,o4,r01,Hip,tau_est,10.49163179916318,0.04826368314157243
O4,ko,o4,r01,Hip,tau_est,10.90794979079498,0.0656406981345823
O4,ko,o4,r01,Hip,tau_est,11.324267782426778,0.07622768250792802
O4,ko,o4,r01,Hip,tau_est,11.740585774058577,0.059826380383587854
O4,ko,o4,r01,Hip,tau_est,12.156903765690377,0.01772091920821227
O4,ko,o4,r01,Hip,tau_est,12.573221757322177,0.03307822118179126
O4,ko,o4,r01,Hip,tau_est,12.989539748953975,0.06176438599868556
O4,ko,o4,r01,Hip,tau_est,13.405857740585773,0.039838263301516824
O4,ko,o4,r01,Hip,tau_est,13.822175732217573,0.03379782370917782
O4,ko,o4,r01,Hip,tau_est,14.238493723849373,0.06143216143647175
O4,ko,o4,r01,Hip,tau_est,14.654811715481172,0.09297281299860437
O4,ko,o4,r01,Hip,tau_est,15.07112970711297,0.12722824447640876
O4,ko,o4,r01,Hip,tau_est,15.48744769874477,0.12496208686058353
O4,ko,o4,r01,Hip,tau_est,15.90376569037657,0.1126798406485075
O4,ko,o4,r01,Hip,tau_est,16.320083682008367,0.07307317822266401
O4,ko,o4,r01,Hip,tau_est,16.736401673640167,0.057614365370399
O4,ko,o4,r01,Hip,tau_est,17.152719665271967,0.0786309730984501
O4,ko,o4,r01,Hip,tau_est,17.569037656903767,0.12304284119716502
O4,ko,o4,r01,Hip,tau_est,17.985355648535567,0.17909408567144347
O4,ko,o4,r01,Hip,tau_est,18.401673640167363,0.23922938982301442
O4,ko,o4,r01,Hip,tau_est,18.817991631799163,0.30138774425421083
O4,ko,o4,r01,Hip,tau_est,19.234309623430963,0.3702616611932759
O4,ko,o4,r01,Hip,tau_est,19.65062761506276,0.3104279131632016
O4,ko,o4,r01,Hip,tau_est,20.06694560669456,0.10897653939085733
O4,ko,o4,r01,Hip,tau_est,20.48326359832636,0.2776708922370091
O4,ko,o4,r01,Hip,tau_est,20.89958158995816,0.5669742970192423
O4,ko,o4,r01,Hip,tau_est,21.31589958158996,0.48211898074619136
O4,ko,o4,r01,Hip,tau_est,21.732217573221757,0.3867456596127904
O4,ko,o4,r01,Hip,tau_est,22.148535564853557,0.2649160056098364
O4,ko,o4,r01,Hip,tau_est,22.564853556485357,0.19366480580442172
O4,ko,o4,r01,Hip,tau_est,22.981171548117153,0.1631457701168594
O4,ko,o4,r01,Hip,tau_est,23.397489539748953,0.10958660362676137
O4,ko,o4,r01,Hip,tau_est,23.813807531380753,0.05437436451377381
O4,ko,o4,r01,Hip,tau_est,24.230125523012553,0.03131622470024915
O4,ko,o4,r01,Hip,tau_est,24.646443514644353,0.02272234139922972
O4,ko,o4,r01,Hip,tau_est,25.06276150627615,0.039591733522171726
O4,ko,o4,r01,Hip,tau_est,25.47907949790795,0.04595125699496182
O4,ko,o4,r01,Hip,tau_est,25.89539748953975,0.04618351496366455
O4,ko,o4,r01,Hip,tau_est,26.311715481171547,0.025126211292618474
O4,ko,o4,r01,Hip,tau_est,26.728033472803347,0.009106587925752092
O4,ko,o4,r01,Hip,tau_est,27.144351464435147,0.02892843502145436
O4,ko,o4,r01,Hip,tau_est,27.560669456066947,0.044934823345308676
O4,ko,o4,r01,Hip,tau_est,27.976987447698747,0.056086311182505705
O4,ko,o4,r01,Hip,tau_est,28.393305439330543,0.05742513122361289
O4,ko,o4,r01,Hip,tau_est,28.809623430962343,0.054746347260574174
O4,ko,o4,r01,Hip,tau_est,29.225941422594143,0.042840629467013516
O4,ko,o4,r01,Hip,tau_est,29.64225941422594,0.03381471477267202
O4,ko,o4,r01,Hip,tau_est,30.05857740585774,0.03410237551540054
O4,ko,o4,r01,Hip,tau_est,30.47489539748954,0.02964146489575403
O4,ko,o4,r01,Hip,tau_est,30.89121338912134,0.02075939319423514
O4,ko,o4,r01,Hip,tau_est,31.30753138075314,0.028517317062202303
O4,ko,o4,r01,Hip,tau_est,31.723849372384937,0.039065364647509884
O4,ko,o4,r01,Hip,tau_est,32.14016736401673,0.021268516575577007
O4,ko,o4,r01,Hip,tau_est,32.55648535564853,0.008405044649515771
O4,ko,o4,r01,Hip,tau_est,32.97280334728033,0.005732018387754716
O4,ko,o4,r01,Hip,tau_est,33.38912133891213,0.007294150085065356
O4,ko,o4,r01,Hip,tau_est,33.80543933054393,0.011731295292084566
O4,ko,o4,r01,Hip,tau_est,34.22175732217573,0.0214412905972338
O4,ko,o4,r01,Hip,tau_est,34.63807531380753,0.031648299464417565
O4,ko,o4,r01,Hip,tau_est,35.05439330543933,0.039763244085311025
O4,ko,o4,r01,Hip,tau_est,35.470711297071134,0.037497792324789087
O4,ko,o4,r01,Hip,tau_est,35.88702928870293,0.019918308893059233
O4,ko,o4,r01,Hip,tau_est,36.30334728033473,0.03466048623278942
O4,ko,o4,r01,Hip,tau_est,36.71966527196653,0.06507566526271885
O4,ko,o4,r01,Hip,tau_est,37.13598326359833,0.05156642765141617
