joint,candidate,ko_scale,ku_scale,max_pole_magnitude,dominant_pole_real,dominant_pole_imag
Hip,O4+U1,1.0,0.5,0.9940124320572491,0.9937600620126569,0.02239763900431511
Hip,O5+U1,1.25,0.5,0.994012432057248,0.9937600620126558,0.022397639004314327
Hip,O4+U3,1.0,1.0,0.9940124320572501,0.9937600620126579,0.022397639004315288
Knee,O4+U1,1.0,0.5,0.975719465777284,0.975017725698812,0.03699879011298546
Knee,O5+U1,1.25,0.5,0.975719465777282,0.9750177256988097,0.03699879011299378
Knee,O4+U3,1.0,1.0,0.975719465777282,0.9750177256988097,0.03699879011298976
