family,scan,group,ko_scale,ku_scale,repeat,log_path,joint,eta_u_rms,comp_rms,tau_dist_rms,eta_to_dist_rms_ratio,corr_eta_u_tau_dist_zero_lag,corr_minus_eta_u_tau_dist_zero_lag,best_corr_minus_eta_u_tau_dist,best_lag_ms_minus_eta_u_tau_dist
P2D,,,,,r01,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,0.019536535572600676,0.019536535572600676,5.43970084988701,0.0035914724194817584,0.3529462822524681,-0.3529462822524681,-0.3663532576542523,26.427739002770068
P2D,,,,,r01,data/20260623_191351/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,0.04651018985134112,0.04651018985134112,3.6264672332580066,0.012825206146852874,0.6254314295419755,-0.6254314295419755,-0.6339266013902038,-12.197418001278493
P2D,,,,,r02,data/20260623_191422/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,0.02171933270431867,0.02171933270431867,5.441399320214506,0.003991497669291154,0.29958485702123183,-0.29958485702123183,-0.30331843961051896,20.31530999943243
P2D,,,,,r02,data/20260623_191422/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,0.04752371599795696,0.04752371599795696,3.6275995468096704,0.01310059596841448,0.5734136308172567,-0.5734136308172567,-0.5884793156202446,-20.31530999943243
P2D,,,,,r03,data/20260623_191453/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,0.02181530192880711,0.02181530192880711,5.435982424600484,0.004013129591825423,0.3063354817041598,-0.3063354817041598,-0.3210109526968985,24.391584000113653
P2D,,,,,r03,data/20260623_191453/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,0.04693331338577302,0.04693331338577302,3.623988283066989,0.012950735410781532,0.6081632066159043,-0.6081632066159043,-0.6238438771123134,-14.228424000066298
P2D,,,,,r04,data/20260623_191520/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,0.022086983612279846,0.022086983612279846,5.439727148981969,0.004060310932399131,0.29756489551165344,-0.29756489551165344,-0.2997293183904576,24.392723998971633
P2D,,,,,r04,data/20260623_191520/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,0.04695451700403992,0.04695451700403992,3.626484765987979,0.01294766696510523,0.6179995351129655,-0.6179995351129655,-0.6356266497181638,-12.196361999485816
P2D,,,,,r05,data/20260623_191551/h1_real_p2_anti_hip_knee_eid_log.csv,Hip,0.022044984575677332,0.022044984575677332,5.434750109302978,0.004056301418153826,0.3030999811437001,-0.3030999811437001,-0.3052820646800869,8.120795999275288
P2D,,,,,r05,data/20260623_191551/h1_real_p2_anti_hip_knee_eid_log.csv,Knee,0.047066012503796884,0.047066012503796884,3.6231667395353186,0.012990297131573148,0.6256616336844552,-0.6256616336844552,-0.6340788684032386,-12.181193998912931
P4D,ko,o1,0.25,1.0,r01,data/20260623_191700/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Hip,0.020562677542513254,0.020562677542513254,5.434061693438075,0.0037840346139875088,0.3420190520871832,-0.3420190520871832,-0.451653958906243,-34.52116899961766
P4D,ko,o1,0.25,1.0,r01,data/20260623_191700/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Knee,0.053221692681833216,0.053221692681833216,3.6227077956253826,0.014691135935970689,0.6000469750742203,-0.6000469750742203,-0.6000469750742203,0.0
P4D,ko,o1,0.25,1.0,r02,data/20260623_191715/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Hip,0.020280414935823863,0.020280414935823863,5.440007099717492,0.00372801258602715,0.3283730396436114,-0.3283730396436114,-0.5143389119828473,-32.49635199972545
P4D,ko,o1,0.25,1.0,r02,data/20260623_191715/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Knee,0.052077875525753464,0.052077875525753464,3.626671399811662,0.014359689584354938,0.5493888861705452,-0.5493888861705452,-0.5937899607732747,-36.55839599969113
P4D,ko,o1,0.25,1.0,r03,data/20260623_191727/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Hip,0.0202407682699705,0.0202407682699705,5.436769913287826,0.0037229400163690434,0.363057087972794,-0.363057087972794,-0.4787935250663776,-36.59646599817279
P4D,ko,o1,0.25,1.0,r03,data/20260623_191727/h1_real_p4_ko_o1_hip_knee_eid_log.csv,Knee,0.05330493731881797,0.05330493731881797,3.624513275525217,0.014706784957517838,0.5977250345848477,-0.5977250345848477,-0.5991494264793868,-8.132547999593953
P4D,ko,o2,0.5,1.0,r01,data/20260623_191742/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Hip,0.017678426619106687,0.017678426619106687,5.43696139219186,0.00325152697322719,0.5099894809723506,-0.5099894809723506,-0.5194635563324974,-8.130015999995521
P4D,ko,o2,0.5,1.0,r01,data/20260623_191742/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Knee,0.04894138055546739,0.04894138055546739,3.6246409281279064,0.013502407969758582,0.6494089238360801,-0.6494089238360801,-0.666046251873517,-20.325039999988803
P4D,ko,o2,0.5,1.0,r02,data/20260623_191754/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Hip,0.018837622937523668,0.018837622937523668,5.4379268749888725,0.0034641184720900125,0.4306065769664438,-0.4306065769664438,-0.43743786283458524,-6.0838469998998335
P4D,ko,o2,0.5,1.0,r02,data/20260623_191754/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Knee,0.04944498697971617,0.04944498697971617,3.625284583325915,0.013638925674175423,0.6126415931204683,-0.6126415931204683,-0.626799220007107,-16.22359199973289
P4D,ko,o2,0.5,1.0,r03,data/20260623_191810/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Hip,0.017956915406542297,0.017956915406542297,5.439288860225124,0.003301335131850138,0.4842711238298766,-0.4842711238298766,-0.4951081325097183,-8.117172000311257
P4D,ko,o2,0.5,1.0,r03,data/20260623_191810/h1_real_p4_ko_o2_hip_knee_eid_log.csv,Knee,0.04914239517423981,0.04914239517423981,3.6261925734834164,0.013552064370103855,0.62144052971915,-0.62144052971915,-0.6354924810042053,-20.292930000778142
P4D,ko,o3,0.75,1.0,r01,data/20260623_191825/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Hip,0.018962465944208584,0.018962465944208584,5.4369444968417175,0.003487706368020447,0.3827499918255992,-0.3827499918255992,-0.38425923524581873,6.098293499917418
P4D,ko,o3,0.75,1.0,r01,data/20260623_191825/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Knee,0.048495881612315966,0.048495881612315966,3.624629664561145,0.013379541111874569,0.6230948275845347,-0.6230948275845347,-0.6330692243348484,-16.26211599977978
P4D,ko,o3,0.75,1.0,r02,data/20260623_191841/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Hip,0.01815001071161174,0.01815001071161174,5.44119785765659,0.0033356645331453854,0.4271645707317976,-0.4271645707317976,-0.42812813745001804,2.0325390000834886
P4D,ko,o3,0.75,1.0,r02,data/20260623_191841/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Knee,0.04802006869293481,0.04802006869293481,3.627465238437727,0.013237912850025284,0.6320606041623653,-0.6320606041623653,-0.6402233522202008,-10.162695000417443
P4D,ko,o3,0.75,1.0,r03,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Hip,0.019601095817184992,0.019601095817184992,5.435409742158173,0.003606185503395411,0.3563710936893682,-0.3563710936893682,-0.3619275795870331,14.23060099932627
P4D,ko,o3,0.75,1.0,r03,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Knee,0.04802331495900613,0.04802331495900613,3.6236064947721154,0.013252905642014604,0.6277923507493265,-0.6277923507493265,-0.6439445786750116,-16.263543999230023
