family,scan,group,ko_scale,ku_scale,repeat,log_path,joint,u_star_rms,u_feedback_rms,u_eid_comp_rms,u_raw_rms,u_t_rms,tau_cmd_rms,tau_est_rms,tau_dist_rms
P4D,ko,o3,0.75,1.0,r03,data/20260623_191853/h1_real_p4_ko_o3_hip_knee_eid_log.csv,Knee,1.124225493429753,5.294715367371252,0.04802331495900613,5.717431440490745,5.592755243059901,2.908821346183981,2.8977561196409445,3.6236064947721154
P4D,ko,o4,1.0,1.0,r01,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Hip,2.5800014064549632,5.877456680856483,0.02050252164992566,7.889426401267136,7.735660717802599,2.722744452318338,2.70085975135963,5.438390067617252
P4D,ko,o4,1.0,1.0,r01,data/20260623_191908/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Knee,1.1236283678186725,5.2915808050672055,0.047359359722935146,5.743527012077576,5.63937953988508,2.974579655099172,2.912462218318589,3.6255933784115015
P4D,ko,o4,1.0,1.0,r02,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Hip,2.578858931818505,5.7228853680242695,0.018668648144023216,7.743077046731306,7.61678365509365,2.5608159551204115,2.5247423622005125,5.437049629005294
P4D,ko,o4,1.0,1.0,r02,data/20260623_191923/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Knee,1.1236700130626138,5.141365138338703,0.04676857130956487,5.59702062973074,5.546001797131678,2.822729878249266,2.765023258206168,3.624699752670196
P4D,ko,o4,1.0,1.0,r03,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Hip,2.582189160367986,5.719125353023553,0.019090368889592313,7.753424494475039,7.658864169266428,2.6043604881562734,2.574932062015955,5.441083829033598
P4D,ko,o4,1.0,1.0,r03,data/20260623_191939/h1_real_p4_ko_o4_hip_knee_eid_log.csv,Knee,1.1242989409745965,5.167843071612449,0.046924431883326054,5.616065776124189,5.558323664862034,2.830493974998659,2.771670002951859,3.627389219355732
P4D,ko,o5,1.25,1.0,r01,data/20260623_191954/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Hip,2.581132663864931,5.845208050702845,0.026846604315320332,7.850018242085687,7.648717860117276,2.691752056249336,2.6765570863221466,5.4399060439156015
P4D,ko,o5,1.25,1.0,r01,data/20260623_191954/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Knee,1.1248919435240181,5.354369399366672,0.047099975229796066,5.792908119335454,5.64483225570607,2.9744728420967643,2.927901856852065,3.626604029277067
P4D,ko,o5,1.25,1.0,r02,data/20260623_192010/h1_real_p4_ko_o5_hip_knee_eid_log.csv,Hip,2.5760074663591457,5.819124055343758,0.030606770065446633,7.82826639493487,7.67834400351907,2.6961921704917056,2.6504957073473627,5.438238490762011
