method,n_runs,n_samples_mean,hip_ms,knee_ms,covariance_term,coord_ms_direct,coord_ms_reconstructed,coord_rmse_direct,max_abs_reconstruction_error
EID,5,684.0,0.0026661215404896114,0.002476530579685796,0.004934391789064069,0.010077043909239476,0.010077043909239476,0.10038238220591544,1.734723475976807e-18
PD,5,682.6,0.00398495703988324,0.002046796175648571,0.005401482881144967,0.011433236096676779,0.011433236096676779,0.10692586538054212,1.734723475976807e-18
