method,joint,signal,peak_freq_hz,peak_amp
PD,Hip,tau_est,0.7214031259920853,1.3395685566231508
PD,Hip,delta_tau_est,75.85855778603998,0.069885981337838
EID,Hip,tau_est,2.1606473744956087,1.506655500311819
EID,Hip,delta_tau_est,20.91688296511951,0.14706488797460662
PD,Knee,tau_est,0.7214031259920853,2.5876768302962283
PD,Knee,delta_tau_est,90.30780688814284,0.08472123234055977
EID,Knee,tau_est,0.7202157914985362,2.4814777293730814
EID,Knee,delta_tau_est,90.15897829792893,0.09529871663569112
