method,repeat,joint,signal,freq_hz,amp
pd,r01,Hip,tau_est,41.71548117154812,0.030710036943915546
pd,r01,Hip,tau_est,42.13179916317992,0.035307428297579345
pd,r01,Hip,tau_est,42.54811715481171,0.041520499728789136
pd,r01,Hip,tau_est,42.96443514644351,0.04045322567872264
pd,r01,Hip,tau_est,43.38075313807531,0.04084876751279084
pd,r01,Hip,tau_est,43.79707112970711,0.04696838092554104
pd,r01,Hip,tau_est,44.21338912133891,0.044404039895727505
pd,r01,Hip,tau_est,44.62970711297071,0.03312560861841992
pd,r01,Hip,tau_est,45.04602510460251,0.032635852182697926
pd,r01,Hip,tau_est,45.46234309623431,0.035259460895376765
pd,r01,Hip,tau_est,45.87866108786611,0.03278849933356051
pd,r01,Hip,tau_est,46.29497907949791,0.03319940970492546
pd,r01,Hip,tau_est,46.71129707112971,0.04031292303081278
pd,r01,Hip,tau_est,47.12761506276151,0.04292152100415186
pd,r01,Hip,tau_est,47.54393305439331,0.042101941604806584
pd,r01,Hip,tau_est,47.96025104602511,0.038151889015530724
pd,r01,Hip,tau_est,48.37656903765691,0.035680823309014814
pd,r01,Hip,tau_est,48.79288702928871,0.051628916843769794
pd,r01,Hip,tau_est,49.2092050209205,0.05765791289293122
pd,r01,Hip,tau_est,49.6255230125523,0.046754892142607155
pd,r01,Hip,tau_est,50.0418410041841,0.029421058251193587
pd,r01,Hip,tau_est,50.4581589958159,0.008416122313670005
pd,r01,Hip,tau_est,50.8744769874477,0.01690292847576247
pd,r01,Hip,tau_est,51.2907949790795,0.025872767237715335
pd,r01,Hip,tau_est,51.7071129707113,0.021958180930412328
pd,r01,Hip,tau_est,52.12343096234309,0.020334022789334945
pd,r01,Hip,tau_est,52.53974895397489,0.021647044260308206
pd,r01,Hip,tau_est,52.95606694560669,0.027395294823106636
pd,r01,Hip,tau_est,53.37238493723849,0.03499653840152343
pd,r01,Hip,tau_est,53.78870292887029,0.036458070352995316
pd,r01,Hip,tau_est,54.20502092050209,0.03809912643132177
pd,r01,Hip,tau_est,54.62133891213389,0.04086025925391311
pd,r01,Hip,tau_est,55.03765690376569,0.04537600318562233
pd,r01,Hip,tau_est,55.453974895397494,0.051598791292092
pd,r01,Hip,tau_est,55.87029288702929,0.053481898334255394
pd,r01,Hip,tau_est,56.28661087866109,0.05412000882317572
pd,r01,Hip,tau_est,56.70292887029289,0.05526409903423115
pd,r01,Hip,tau_est,57.11924686192469,0.05224834407630218
pd,r01,Hip,tau_est,57.53556485355649,0.0399047425451381
pd,r01,Hip,tau_est,57.95188284518829,0.030977849997360293
pd,r01,Hip,tau_est,58.36820083682009,0.02457015383822489
pd,r01,Hip,tau_est,58.78451882845188,0.016699517765502284
pd,r01,Hip,tau_est,59.20083682008368,0.01044483982342658
pd,r01,Hip,tau_est,59.61715481171548,0.01947821452108046
pd,r01,Hip,tau_est,60.03347280334728,0.029642078976073412
pd,r01,Hip,tau_est,60.44979079497908,0.04167292641928062
pd,r01,Hip,tau_est,60.86610878661088,0.03776682158528323
pd,r01,Hip,tau_est,61.28242677824268,0.025063525977234474
pd,r01,Hip,tau_est,61.69874476987448,0.0248338910335813
pd,r01,Hip,tau_est,62.11506276150628,0.026417180958451535
pd,r01,Hip,tau_est,62.53138075313807,0.03076739256265507
pd,r01,Hip,tau_est,62.94769874476987,0.026379763451411395
pd,r01,Hip,tau_est,63.36401673640167,0.011133016954641816
pd,r01,Hip,tau_est,63.78033472803347,0.00811662731286154
pd,r01,Hip,tau_est,64.19665271966528,0.010021816964397936
pd,r01,Hip,tau_est,64.61297071129707,0.01518203822123948
pd,r01,Hip,tau_est,65.02928870292887,0.021697158280582357
pd,r01,Hip,tau_est,65.44560669456067,0.032133827372280155
pd,r01,Hip,tau_est,65.86192468619247,0.03275029452749761
pd,r01,Hip,tau_est,66.27824267782427,0.02410405411603469
pd,r01,Hip,tau_est,66.69456066945607,0.021004444991833286
pd,r01,Hip,tau_est,67.11087866108787,0.019229881125551317
pd,r01,Hip,tau_est,67.52719665271967,0.01312254008863825
pd,r01,Hip,tau_est,67.94351464435147,0.009975253206648257
pd,r01,Hip,tau_est,68.35983263598327,0.013230594896497059
pd,r01,Hip,tau_est,68.77615062761507,0.014096425315175019
pd,r01,Hip,tau_est,69.19246861924687,0.01325548721214441
