candidate,joint,signal,peak_freq_hz,mean_peak_amp
O4,Coord,coord_error,0.5,0.02886336078092433
O4,Hip,delta_tau_est,20.89958158995816,0.15025146962741895
O4,Hip,eta_u,5.912133891213389,0.004542456859679192
O4,Hip,tau_est,2.1652719665271967,1.4952124259824338
O4,Knee,delta_tau_est,89.59205020920503,0.07551130191460374
O4,Knee,eta_u,0.5,0.019896225962219318
O4,Knee,tau_est,0.5,2.7433405193747666
O5,Coord,coord_error,0.5,0.026537695920683602
O5,Hip,delta_tau_est,20.89958158995816,0.148687919524592
O5,Hip,eta_u,15.90376569037657,0.018547806635308747
O5,Hip,tau_est,2.1652719665271967,1.72122339468941
O5,Knee,delta_tau_est,97.5020920502092,0.07910237995033217
O5,Knee,eta_u,0.5,0.01968508799088108
O5,Knee,tau_est,0.5,2.738423953706635
U1,Coord,coord_error,0.5,0.02852459250467219
U1,Hip,delta_tau_est,20.89958158995816,0.161872832218201
U1,Hip,eta_u,20.89958158995816,0.0035684322552582085
U1,Hip,tau_est,2.1652719665271967,1.5593502889546496
U1,Knee,delta_tau_est,5.912133891213389,0.0900510080293454
U1,Knee,eta_u,0.5,0.00965046476598442
U1,Knee,tau_est,0.5,2.6498895052628444
U4,Coord,coord_error,0.5,0.027010878578452774
U4,Hip,delta_tau_est,20.89958158995816,0.13168727280616213
U4,Hip,eta_u,16.736401673640167,0.011361681290827423
U4,Hip,tau_est,2.1652719665271967,1.5741876839070805
U4,Knee,delta_tau_est,5.912133891213389,0.07948571240156964
U4,Knee,eta_u,0.5,0.02331095338439534
U4,Knee,tau_est,0.5,2.6175619212220567
