joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,5000,,0.546131,1.932430,18.0000,8.1688,,0,
2,RightKnee,5000,,0.386298,1.349908,18.0000,4.6388,,0,
