case,lambda,hip_rmse,knee_rmse,coord_rmse,hip_recovery_rmse,knee_recovery_rmse,coord_recovery_rmse,hip_u_rms,knee_u_rms,hip_delta_u_rms,knee_delta_u_rms,hip_eta_u_rms,knee_eta_u_rms,coord_peak_abs_error
O4+U1,0.0,0.05117528139977576,0.03806641964974796,0.08921445529262093,0.0018349601599503167,0.0006733058765831799,0.002367397496681353,5.569119645588612,3.5944265600897904,0.04107864510722768,0.02551441563078856,0.017970905868618,0.02876375786300886,0.10529035840679822
O4+U1,0.5,0.052014399392835343,0.03933941817316116,0.09132647724603729,0.0018721712557711431,0.0007094686160517544,0.0024352338743457345,5.571370994071979,3.593269925667287,0.04119050457075261,0.02555730473684322,0.01810194839848425,0.028867541376947782,0.10773772216163352
O4+U1,1.0,0.05287972129316905,0.04064390653596125,0.09349623514646195,0.0019114829501214819,0.0007488373760881296,0.0025081431644994106,5.573638430018023,3.592049878277985,0.04129679714871713,0.02559552860326463,0.018231934068847138,0.028968945645916174,0.11024952120095458
O5+U1,0.0,0.0497726432014285,0.03592460337294355,0.08567037756842112,0.0017756207553338889,0.0006192133486003034,0.0022627177140732047,5.5651767949814115,3.596250002181892,0.040860920469918294,0.02542093983462757,0.017705092052325747,0.028543888948419985,0.10117853080169134
O5+U1,0.5,0.050581984331512626,0.03716770153156984,0.08772264302906334,0.0018101057085159519,0.0006511704994423183,0.00232394999798051,5.5674268899129675,3.5951722361350664,0.04098232657017602,0.025471498159869335,0.01783822494536238,0.028651986307993406,0.10355916091128324
O5+U1,1.0,0.05141800546386393,0.03844337134082761,0.08983421153053298,0.0018466309123263607,0.0006861039350788838,0.002389922068562761,5.569699606440396,3.5940320701138786,0.04109885255225215,0.02551759088590259,0.01797028752740021,0.02875762557270584,0.10600702927056882
