case,ablation,ablation_label,hip_rmse,knee_rmse,coord_rmse,hip_recovery_rmse,knee_recovery_rmse,coord_recovery_rmse,hip_u_rms,knee_u_rms,hip_delta_u_rms,knee_delta_u_rms,hip_eta_u_rms,knee_eta_u_rms,coord_peak_abs_error
O4+U1,pd,PD / inverse only,0.04583767689393013,0.029748338311343554,0.07556186842998783,0.001626219157991753,0.0004985789727348339,0.002014432079421736,5.553186909431841,3.600838070475432,0.04008453908566934,0.02503221420621495,0.0,0.0,0.08944475637168837
O4+U1,center_only,center feedback only,0.053033257463796404,0.040881487528583754,0.09388728922296387,0.001917932957017595,0.0007547205971170641,0.002519593948107903,5.574085079113293,3.591859062434402,0.04132308810194019,0.025608172654582168,0.0,0.0,0.11070298155349781
O4+U1,input_only,input compensation only,0.04581303973909012,0.02970879164948202,0.07549770203538043,0.0016252918018935909,0.0004978200123789024,0.002012887660775426,5.553112636259742,3.6008681802021685,0.04007979550923231,0.025029886082753573,0.0029233992194171825,0.004820021898146107,0.08937030523905182
O4+U1,full_eid,full EID,0.05287972129316905,0.04064390653596125,0.09349623514646195,0.0019114829501214819,0.0007488373760881296,0.0025081431644994106,5.573638430018023,3.592049878277985,0.04129679714871713,0.02559552860326463,0.018231934068847138,0.028968945645916174,0.11024952120095458
O5+U1,pd,PD / inverse only,0.04583767689393013,0.029748338311343554,0.07556186842998783,0.001626219157991753,0.0004985789727348339,0.002014432079421736,5.553186909431841,3.600838070475432,0.04008453908566934,0.02503221420621495,0.0,0.0,0.08944475637168837
O5+U1,center_only,center feedback only,0.05156937133060654,0.03867924503556101,0.09022138224994133,0.0018528226147949418,0.0006915958755859839,0.0024007280353115995,5.5701455415127255,3.593846205948284,0.04112580904033213,0.025530706978066482,0.0,0.0,0.10645619760769964
O5+U1,input_only,input compensation only,0.045808223268939685,0.029701060497578886,0.07548515799214486,0.0016251117729836674,0.0004976740838698463,0.0020125890664065274,5.553098032818435,3.6008740015978993,0.04007885337823734,0.02502941876901979,0.0034948933190088204,0.005762285977533402,0.08935575041646436
O5+U1,full_eid,full EID,0.05141800546386393,0.03844337134082761,0.08983421153053298,0.0018466309123263607,0.0006861039350788838,0.002389922068562761,5.569699606440396,3.5940320701138786,0.04109885255225215,0.02551759088590259,0.01797028752740021,0.02875762557270584,0.10600702927056882
