case,signal,peak_freq_hz_0p5_100,peak_psd,bandpower_0p5_3hz,bandpower_3_15hz,bandpower_15_80hz
O4+U1,hip_tau_total,0.9765625000001076,1.2963001105617433,0.9452525751136264,0.006864181039293885,0.4502735632697271
O4+U1,knee_tau_total,0.9765625000001076,0.6851925829303831,0.6218602436461906,0.005499354300282246,0.3302292672114004
O4+U1,hip_delta_tau_total,20.50781250000226,0.011490207343798475,0.00035422179691247264,5.493245263976063e-05,0.032345252390642995
O4+U1,knee_delta_tau_total,20.50781250000226,0.00784346006796898,0.0001590266515311279,2.3228183414379766e-05,0.022925661675551455
O4+U1,hip_eta_u,20.50781250000226,1.0015271346801853e-06,5.537880121331089e-07,2.5386203262108494e-08,2.6272375099485063e-06
O4+U1,knee_eta_u,0.9765625000001076,2.024611700674969e-06,1.4175769065080574e-06,5.992133142354487e-08,4.607553130214274e-06
O4+U1,coord_error,0.9765625000001076,0.0001679188749775231,0.00011133530469241906,8.429236019428984e-07,6.767663445432466e-08
O5+U1,hip_tau_total,0.9765625000001076,1.2964405654459787,0.9629397962083195,0.007046071938486732,0.4494866128600663
O5+U1,knee_tau_total,0.9765625000001076,0.6873069353625488,0.6288257339692742,0.005430100062462898,0.3360572610713418
O5+U1,hip_delta_tau_total,20.50781250000226,0.011496322491705988,0.0003706249543776335,5.6883907159643856e-05,0.03231369134722442
O5+U1,knee_delta_tau_total,20.50781250000226,0.007965162707600079,0.00016253386738720256,2.460498102752313e-05,0.023358995727709535
O5+U1,hip_eta_u,20.50781250000226,1.2572286464347345e-06,5.345594953341179e-07,2.5425848987865327e-08,3.2821648338750853e-06
O5+U1,knee_eta_u,20.50781250000226,2.2080698062095746e-06,1.384304621543898e-06,6.064196288773512e-08,5.74543359260868e-06
O5+U1,coord_error,0.9765625000001076,0.00016475658175804298,0.00011121746350560877,7.735449716717194e-07,6.823749297117877e-08
