case,label,hip_so,knee_so,run_success,hip_observer_gain_q,knee_observer_gain_q,ku_q,ku_dq,dt_log_s,disturbance_samples,recovery_samples,hip_rmse,knee_rmse,coord_rmse,hip_recovery_rmse,knee_recovery_rmse,coord_recovery_rmse,hip_delta_tau_total_rms,knee_delta_tau_total_rms,hip_tau_total_rms,knee_tau_total_rms,hip_eta_u_rms,knee_eta_u_rms,combined_flags
O4U1,O4+U1,1.0,1.0,True,0.8,0.8,6.0,0.5,0.0019999999999997797,700,1000,0.03339922594673765,0.034868482545577874,0.06756248054934383,0.017071409979155,0.002602222542475806,0.018133001591798335,0.17872700850804635,0.13729531911072024,1.9626319506141845,1.2332283403226325,0.004732427432982529,0.015853704625895835,4
O5U1,O5+U1,1.25,1.25,True,1.0,1.0,6.0,0.5,0.0019999999999997797,700,1000,0.0330672060822202,0.03363989584389514,0.06599542513709095,0.01688887447157407,0.0025978682193753843,0.017918440378416278,0.1786414398611643,0.13842040166540226,1.967016858339327,1.2355990761100188,0.004699706215135635,0.015655108290967265,4
