joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,2000,,0.075608,0.136004,6.3081,1.4192,,0,
2,RightKnee,2000,,0.326294,0.502529,7.8171,1.3857,,0,
