scenario_id,scenario,method_id,method,disturbed_joint,disturbance_torque,rmse_h,rmse_k,rmse_coord,rmse_bar_h,rmse_bar_k,eta_u_h_mean,eta_u_k_mean,eta_u_h_rms,eta_u_k_rms,eta_u_rate_rms,tau_rms,tau_rate_rms,sat_count,samples,eta_u_h_dom_freq,eta_u_h_dom_amp,eta_u_k_dom_freq,eta_u_k_dom_amp,tau_dom_freq,tau_dom_amp,rmse_h_vs_pd,rmse_k_vs_pd,rmse_h_pre,rmse_k_pre,rmse_coord_pre,eta_u_h_mean_pre,eta_u_k_mean_pre,rmse_h_during,rmse_k_during,rmse_coord_during,eta_u_h_mean_during,eta_u_k_mean_during,rmse_h_post,rmse_k_post,rmse_coord_post,eta_u_h_mean_post,eta_u_k_mean_post,delta_rmse_h_during,delta_rmse_k_during,delta_rmse_coord_during,disturbed_rmse_during,undisturbed_rmse_during,cross_ratio,t_error_peak,t_eta_u_peak,eta_lag_s,eta_disturbance_mean_ratio,S_coord_vs_pd,S_cross_vs_pd
S0_no_disturbance,same-phase no disturbance,pd,PD,,,0.0014438038113784646,0.0015496865181293177,0.00045576579904270387,0.30822396869405166,0.7521298651811825,0.0,0.0,0.0,0.0,0.0,0.20604662217477285,0.6099818140057783,0,2000,1.249999999999999,0.0,1.249999999999999,0.0,1.9999999999999982,0.01002257775747193,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_no_disturbance,same-phase no disturbance,eid_ku0,"EID observer, Ku=0",,,0.01944868225902877,0.02204205291578688,0.03858425671926456,0.01937725428297426,0.021826431479253373,0.0,0.0,0.0,0.0,0.0,0.4939294409900646,12.705226134300121,0,2000,1.249999999999999,0.0,1.249999999999999,0.0,1.249999999999999,0.06838936897967071,13.47044668102118,14.223555963043825,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_no_disturbance,same-phase no disturbance,eid_full,EID full,,,0.01941616951878072,0.02190322407079569,0.0384192915489942,0.019344807918000473,0.021687736691817866,-0.004128754047232072,0.010090961299159689,0.05377163411453317,0.05323450539379132,37.524530072233496,0.4949299723644697,40.32377115741457,0,2000,2.499999999999998,0.0012792242027562346,2.2499999999999982,0.0013294822848443192,1.249999999999999,0.06857179160478874,13.447927873416006,14.133970848011158,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_no_disturbance,same-phase no disturbance,eid_ku_half,EID Ku 0.5x,,,0.019432392104348228,0.02197257553601901,0.03850167457271111,0.019360996732728904,0.021757019660238228,-0.0020645519534557423,0.00504650775765373,0.02688577136425565,0.026617290911778863,18.762262821076106,0.49294931066507663,22.972492803350264,0,2000,2.499999999999998,0.0006394611563403058,2.2499999999999982,0.0006644046706002785,1.249999999999999,0.06834126020972034,13.459163877532118,14.178722779716054,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_no_disturbance,same-phase no disturbance,eid_ku_neg,EID Ku -1x,,,0.019481464726933063,0.02218138334898218,0.038750015743324685,0.019409975056031124,0.021965639541643003,0.004130154241926626,-0.010099184739626706,0.053771426466007896,0.05323520568075988,37.524578880483695,0.504653287251904,40.30704285670252,0,2000,2.499999999999998,0.0012780082871930237,2.2499999999999982,0.0013267949967920632,1.249999999999999,0.06871753255996584,13.493152306013952,14.313464748830702,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_no_disturbance,same-phase no disturbance,eid_q_only,EID q-only,,,0.0769423736902915,0.12454702173128451,0.19816169737013534,0.0713739657819357,0.11865729440301045,-0.027080990855133057,0.012983587580241252,0.06004872824711945,0.053875089005477626,37.52442770089441,0.5605501059258586,40.27364340865435,0,2000,1.249999999999999,0.0017404306681271995,1.9999999999999982,0.0011855348742626627,1.249999999999999,0.07949226942873144,53.291432730622276,80.36917161906378,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_no_disturbance,same-phase no disturbance,eid_dq_only,EID dq-only,,,0.07361293322480168,0.1619927577287169,0.2337243420034365,0.01835976521617949,0.017096748287260495,-0.0026072796233818315,0.00836438210805952,0.0030078355979557925,0.008614873816493463,0.08565840402296003,0.514396272084723,12.49628719280439,0,2000,2.2499999999999982,8.522932938152381e-05,2.2499999999999982,0.00017103570386298893,1.249999999999999,0.07000584200262015,50.98541273036265,104.5325979374617,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_no_disturbance,same-phase no disturbance,eid_alpha_low,EID alpha low,,,0.01941616951878072,0.02190322407079569,0.0384192915489942,0.019344807918000473,0.021687736691817866,-0.004128754047232072,0.010090961299159689,0.05377163411453317,0.05323450539379132,37.524530072233496,0.4949299723644697,40.32377115741457,0,2000,2.499999999999998,0.0012792242027562346,2.2499999999999982,0.0013294822848443192,1.249999999999999,0.06857179160478874,13.447927873416006,14.133970848011158,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0_no_disturbance,same-phase no disturbance,eid_alpha_high,EID alpha high,,,0.01941616951878072,0.02190322407079569,0.0384192915489942,0.019344807918000473,0.021687736691817866,-0.004128754047232072,0.010090961299159689,0.05377163411453317,0.05323450539379132,37.524530072233496,0.4949299723644697,40.32377115741457,0,2000,2.499999999999998,0.0012792242027562346,2.2499999999999982,0.0013294822848443192,1.249999999999999,0.06857179160478874,13.447927873416006,14.133970848011158,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_hip_pos,anti-phase hip + torque,pd,PD,hip,12.0,0.03514103516113136,0.005312281685958159,0.03332897327823774,0.30822396869405166,0.752131834761246,0.0,0.0,0.0,0.0,0.0,1.689713866441182,36.25645235244246,0,2000,1.249999999999999,0.0,1.249999999999999,0.0,4.749999999999996,0.23828495269834107,1.0,1.0,0.0011114966244495908,0.0016572058060124923,0.002754790514614527,0.0,0.0,0.09658395489678319,0.011151427968700398,0.09240541989623949,0.0,0.0,0.018036430830474397,0.00754245151564183,0.013554263392362433,0.0,0.0,0.0954724582723336,0.009494222162687905,0.08965062938162496,0.09658395489678319,0.011151427968700398,0.11545839037775626,1.764,1.5,-0.264,0.0,1.0,1.0
