method,log_path,condition_id,repeat_id,joint_id,joint_name,disturbance_window_s,duration_s,cycles,dt_mean_s,dt_max_s,q_rmse_after3_rad,q_peak_after3_rad,dq_rmse_after3_rad_s,tau_cmd_rms_after3_nm,tau_cmd_peak_after3_nm,tau_est_rms_after3_nm,eta_u_rms_after3_nm,q_rmse_pre_3_4_rad,q_rmse_window_4_6_rad,q_peak_window_4_6_rad,dq_rmse_window_4_6_rad_s,tau_cmd_rms_window_4_6_nm,tau_cmd_peak_window_4_6_nm,eta_u_rms_window_4_6_nm,q_rmse_post_6_8_rad,flags_seen
O0 Ko=0.00,data/20260623_125717/h1_real_p4_ko_o0_hip_knee_eid_log.csv,P4-H_O0_EID_anti_phase_hip_disturbance,r01,1,RightHipPitch,4.0-6.0,9.998754959000053,4888,0.0020455716481178267,0.0022000779999871,0.10941682967819304,0.1908827498218642,0.28546915689992436,2.036689090855582,3.4302604198455806,1.9878744672289892,0.0,0.14261087309173903,0.09967329281049721,0.1831088729100091,0.29527028074426875,1.972477111293247,3.381065368652344,0.0,0.10417523923220029,4
O0 Ko=0.00,data/20260623_125717/h1_real_p4_ko_o0_hip_knee_eid_log.csv,P4-H_O0_EID_anti_phase_hip_disturbance,r01,2,RightKnee,4.0-6.0,9.998754959000053,4888,0.0020455716481178267,0.0022000779999871,0.17361903712878143,0.2846929640581868,0.36727520871123664,0.4418559591190209,0.9078717231750488,0.5223303279051366,0.0,0.2250568697842908,0.1638546040926155,0.2845103496272851,0.3719834358245746,0.4330827961357608,0.907765507698059,0.0,0.16220662688300438,4
O5 Ko=1.25,data/20260623_130247/h1_real_p4_ko_o5_hip_knee_eid_log.csv,P4-H_O5_EID_anti_phase_hip_disturbance,r01,1,RightHipPitch,4.0-6.0,9.999329708999994,4876,0.002050723912838332,0.002175354999963,0.00933701950846464,0.0177962057921922,0.058143816799450396,2.9924516652247,5.802683830261231,2.9492659997439183,0.005227863252396083,0.010882609733345998,0.00880650268543961,0.0169575334695972,0.05609127976527057,2.8480214726087194,5.515289306640625,0.005142144517197593,0.008742217448231577,4
O5 Ko=1.25,data/20260623_130247/h1_real_p4_ko_o5_hip_knee_eid_log.csv,P4-H_O5_EID_anti_phase_hip_disturbance,r01,2,RightKnee,4.0-6.0,9.999329708999994,4876,0.002050723912838332,0.002175354999963,0.01639724870787637,0.030513228599527,0.09557750967548446,2.1361568786483938,4.477932929992676,2.11632259334171,0.016027414855301583,0.018439639231527607,0.015134996427232136,0.0294177511226984,0.09052524706891762,1.9854713288030699,4.146270275115967,0.014889399889103662,0.01538947934040099,4
