label,log_path,condition_id,repeat_id,disturbance_target,disturbance_method,joint_id,joint_name,duration_s,cycles,dt_mean_s,dt_max_s,q_rmse_after3_rad,q_peak_after3_rad,dq_rmse_after3_rad_s,tau_cmd_rms_after3_nm,tau_cmd_peak_after3_nm,tau_est_rms_after3_nm,eta_u_rms_after3_nm,q_rmse_window_4_6_rad,q_peak_window_4_6_rad,dq_rmse_window_4_6_rad_s,tau_cmd_rms_window_4_6_nm,eta_u_rms_window_4_6_nm,flags_seen
O0 Ko=0.00,data/20260623_125646/h1_real_p4_ko_o0_hip_knee_eid_log.csv,P4_O0_EID_anti_phase_no_disturbance_smoke,smoke01,none,none,1,RightHipPitch,5.999353545999838,2933,0.0020454662611659826,0.0021787239998047,0.09750630392501307,0.1632529220012228,0.29754165063711174,2.0413588492889323,3.424283504486084,1.9992112318614528,0.0,0.08463417661098704,0.1551540060922826,0.2933961577473577,1.9727024140889333,0.0,4
O0 Ko=0.00,data/20260623_125646/h1_real_p4_ko_o0_hip_knee_eid_log.csv,P4_O0_EID_anti_phase_no_disturbance_smoke,smoke01,none,none,2,RightKnee,5.999353545999838,2933,0.0020454662611659826,0.0021787239998047,0.09825094668102922,0.1822202169415464,0.37749010814258627,0.45265085124542637,0.9075973033905028,0.4954015923773977,0.0,0.11067306981104331,0.1822202169415464,0.3720763289748911,0.4334498253020697,0.0,4
O5 Ko=1.25,data/20260623_125659/h1_real_p4_ko_o5_hip_knee_eid_log.csv,P4_O5_EID_anti_phase_no_disturbance_smoke,smoke01,none,none,1,RightHipPitch,5.998531821000142,2925,0.0020507795641025797,0.0022055869999348,0.009578235313660222,0.0191255728840758,0.05720182467731564,3.0385364427813264,5.952579975128174,2.9998914748573826,0.005308066911667968,0.008780896373504953,0.0170011592108232,0.05658950524699506,2.844232145723791,0.005157479215087738,4
O5 Ko=1.25,data/20260623_125659/h1_real_p4_ko_o5_hip_knee_eid_log.csv,P4_O5_EID_anti_phase_no_disturbance_smoke,smoke01,none,none,2,RightKnee,5.998531821000142,2925,0.0020507795641025797,0.0022055869999348,0.016241835026507723,0.0297987937140893,0.09056817368202233,2.1057687669979943,4.148248195648193,2.0708368226887965,0.015741479673113994,0.015161457294497803,0.0297987937140893,0.0916321050314139,1.9912837771349436,0.014970547165767708,4
O0 Ko=0.00 hip disturbance,data/20260623_125717/h1_real_p4_ko_o0_hip_knee_eid_log.csv,P4-H_O0_EID_anti_phase_hip_disturbance,r01,hip,manual_push,1,RightHipPitch,9.998754959000053,4888,0.0020455716481178267,0.0022000779999871,0.10941682967819304,0.1908827498218642,0.28546915689992436,2.036689090855582,3.4302604198455806,1.9878744672289892,0.0,0.09967329281049721,0.1831088729100091,0.29527028074426875,1.972477111293247,0.0,4
O0 Ko=0.00 hip disturbance,data/20260623_125717/h1_real_p4_ko_o0_hip_knee_eid_log.csv,P4-H_O0_EID_anti_phase_hip_disturbance,r01,hip,manual_push,2,RightKnee,9.998754959000053,4888,0.0020455716481178267,0.0022000779999871,0.17361903712878143,0.2846929640581868,0.36727520871123664,0.4418559591190209,0.9078717231750488,0.5223303279051366,0.0,0.1638546040926155,0.2845103496272851,0.3719834358245746,0.4330827961357608,0.0,4
