joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,2000,,0.019481,0.039677,5.9411,0.2604,,0,
2,RightKnee,2000,,0.022181,0.028578,3.2756,0.1287,,0,
