joint_id,name,samples,duration_s,q_rmse,q_max_abs_error,tau_cmd_abs_max,tau_mean_abs,eid_tau_limit,flags,warning
1,RightHipPitch,5000,,0.567648,1.869815,18.0000,6.9776,,0,
2,RightKnee,5000,,0.610615,1.551411,18.0000,7.1311,,0,
